# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HEDGEHOG_PATHWAY	HNSC	TGFBI|7045	+	A5	chr5:135398376-135398875:135398362-135398875		3.6711	0.6862	87.5
HEDGEHOG_PATHWAY	HNSC	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		3.354	0.5534	50
HEDGEHOG_PATHWAY	HNSC	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.3129	0.6336	93.75
HEDGEHOG_PATHWAY	HNSC	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		3.201	-0.6564	62.5
HEDGEHOG_PATHWAY	HNSC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		2.9958	-0.6259	93.75
HEDGEHOG_PATHWAY	HNSC	HEATR7A|727957	+	RI	chr8:145316017:145316119-145316187:145316252		2.9342	-0.6346	62.5
HEDGEHOG_PATHWAY	HNSC	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		2.7554	0.6421	68.75
HEDGEHOG_PATHWAY	HNSC	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.7173	0.6228	81.25
HEDGEHOG_PATHWAY	HNSC	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		2.6076	-0.3673	18.75
HEDGEHOG_PATHWAY	HNSC	IFT140|9742	-	A5	chr16:1576078-1576620:1576078-1576734		2.6054	0.5619	68.75
HEDGEHOG_PATHWAY	HNSC	TCTN3|26123	-	A3	chr10:97442952-97443279:97442937-97443279		2.583	0.6031	50
HEDGEHOG_PATHWAY	HNSC	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.5467	-0.6032	93.75
HEDGEHOG_PATHWAY	HNSC	FGFR2|2263	-	RI	chr10:123263304:123263453-123263454:123263455		2.5358	-0.5827	43.75
HEDGEHOG_PATHWAY	HNSC	HEATR7A|727957	+	A3	chr8:145296420-145297114:145296420-145297272		2.5321	-0.6352	62.5
HEDGEHOG_PATHWAY	HNSC	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.5007	-0.6118	56.25
HEDGEHOG_PATHWAY	HNSC	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		2.4676	0.3522	62.5
HEDGEHOG_PATHWAY	HNSC	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.4083	-0.4683	68.75
HEDGEHOG_PATHWAY	HNSC	PTPRF|5792	+	SE	chr1:44075169-44078439:44078471-44079289		2.3571	-0.5585	6.25
HEDGEHOG_PATHWAY	HNSC	MRPL52|122704	+	RI	chr14:23299092:23299149-23299262:23299319		2.3459	-0.1348	31.25
HEDGEHOG_PATHWAY	HNSC	ZMYND11|10771	+	SE	chr10:255988-267135:267296-282778		2.335	0.5768	37.5
HEDGEHOG_PATHWAY	HNSC	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.3262	-0.64	56.25
HEDGEHOG_PATHWAY	HNSC	COL11A1|1301	-	SE	chr1:103444991-103445153:103445168-103449694		2.3211	-0.5109	37.5
HEDGEHOG_PATHWAY	HNSC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		2.2939	-0.3721	56.25
HEDGEHOG_PATHWAY	HNSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.2768	0.4706	56.25
HEDGEHOG_PATHWAY	HNSC	KIF7|374654	-	A3	chr15:90188396-90188567:90188393-90188567		2.2666	0.5661	81.25
HEDGEHOG_PATHWAY	HNSC	PNPLA7|375775	-	A3	chr9:140409974-140414369:140409971-140414369		2.2566	-0.4271	56.25
HEDGEHOG_PATHWAY	HNSC	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435		2.252	0.5974	87.5
HEDGEHOG_PATHWAY	HNSC	ATP8B3|148229	-	A5	chr19:1811665-1812067:1811665-1812185		2.2369	-0.2579	12.5
HEDGEHOG_PATHWAY	HNSC	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		2.2078	-0.5669	43.75
HEDGEHOG_PATHWAY	HNSC	PFAS|5198	+	RI	chr17:8171851:8172174-8172272:8173808		2.1954	-0.627	62.5
HEDGEHOG_PATHWAY	HNSC	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		2.1862	-0.4643	43.75
HEDGEHOG_PATHWAY	HNSC	TUBA1A|7846	-	SE	chr12:49580241-49580390:49580616-49582760		2.1802	0.1514	12.5
HEDGEHOG_PATHWAY	HNSC	FBXO11|80204	-	SE	chr2:48046217-48047501:48047595-48049357		2.1718	0.6176	75
HEDGEHOG_PATHWAY	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.1617	-0.1393	62.5
HEDGEHOG_PATHWAY	HNSC	ITGB2|3689	-	SE	chr21:46321648-46323280:46323450-46326830		2.1544	0.5005	31.25
HEDGEHOG_PATHWAY	HNSC	SH3TC2|79628	-	A3	chr5:148384465-148386444:148383405-148386444		2.1508	-0.3256	43.75
HEDGEHOG_PATHWAY	HNSC	ZNF280D|54816	-	A3	chr15:56999348-56999461:56999341-56999461		2.1489	0.4456	56.25
HEDGEHOG_PATHWAY	HNSC	CUL4B|8450	-	A5	chrX:119670889-119671973:119670889-119671979		2.1412	-0.6327	62.5
HEDGEHOG_PATHWAY	HNSC	VPS54|51542	-	SE	chr2:64140444-64140959:64141059-64141316		2.1405	-0.6168	50
HEDGEHOG_PATHWAY	HNSC	IL11|3589	-	SE	chr19:55879937-55880137:55880309-55881672		2.1306	0.081	18.75
HEDGEHOG_PATHWAY	HNSC	ODZ2|57451	+	SE	chr5:167420187-167474432:167474554-167489065		2.1263	-0.5043	6.25
HEDGEHOG_PATHWAY	HNSC	NDOR1|27158	+	A5	chr9:140110640-140110724:140110618-140110724		2.124	0.3951	25
HEDGEHOG_PATHWAY	HNSC	CSPP1|79848	+	SE	chr8:68102994-68105699:68105837-68107617		2.1178	0.5819	56.25
HEDGEHOG_PATHWAY	HNSC	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356		2.1171	0.6268	68.75
HEDGEHOG_PATHWAY	HNSC	SMURF2|64750	-	SE	chr17:62589691-62590109:62590222-62594500		2.1103	0.0176	25
HEDGEHOG_PATHWAY	HNSC	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		2.0977	0.4185	87.5
HEDGEHOG_PATHWAY	HNSC	EIF4H|7458	+	SE	chr7:73588772-73601941:73602128-73604003		2.0726	0.5907	62.5
HEDGEHOG_PATHWAY	HNSC	ARHGEF10|9639	+	SE	chr8:1873570-1874543:1874629-1876593		2.068	0.6059	93.75
HEDGEHOG_PATHWAY	HNSC	ZNF365|22891	+	SE	chr10:64134217-64135940:64136695-64148155		2.0621	0.4782	18.75
HEDGEHOG_PATHWAY	HNSC	NOL8|55035	-	A5	chr9:95086491-95087588:95086491-95087600		2.0596	0.6386	68.75
HEDGEHOG_PATHWAY	HNSC	CTNND1|1500	+	A5	chr11:57529591-57556509:57529518-57556509		2.0556	0.025	37.5
HEDGEHOG_PATHWAY	HNSC	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		2.0439	0.6231	62.5
HEDGEHOG_PATHWAY	HNSC	LMCD1|29995	+	SE	chr3:8574511-8578871:8579126-8590254		2.0298	0.2258	25
HEDGEHOG_PATHWAY	HNSC	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.0282	0.2014	31.25
HEDGEHOG_PATHWAY	HNSC	SLC35B2|347734	-	SE	chr6:44223381-44224422:44224615-44225137		2.0211	0.5475	50
HEDGEHOG_PATHWAY	HNSC	AP2A1|160	+	A3	chr19:50308833-50308918:50308833-50308982		2.019	0.5463	81.25
HEDGEHOG_PATHWAY	HNSC	PTPRD|5789	-	SE	chr9:8525035-8527345:8527353-8528591		2.0147	-0.5264	62.5
HEDGEHOG_PATHWAY	HNSC	ARHGAP17|55114	-	SE	chr16:24931581-24939005:24939053-24942105		2.0004	-0.6089	37.5
HEDGEHOG_PATHWAY	HNSC	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313		1.9862	0.6186	62.5
HEDGEHOG_PATHWAY	HNSC	CCDC14|64770	-	SE	chr3:123667979-123674690:123674812-123674893		1.9796	0.3051	62.5
HEDGEHOG_PATHWAY	HNSC	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		1.956	0.4927	75
HEDGEHOG_PATHWAY	HNSC	RTEL1|51750	+	RI	chr20:62321103:62321218-62321440:62321563		1.9508	-0.5785	50
HEDGEHOG_PATHWAY	HNSC	AEBP1|165	+	A3	chr7:44151649-44151741:44151649-44151805		1.9492	0.6115	87.5
HEDGEHOG_PATHWAY	HNSC	SDCCAG1|9147	-	SE	chr14:50262662-50262951:50263046-50266193		1.9492	-0.5996	81.25
HEDGEHOG_PATHWAY	HNSC	ST6GAL1|6480	+	SE	chr3:186756661-186760442:186761098-186769037		1.9408	0.5962	75
HEDGEHOG_PATHWAY	HNSC	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		1.9378	0.4761	81.25
HEDGEHOG_PATHWAY	HNSC	KIRREL|55243	+	A3	chr1:158058244-158059244:158058244-158059292		1.936	-0.1914	62.5
HEDGEHOG_PATHWAY	HNSC	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		1.9344	0.6163	68.75
HEDGEHOG_PATHWAY	HNSC	CALCOCO1|57658	-	SE	chr12:54105905-54106559:54106630-54106884		1.9325	-0.5247	81.25
HEDGEHOG_PATHWAY	HNSC	PHKA2|5256	-	A5	chrX:18915451-18917267:18915451-18917291		1.9284	-0.6336	75
HEDGEHOG_PATHWAY	HNSC	DIS3L2|129563	+	A3	chr2:233200584-233200851:233200584-233201179		1.9187	-0.5105	31.25
HEDGEHOG_PATHWAY	HNSC	RSU1|6251	-	A5	chr10:16824083-16858972:16824083-16859314		1.9161	0.1035	43.75
HEDGEHOG_PATHWAY	HNSC	PHRF1|57661	+	A3	chr11:610347-610501:610347-610667		1.9127	0.595	25
HEDGEHOG_PATHWAY	HNSC	AARS|16	-	A5	chr16:70287284-70287569:70287284-70287617		1.9113	-0.6192	31.25
HEDGEHOG_PATHWAY	HNSC	SCAMP5|192683	+	SE	chr15:75305146-75308934:75309090-75310211		1.9075	0.4482	43.75
HEDGEHOG_PATHWAY	HNSC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503		1.9042	0.6187	87.5
HEDGEHOG_PATHWAY	HNSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		1.9033	0.5551	100
HEDGEHOG_PATHWAY	HNSC	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		1.9015	-0.2218	56.25
HEDGEHOG_PATHWAY	HNSC	OBSL1|23363	-	SE	chr2:220422832-220422906:220423181-220423947		1.8928	0.0175	31.25
HEDGEHOG_PATHWAY	HNSC	GPR115|221393	+	A5	chr6:47666530-47674966:47666442-47674966		1.8814	0.2862	12.5
HEDGEHOG_PATHWAY	HNSC	KIAA1191|57179	-	SE	chr5:175786570-175786814:175786921-175788605		1.8773	0.261	18.75
HEDGEHOG_PATHWAY	HNSC	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		1.8765	-0.5554	62.5
HEDGEHOG_PATHWAY	HNSC	ASXL1|171023	+	SE	chr20:31017234-31017704:31017856-31019124		1.8746	0.4624	25
HEDGEHOG_PATHWAY	HNSC	CC2D2A|57545	+	SE	chr4:15572119-15575773:15575949-15581591		1.8726	-0.2767	62.5
HEDGEHOG_PATHWAY	HNSC	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		1.8632	0.0282	37.5
HEDGEHOG_PATHWAY	HNSC	MTA1|9112	+	SE	chr14:105933079-105934675:105934686-105935804		1.8627	-0.5208	68.75
HEDGEHOG_PATHWAY	HNSC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		1.86	0.5878	87.5
HEDGEHOG_PATHWAY	HNSC	ADCY3|109	-	A3	chr2:25051030-25053578:25050892-25053578		1.8597	0.6265	56.25
HEDGEHOG_PATHWAY	HNSC	GALNT11|63917	+	SE	chr7:151722969-151791275:151791607-151797883		1.8507	0.5419	75
HEDGEHOG_PATHWAY	HNSC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52592265		1.8481	-0.173	31.25
HEDGEHOG_PATHWAY	HNSC	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		1.8407	-0.5928	50
HEDGEHOG_PATHWAY	HNSC	HERC4|26091	-	A3	chr10:69699411-69700696:69699408-69700696		1.8345	0.6372	56.25
HEDGEHOG_PATHWAY	HNSC	DACT1|51339	+	A3	chr14:59108465-59111976:59108465-59112087		1.8327	0.4094	31.25
HEDGEHOG_PATHWAY	HNSC	TUBGCP6|85378	-	A3	chr22:50656546-50656618:50656527-50656618		1.8253	0.566	50
HEDGEHOG_PATHWAY	HNSC	C1orf9|51430	+	SE	chr1:172544763-172546679:172546699-172546904		1.8219	-0.5108	43.75
HEDGEHOG_PATHWAY	HNSC	TFEB|7942	-	SE	chr6:41657549-41658401:41658655-41658739		1.8217	0.5355	43.75
HEDGEHOG_PATHWAY	HNSC	KIAA1731|85459	+	A3	chr11:93462696-93462777:93462696-93462780		1.8202	-0.5926	43.75
HEDGEHOG_PATHWAY	HNSC	URGCP|55665	-	SE	chr7:43927084-43927389:43927415-43946161		1.8202	0.1856	37.5
HEDGEHOG_PATHWAY	HNSC	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856		1.818	-0.6249	50
HEDGEHOG_PATHWAY	HNSC	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		1.8132	-0.2176	50
HEDGEHOG_PATHWAY	HNSC	GLI2|2736	+	A3	chr2:121729639-121732500:121729639-121732551	Observed	1.001	0.2935	75
