# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	HNSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.9649	0.3236	50
CELL_CYCLE_PATHWAY	HNSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		3.8057	-0.3008	31.25
CELL_CYCLE_PATHWAY	HNSC	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.6161	0.3661	18.75
CELL_CYCLE_PATHWAY	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.5133	0.3056	50
CELL_CYCLE_PATHWAY	HNSC	NCAPH|23397	+	A3	chr2:97001586-97007130:97001586-97007452		3.4023	0.196	31.25
CELL_CYCLE_PATHWAY	HNSC	ANKHD1|54882	+	SE	chr5:139844361-139851824:139851880-139862165		3.3269	-0.1912	31.25
CELL_CYCLE_PATHWAY	HNSC	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		3.2871	-0.3301	43.75
CELL_CYCLE_PATHWAY	HNSC	LOC146880|146880	-	A5	chr17:62777157-62777513:62777157-62777552		2.9923	-0.2828	37.5
CELL_CYCLE_PATHWAY	HNSC	NCAPH|23397	+	SE	chr2:97001586-97007130:97007632-97007788		2.9124	0.2982	31.25
CELL_CYCLE_PATHWAY	HNSC	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.8577	0.341	43.75
CELL_CYCLE_PATHWAY	HNSC	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		2.8247	-0.2025	56.25
CELL_CYCLE_PATHWAY	HNSC	PSRC1|84722	-	A5	chr1:109825353-109825685:109825353-109825696		2.8237	-0.1068	25
