# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	BLCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	5.5224	0.5939	87.5
T_CELL_ACTIVATION	BLCA	CD8A|925	-	SE	chr2:87015683-87016446:87016556-87016763	Observed	3.7234	-0.0134	25
T_CELL_ACTIVATION	BLCA	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	3.6668	0.4677	87.5
T_CELL_ACTIVATION	BLCA	PDCD1|5133	-	SE	chr2:242794135-242794350:242794505-242794773	Observed	3.2575	0.3364	81.25
T_CELL_ACTIVATION	BLCA	CD28|940	+	RI	chr2:204591356:204591421-204591674:204591712	Observed	3.1222	0.3477	75
T_CELL_ACTIVATION	BLCA	CD86|942	+	SE	chr3:121774350-121810448:121810497-121822359	Observed	2.9712	0.2411	81.25
T_CELL_ACTIVATION	BLCA	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	2.6528	-0.0475	87.5
T_CELL_ACTIVATION	BLCA	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427	Observed	1.9296	0.3254	81.25
T_CELL_ACTIVATION	BLCA	LCK|3932	+	SE	chr1:32741664-32741938:32742090-32742208	Observed	1.8889	0.107	62.5
T_CELL_ACTIVATION	BLCA	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.8741	-0.2661	87.5
T_CELL_ACTIVATION	BLCA	PTPN22|26191	-	SE	chr1:114399063-114399170:114399241-114400360	Observed	1.8357	0.4221	68.75
T_CELL_ACTIVATION	BLCA	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693	Observed	1.6946	-0.3658	62.5
T_CELL_ACTIVATION	BLCA	CD6|923	+	SE	chr11:60781486-60783185:60783307-60784951	Observed	1.2123	0.1012	56.25
T_CELL_ACTIVATION	BLCA	CD28|940	+	SE	chr2:204591712-204594371:204594495-204599507	Observed	1.1586	0.3291	87.5
T_CELL_ACTIVATION	BLCA	CD28|940	+	SE	chr2:204571471-204591356:204591712-204594371	Observed	1.0823	0.2494	81.25
T_CELL_ACTIVATION	BLCA	CD6|923	+	SE	chr11:60785485-60785761:60785865-60786726	Observed	1.065	0.2581	87.5
T_CELL_ACTIVATION	BLCA	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	1.0005	-0.0434	62.5
T_CELL_ACTIVATION	BLCA	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	0.8642	0.3774	81.25
T_CELL_ACTIVATION	BLCA	LCK|3932	+	RI	chr1:32740338:32740419-32740594:32740684	Observed	0.8632	-0.111	62.5
T_CELL_ACTIVATION	BLCA	CD46|4179	+	SE	chr1:207940540-207941124:207941168-207943666	Observed	0.748	0.0292	56.25
