# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	OV	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.6859	0.5032	68.75
MRNA_PROCESSING	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		3.5214	-0.4636	37.5
MRNA_PROCESSING	OV	ESRP1|54845	+	A5	chr8:95686734-95690431:95686722-95690431		3.5202	0.3347	50
MRNA_PROCESSING	OV	FKBP7|51661	-	SE	chr2:179334512-179337756:179337869-179341789		3.0246	0.4085	43.75
MRNA_PROCESSING	OV	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		2.5386	-0.4104	31.25
MRNA_PROCESSING	OV	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.3545	-0.3744	43.75
MRNA_PROCESSING	OV	SGSM2|9905	+	SE	chr17:2268635-2270565:2270699-2274556		2.3278	-0.3136	37.5
MRNA_PROCESSING	OV	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		2.3176	0.153	68.75
MRNA_PROCESSING	OV	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.3173	-0.4408	81.25
MRNA_PROCESSING	OV	EXD3|54932	-	SE	chr9:140248829-140249152:140249225-140250720		2.3131	-0.2078	31.25
MRNA_PROCESSING	OV	CTNND1|1500	+	SE	chr11:57582972-57583387:57583473-57583769		2.257	-0.3356	43.75
MRNA_PROCESSING	OV	NOP56|10528	+	A5	chr20:2636860-2637047:2636680-2637047		2.2515	0.4276	18.75
MRNA_PROCESSING	OV	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		2.2289	-0.2119	25
MRNA_PROCESSING	OV	SUV39H2|79723	+	A5	chr10:14920959-14923499:14920918-14923499		2.222	-0.2385	50
MRNA_PROCESSING	OV	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.1708	0.41	56.25
MRNA_PROCESSING	OV	TPM2|7169	-	MX	chr9:35684547-35684729:35684804-35685266:35684547-35685061:35685136-35685266		2.156	0.4599	12.5
MRNA_PROCESSING	OV	SEMA4F|10505	+	SE	chr2:74884751-74884980:74885078-74889859		2.1393	0.351	56.25
MRNA_PROCESSING	OV	MTMR9L|339483	-	SE	chr1:32700714-32704896:32705026-32705470		2.1115	-0.3655	31.25
MRNA_PROCESSING	OV	KCTD17|79734	+	SE	chr22:37455478-37456863:37456962-37457579		2.0581	-0.2482	31.25
MRNA_PROCESSING	OV	TEX261|113419	-	A5	chr2:71220905-71221771:71220905-71221818		2.0432	0.2663	50
MRNA_PROCESSING	OV	ARHGAP23|57636	+	SE	chr17:36654752-36655174:36655196-36656839		2.0409	0.3194	68.75
MRNA_PROCESSING	OV	PPHLN1|51535	+	SE	chr12:42768876-42778742:42778798-42781258		2.0408	-0.3417	18.75
MRNA_PROCESSING	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.0317	-0.3994	68.75
MRNA_PROCESSING	OV	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		1.9792	0.0801	25
MRNA_PROCESSING	OV	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		1.9582	0.3541	68.75
MRNA_PROCESSING	OV	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	1.9545	0.202	25
MRNA_PROCESSING	OV	MRPL55|128308	-	SE	chr1:228296019-228296656:228296722-228296962		1.9539	-0.2027	37.5
MRNA_PROCESSING	OV	NEDD4L|23327	+	SE	chr18:56001124-56002710:56002769-56008270		1.9522	-0.2783	62.5
MRNA_PROCESSING	OV	FLNB|2317	+	SE	chr3:58124256-58127585:58127656-58128377		1.9178	-0.3127	43.75
MRNA_PROCESSING	OV	ADC|113451	+	A3	chr1:33546895-33546989:33546895-33546992		1.906	-0.2328	25
MRNA_PROCESSING	OV	TNNT1|7138	-	SE	chr19:55656933-55657802:55657834-55658049		1.9011	-0.228	25
MRNA_PROCESSING	OV	WT1|7490	-	SE	chr11:32421590-32438036:32438086-32439123		1.8902	-0.2005	6.25
MRNA_PROCESSING	OV	C11orf30|56946	+	SE	chr11:76164432-76165793:76165834-76169227		1.8894	0.0343	31.25
MRNA_PROCESSING	OV	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291		1.8814	-0.2483	62.5
MRNA_PROCESSING	OV	ROBO1|6091	-	SE	chr3:78695340-78696779:78696805-78700882		1.8724	0.2735	56.25
MRNA_PROCESSING	OV	ZNF473|25888	+	A3	chr19:50529379-50534149:50529379-50534271		1.8696	0.2257	31.25
MRNA_PROCESSING	OV	SORCS2|57537	+	A5	chr4:7738941-7741927:7738899-7741927		1.8525	0.1138	37.5
MRNA_PROCESSING	OV	FBXO7|25793	+	SE	chr22:32871111-32875120:32875262-32879884		1.8393	-0.1864	37.5
MRNA_PROCESSING	OV	ESPN|83715	+	RI	chr1:6508701:6508862-6508953:6509151		1.8256	-0.264	56.25
MRNA_PROCESSING	OV	C1orf116|79098	-	SE	chr1:207198409-207200839:207201024-207205924		1.8096	2e-04	50
MRNA_PROCESSING	OV	USP47|55031	+	SE	chr11:11863771-11901724:11901927-11906014		1.8066	-0.1849	43.75
MRNA_PROCESSING	OV	BCL2L13|23786	+	SE	chr22:18166087-18178907:18178976-18185009		1.779	-0.0609	31.25
MRNA_PROCESSING	OV	NAALADL1|10004	-	SE	chr11:64815210-64815453:64815520-64815624		1.7766	0.3018	62.5
MRNA_PROCESSING	OV	MYO1B|4430	+	A5	chr2:192110352-192141613:192110337-192141613		1.7746	-0.1798	43.75
MRNA_PROCESSING	OV	HSD11B1L|374875	+	MX	chr19:5681282-5684830:5684916-5686911:5681282-5684976:5685130-5686911		1.7654	0.2004	31.25
MRNA_PROCESSING	OV	TMEM180|79847	+	SE	chr10:104229832-104230422:104230874-104231030		1.7602	0.2816	43.75
MRNA_PROCESSING	OV	LRRC29|26231	-	RI	chr16:67241043:67241407-67241502:67241676		1.7556	0.0388	31.25
MRNA_PROCESSING	OV	MTMR10|54893	-	SE	chr15:31253276-31260123:31260213-31266517		1.7537	-0.3026	81.25
MRNA_PROCESSING	OV	SLC9A8|23315	+	SE	chr20:48466217-48467299:48467381-48471975		1.751	-0.2204	31.25
MRNA_PROCESSING	OV	SEMA4G|57715	+	RI	chr10:102743062:102744114-102744247:102745372		1.7366	-0.0866	50
MRNA_PROCESSING	OV	MEF2A|4205	+	SE	chr15:100106309-100138635:100138716-100173183		1.7366	-0.0717	31.25
MRNA_PROCESSING	OV	KLC2|64837	+	A5	chr11:66025342-66026055:66025201-66026055		1.7366	0.0651	25
MRNA_PROCESSING	OV	MYB|4602	+	A5	chr6:135515598-135516886:135515589-135516886		1.7365	-0.0327	25
MRNA_PROCESSING	OV	NVL|4931	-	SE	chr1:224505632-224514093:224514166-224517773		1.7365	-0.1648	18.75
MRNA_PROCESSING	OV	SNX14|57231	-	A5	chr6:86284096-86303297:86284096-86303552		1.7339	-0.1187	18.75
MRNA_PROCESSING	OV	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		1.7202	-0.3153	68.75
MRNA_PROCESSING	OV	MYST2|11143	+	SE	chr17:47893275-47895182:47895373-47898699		1.7188	-0.2279	37.5
MRNA_PROCESSING	OV	QTRTD1|79691	+	SE	chr3:113775711-113775846:113775953-113784084		1.7016	0.0615	50
MRNA_PROCESSING	OV	THTPA|79178	+	A5	chr14:24026248-24027904:24025552-24027904		1.6946	-0.2636	50
MRNA_PROCESSING	OV	USP1|7398	+	A5	chr1:62902233-62905470:62902138-62905470		1.694	-0.2881	31.25
MRNA_PROCESSING	OV	DEPDC5|9681	+	A3	chr22:32229966-32232985:32229966-32233080		1.6893	-0.2071	43.75
MRNA_PROCESSING	OV	MACF1|23499	+	A3	chr1:39929358-39934269:39929358-39934287		1.6833	0.3119	43.75
MRNA_PROCESSING	OV	SDCCAG3|10807	-	SE	chr9:139302390-139303451:139303519-139304542		1.6814	-0.2852	43.75
MRNA_PROCESSING	OV	DHRS2|10202	+	A5	chr14:24114095-24114351:24114091-24114351		1.6712	0.0118	18.75
MRNA_PROCESSING	OV	AGAP2|116986	-	A3	chr12:58124397-58124574:58124394-58124574		1.6701	-0.2227	12.5
MRNA_PROCESSING	OV	ACACA|31	-	SE	chr17:35506898-35508226:35508346-35512605		1.6691	-0.0084	31.25
MRNA_PROCESSING	OV	TTYH3|80727	+	SE	chr7:2687272-2687593:2687688-2689201		1.6664	-0.1967	37.5
MRNA_PROCESSING	OV	MEG3|55384	+	SE	chr14:101296086-101297758:101297871-101302504		1.6644	-0.018	6.25
MRNA_PROCESSING	OV	C1orf84|149469	+	A3	chr1:43868973-43869272:43868973-43869278		1.6557	0.06	18.75
MRNA_PROCESSING	OV	DOCK11|139818	+	SE	chrX:117749674-117750165:117750203-117752513		1.6529	0.2052	37.5
MRNA_PROCESSING	OV	DUS4L|11062	+	SE	chr7:107211711-107214149:107214328-107215633		1.6529	0.1739	31.25
MRNA_PROCESSING	OV	ITGA7|3679	-	SE	chr12:56088479-56088562:56088754-56089306		1.6458	-0.2185	68.75
MRNA_PROCESSING	OV	IQSEC3|440073	+	SE	chr12:208380-234799:235078-247433		1.6413	0.1196	6.25
MRNA_PROCESSING	OV	INPP5K|51763	-	SE	chr17:1413093-1416747:1416848-1417166		1.6412	-0.0249	31.25
MRNA_PROCESSING	OV	RHOT1|55288	+	SE	chr17:30535328-30538135:30538257-30551635		1.6374	-0.1055	12.5
MRNA_PROCESSING	OV	CEP78|84131	+	A3	chr9:80863789-80866821:80863789-80866824		1.6358	0.1254	43.75
MRNA_PROCESSING	OV	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		1.6346	0.002	56.25
MRNA_PROCESSING	OV	PTPN22|26191	-	SE	chr1:114394726-114397093:114397159-114401100		1.632	-0.0368	31.25
MRNA_PROCESSING	OV	CCDC76|54482	+	A3	chr1:100609699-100613450:100609699-100613649		1.6272	-0.2072	25
MRNA_PROCESSING	OV	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609135-33622926		1.6257	-0.1448	25
MRNA_PROCESSING	OV	BAT5|7920	-	SE	chr6:31668805-31669851:31669907-31670927		1.6248	-0.2138	25
MRNA_PROCESSING	OV	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		1.6225	-0.2078	43.75
MRNA_PROCESSING	OV	C2orf18|54978	+	SE	chr2:26987294-26997119:26997191-26998332		1.6213	-0.0563	25
MRNA_PROCESSING	OV	SERPINA1|5265	-	A5	chr14:94855347-94856757:94855347-94856794		1.6205	-0.1117	12.5
MRNA_PROCESSING	OV	OBFC2A|64859	+	A5	chr2:192543431-192543716:192542967-192543716		1.6183	0.1987	31.25
MRNA_PROCESSING	OV	NUMB|8650	-	SE	chr14:73744001-73749067:73749213-73753818		1.6141	-0.0673	31.25
MRNA_PROCESSING	OV	OGDHL|55753	-	SE	chr10:50960786-50966435:50966639-50970285		1.6129	-0.092	12.5
MRNA_PROCESSING	OV	PLXND1|23129	-	A5	chr3:129277418-129278460:129277418-129278463		1.6116	0.272	37.5
MRNA_PROCESSING	OV	THYN1|29087	-	A5	chr11:134122810-134123121:134122810-134123193		1.6103	0.1182	37.5
MRNA_PROCESSING	OV	DPH5|51611	-	A5	chr1:101491022-101491221:101491022-101491361		1.6098	0.0198	37.5
MRNA_PROCESSING	OV	SOS1|6654	-	SE	chr2:39214732-39216411:39216455-39222264		1.6077	-0.2633	31.25
MRNA_PROCESSING	OV	TTLL9|164395	+	MX	chr20:30512852-30513676:30513763-30521603:30512852-30513852:30513894-30521603		1.6068	0.0986	18.75
MRNA_PROCESSING	OV	IL15|3600	+	A5	chr4:142558377-142577339:142557901-142577339		1.6039	-0.1011	18.75
MRNA_PROCESSING	OV	SLC25A30|253512	-	SE	chr13:45980112-45983062:45983209-45985497		1.6038	0.0597	43.75
