# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PRIMARY_IMMUNODEFICIENCY	CESC	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		9.1797	-0.6337	100
PRIMARY_IMMUNODEFICIENCY	CESC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		7.1289	-0.4622	100
PRIMARY_IMMUNODEFICIENCY	CESC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		6.7441	-0.6531	100
PRIMARY_IMMUNODEFICIENCY	CESC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		6.4948	0.6368	93.75
PRIMARY_IMMUNODEFICIENCY	CESC	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		6.0008	0.5403	100
PRIMARY_IMMUNODEFICIENCY	CESC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		5.9937	-0.6195	100
PRIMARY_IMMUNODEFICIENCY	CESC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		5.8651	0.6632	100
PRIMARY_IMMUNODEFICIENCY	CESC	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		5.6167	-0.347	100
PRIMARY_IMMUNODEFICIENCY	CESC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		5.5332	0.5904	93.75
PRIMARY_IMMUNODEFICIENCY	CESC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		5.2836	0.5904	93.75
PRIMARY_IMMUNODEFICIENCY	CESC	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		5.2749	-0.5688	81.25
PRIMARY_IMMUNODEFICIENCY	CESC	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		4.6003	0.5026	81.25
PRIMARY_IMMUNODEFICIENCY	CESC	AOAH|313	-	SE	chr7:36552986-36554078:36554196-36561645		4.4073	0.293	25
PRIMARY_IMMUNODEFICIENCY	CESC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		4.3896	0.5155	100
PRIMARY_IMMUNODEFICIENCY	CESC	LY9|4063	+	SE	chr1:160793586-160793971:160794039-160797538		4.1686	0.353	87.5
PRIMARY_IMMUNODEFICIENCY	CESC	KLRK1|22914	-	SE	chr12:10531304-10532046:10532081-10532299		4.0985	0.4124	87.5
PRIMARY_IMMUNODEFICIENCY	CESC	LST1|7940	+	A3	chr6:31555743-31556295:31555743-31556340		4.0298	-0.3438	62.5
PRIMARY_IMMUNODEFICIENCY	CESC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		4.024	0.344	56.25
