# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
S_PHASE	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.1575	0.6882	50
S_PHASE	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		5.2248	0.6345	12.5
S_PHASE	STAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		4.9205	-0.5901	81.25
S_PHASE	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		4.7856	0.6316	50
S_PHASE	STAD	PUM2|23369	-	SE	chr2:20463221-20478344:20478580-20482708		4.7474	0.4579	43.75
S_PHASE	STAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		4.6514	-0.6324	12.5
S_PHASE	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		4.6317	-0.5602	25
S_PHASE	STAD	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		4.4383	-0.5511	87.5
S_PHASE	STAD	F10|2159	+	A5	chr13:113801810-113803230:113801806-113803230		4.3162	-0.379	25
S_PHASE	STAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		4.0451	-0.4235	62.5
S_PHASE	STAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		4.008	-0.5802	43.75
S_PHASE	STAD	CAMKK2|10645	-	RI	chr12:121675496:121678327-121678328:121678672		3.9066	-0.5044	31.25
S_PHASE	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.7796	0.5376	43.75
S_PHASE	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.7743	0.4745	43.75
S_PHASE	STAD	MRPL33|9553	+	SE	chr2:27995559-27997291:27997397-28002300		3.7107	0.4433	37.5
S_PHASE	STAD	SRP9|6726	+	SE	chr1:225971070-225974564:225974687-225976942		3.7091	-0.3074	37.5
S_PHASE	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.7023	-0.5738	56.25
S_PHASE	STAD	ABCA10|10349	-	A5	chr17:67145229-67146125:67145229-67146129		3.6691	-0.1114	43.75
