# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	BRCA	DIS3L2|129563	+	A3	chr2:233200584-233200851:233200584-233201179		5.1261	-0.7008	62.5
PROTEIN_SECRETION	BRCA	RHOT2|89941	+	RI	chr16:720892:721000-721083:721203		4.9063	-0.679	62.5
PROTEIN_SECRETION	BRCA	METT11D1|64745	+	RI	chr14:21464686:21464870-21464944:21465192		4.8832	-0.5557	56.25
PROTEIN_SECRETION	BRCA	AP1G2|8906	-	SE	chr14:24034910-24035025:24035101-24035273		4.679	0.6141	75
PROTEIN_SECRETION	BRCA	RTEL1|51750	+	RI	chr20:62321103:62321218-62321440:62321563		4.5763	-0.6856	56.25
PROTEIN_SECRETION	BRCA	CDK5RAP3|80279	+	A5	chr17:46051401-46051766:46051397-46051766		4.3934	-0.5839	43.75
PROTEIN_SECRETION	BRCA	KIAA0664|23277	-	RI	chr17:2597194:2597333-2597417:2597570		4.3624	-0.6847	68.75
PROTEIN_SECRETION	BRCA	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		4.3258	0.6574	87.5
PROTEIN_SECRETION	BRCA	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		4.2207	0.5941	62.5
PROTEIN_SECRETION	BRCA	MLH3|27030	-	SE	chr14:75500193-75503296:75503445-75505043		4.2114	0.6644	68.75
PROTEIN_SECRETION	BRCA	SREBF1|6720	-	RI	chr17:17720862:17720905-17721010:17721230		4.1789	-0.7008	75
PROTEIN_SECRETION	BRCA	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		3.9867	0.6132	62.5
PROTEIN_SECRETION	BRCA	POLM|27434	-	RI	chr7:44113730:44113832-44113997:44114129		3.912	-0.5751	56.25
PROTEIN_SECRETION	BRCA	R3HDM2|22864	-	SE	chr12:57663777-57666236:57666337-57674141		3.901	-0.6876	6.25
PROTEIN_SECRETION	BRCA	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		3.795	-0.6727	75
PROTEIN_SECRETION	BRCA	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		3.7398	0.6632	93.75
PROTEIN_SECRETION	BRCA	GK5|256356	-	SE	chr3:141901891-141903553:141904635-141904771		3.6905	-0.5409	81.25
PROTEIN_SECRETION	BRCA	RBM33|155435	+	A3	chr7:155538296-155556503:155538296-155556506		3.644	-0.6555	75
PROTEIN_SECRETION	BRCA	SYNCRIP|10492	-	SE	chr6:86350282-86351010:86351169-86352515		3.6429	0.5733	31.25
PROTEIN_SECRETION	BRCA	SFRS16|11129	+	A5	chr19:45561156-45562526:45561140-45562526		3.6166	-0.6079	43.75
PROTEIN_SECRETION	BRCA	SCAP|22937	-	A3	chr3:47459316-47459624:47459313-47459624		3.6063	0.6922	81.25
PROTEIN_SECRETION	BRCA	POLM|27434	-	SE	chr7:44114129-44116108:44116228-44118339		3.4511	0.5751	75
