# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	PRAD	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		4.1536	-0.4261	81.25
CHROMOSOME_LOCALIZATION	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		3.8527	0.5148	50
CHROMOSOME_LOCALIZATION	PRAD	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		3.6126	-0.3193	56.25
CHROMOSOME_LOCALIZATION	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.6004	-0.4065	43.75
CHROMOSOME_LOCALIZATION	PRAD	TPM1|7168	+	A5	chr15:63356389-63358095:63356341-63358095		3.5627	0.4734	43.75
CHROMOSOME_LOCALIZATION	PRAD	NCAPG|64151	+	SE	chr4:17816621-17816897:17816981-17818884		3.4508	0.2748	50
CHROMOSOME_LOCALIZATION	PRAD	EPB41L1|2036	+	SE	chr20:34700402-34713345:34713449-34763473		3.3842	0.4162	50
CHROMOSOME_LOCALIZATION	PRAD	CDK1|983	+	A5	chr10:62538426-62539899:62538328-62539899		3.3726	0.1818	18.75
CHROMOSOME_LOCALIZATION	PRAD	FOXM1|2305	-	SE	chr12:2973918-2974521:2974565-2975559		3.3703	0.239	62.5
CHROMOSOME_LOCALIZATION	PRAD	NCAPG|64151	+	A3	chr4:17824746-17825270:17824746-17825295		3.3029	0.2748	56.25
CHROMOSOME_LOCALIZATION	PRAD	TRMU|55687	+	A3	chr22:46742441-46746188:46742441-46746243		3.2232	0.3149	62.5
CHROMOSOME_LOCALIZATION	PRAD	CENPA|1058	+	SE	chr2:27015108-27015624:27015701-27016013		3.1712	0.2672	50
CHROMOSOME_LOCALIZATION	PRAD	RAD54L|8438	+	SE	chr1:46738474-46739027:46739137-46739296		3.1306	0.4198	62.5
CHROMOSOME_LOCALIZATION	PRAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.0911	0.3731	50
CHROMOSOME_LOCALIZATION	PRAD	SORBS2|8470	-	A5	chr4:186611765-186696381:186611765-186696385		3.0764	0.3635	12.5
CHROMOSOME_LOCALIZATION	PRAD	MELK|9833	+	SE	chr9:36651874-36657238:36657360-36665347		3.0701	-0.3004	50
CHROMOSOME_LOCALIZATION	PRAD	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		3.0188	0.2983	43.75
CHROMOSOME_LOCALIZATION	PRAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		3.0069	-0.4034	50
CHROMOSOME_LOCALIZATION	PRAD	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		2.9029	-0.5037	37.5
CHROMOSOME_LOCALIZATION	PRAD	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.8957	-0.4187	43.75
CHROMOSOME_LOCALIZATION	PRAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.81	0.4856	56.25
CHROMOSOME_LOCALIZATION	PRAD	SORBS2|8470	-	A3	chr4:186606000-186611716:186605996-186611716		2.7448	-0.3954	31.25
CHROMOSOME_LOCALIZATION	PRAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.7093	0.2684	56.25
CHROMOSOME_LOCALIZATION	PRAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		2.7074	0.4161	56.25
CHROMOSOME_LOCALIZATION	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.6593	-0.4532	62.5
CHROMOSOME_LOCALIZATION	PRAD	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967210		2.6216	0.3087	68.75
CHROMOSOME_LOCALIZATION	PRAD	PDLIM7|9260	-	MX	chr5:176918147-176918405:176918421-176919406:176918147-176918808:176918926-176919406		2.557	-0.4147	43.75
CHROMOSOME_LOCALIZATION	PRAD	EFEMP2|30008	-	RI	chr11:65633913:65634183-65634316:65634550		2.4785	0.3397	50
CHROMOSOME_LOCALIZATION	PRAD	REPS1|85021	-	SE	chr6:139242261-139247538:139247618-139251114		2.4717	0.3231	75
CHROMOSOME_LOCALIZATION	PRAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.4662	-0.4497	56.25
CHROMOSOME_LOCALIZATION	PRAD	CLASP2|23122	-	SE	chr3:33617767-33618694:33618756-33623313		2.4549	-0.3588	6.25
CHROMOSOME_LOCALIZATION	PRAD	SMTN|6525	+	SE	chr22:31487468-31487661:31487833-31491289		2.4022	0.2718	25
CHROMOSOME_LOCALIZATION	PRAD	SMTN|6525	+	SE	chr22:31495882-31496871:31497035-31500302		2.3481	0.3134	18.75
CHROMOSOME_LOCALIZATION	PRAD	PKMYT1|9088	-	A3	chr16:3023446-3024001:3023216-3024001		2.3367	-0.2168	25
CHROMOSOME_LOCALIZATION	PRAD	ATP2B4|493	+	SE	chr1:203691817-203693009:203693116-203696523		2.3066	0.2769	43.75
CHROMOSOME_LOCALIZATION	PRAD	ACLY|47	-	SE	chr17:40049427-40052873:40052902-40054002		2.282	0.3633	56.25
CHROMOSOME_LOCALIZATION	PRAD	FAM72D|728833	-	SE	chr1:143897641-143906012:143906136-143910078		2.2761	0.21	56.25
CHROMOSOME_LOCALIZATION	PRAD	INF2|64423	+	SE	chr14:105181193-105181621:105181677-105185132		2.1967	0.2972	12.5
CHROMOSOME_LOCALIZATION	PRAD	CYP3A5|1577	-	A3	chr7:99274199-99277449:99273831-99277449		2.1803	-0.2499	31.25
CHROMOSOME_LOCALIZATION	PRAD	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		2.1799	-0.3441	50
CHROMOSOME_LOCALIZATION	PRAD	PARD3|56288	-	A5	chr10:34625171-34626203:34625171-34626293		2.1727	0.3236	37.5
CHROMOSOME_LOCALIZATION	PRAD	TRMU|55687	+	SE	chr22:46733841-46739159:46739265-46742319		2.1678	0.3276	25
CHROMOSOME_LOCALIZATION	PRAD	APLP2|334	+	SE	chr11:129992408-129993507:129993674-129996595		2.1515	0.2464	43.75
CHROMOSOME_LOCALIZATION	PRAD	GRIN1|2902	+	SE	chr9:140058356-140059638:140059748-140062226		2.1454	0.0859	6.25
CHROMOSOME_LOCALIZATION	PRAD	FAM64A|54478	+	SE	chr17:6352727-6353348:6353392-6353682		2.1395	0.1881	56.25
CHROMOSOME_LOCALIZATION	PRAD	MIPOL1|145282	+	SE	chr14:37667309-37696931:37697043-37716308		2.1374	-0.019	43.75
CHROMOSOME_LOCALIZATION	PRAD	CLK2|1196	-	SE	chr1:155238150-155238499:155238583-155239279		2.1217	0.1872	25
CHROMOSOME_LOCALIZATION	PRAD	KIF20A|10112	+	RI	chr5:137517111:137517137-137517192:137517200		2.1169	0.2815	37.5
CHROMOSOME_LOCALIZATION	PRAD	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		2.112	0.3515	56.25
CHROMOSOME_LOCALIZATION	PRAD	FOXM1|2305	-	A3	chr12:2981413-2983143:2981410-2983143		2.0839	0.1488	50
CHROMOSOME_LOCALIZATION	PRAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.0684	-0.2534	68.75
CHROMOSOME_LOCALIZATION	PRAD	BIRC5|332	+	SE	chr17:76210870-76212047:76212115-76212745		2.0615	0.2873	62.5
CHROMOSOME_LOCALIZATION	PRAD	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		2.0562	0.3129	56.25
CHROMOSOME_LOCALIZATION	PRAD	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		2.044	0.4043	62.5
CHROMOSOME_LOCALIZATION	PRAD	ABI2|10152	+	SE	chr2:204259569-204260379:204260503-204267299		2.034	0.3184	25
CHROMOSOME_LOCALIZATION	PRAD	CDC45|8318	+	SE	chr22:19468568-19470213:19470350-19471385		2.0322	0.1471	50
CHROMOSOME_LOCALIZATION	PRAD	NEK2|4751	-	A3	chr1:211836994-211840448:211836970-211840448		2.0191	0.1277	81.25
CHROMOSOME_LOCALIZATION	PRAD	IL17RE|132014	+	A3	chr3:9955708-9956086:9955708-9956232		2.006	-0.0064	18.75
CHROMOSOME_LOCALIZATION	PRAD	KLK4|9622	-	SE	chr19:51410342-51411615:51411747-51411835		1.984	-0.2881	6.25
CHROMOSOME_LOCALIZATION	PRAD	DNM2|1785	+	SE	chr19:10916643-10919245:10919256-10922940		1.9836	0.3599	62.5
CHROMOSOME_LOCALIZATION	PRAD	CAST|831	+	A3	chr5:96098076-96100925:96098076-96100928		1.9718	0.2655	25
CHROMOSOME_LOCALIZATION	PRAD	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		1.9689	-0.2749	37.5
CHROMOSOME_LOCALIZATION	PRAD	ADAM15|8751	+	MX	chr1:155033965-155034052:155034122-155034721:155033965-155034380:155034593-155034721		1.9521	-0.1772	18.75
CHROMOSOME_LOCALIZATION	PRAD	CLSTN3|9746	+	A5	chr12:7310342-7310537:7310287-7310537		1.9482	-0.2318	25
CHROMOSOME_LOCALIZATION	PRAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		1.945	0.3631	62.5
CHROMOSOME_LOCALIZATION	PRAD	CDC25C|995	-	SE	chr5:137664218-137665242:137665336-137666676		1.9179	0.3585	62.5
CHROMOSOME_LOCALIZATION	PRAD	TLE2|7089	-	RI	chr19:3019281:3019461-3019697:3019771		1.9103	-0.1344	56.25
CHROMOSOME_LOCALIZATION	PRAD	TRO|7216	+	SE	chrX:54955143-54957174:54957464-54957637		1.9055	0.214	31.25
