# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	AP1G2|8906	-	A5	chr14:24035628-24036320:24035628-24036446		2.9366	-0.4055	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	NUSAP1|51203	+	A3	chr15:41641439-41643186:41641439-41643231		2.5942	-0.2983	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	LENG8|114823	+	SE	chr19:54963931-54964725:54964835-54965609		2.5715	0.3333	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	ARHGEF4|50649	+	RI	chr2:131798803:131799035-131799388:131799517		2.5603	-0.3316	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	HSH2D|84941	+	RI	chr19:16263362:16263451-16263853:16264018		2.4334	-0.374	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		2.4164	-0.3803	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	RASSF7|8045	+	SE	chr11:563317-563396:563478-563558		2.397	-0.383	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.3073	-0.4052	81.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	OFD1|8481	+	A3	chrX:13769487-13770823:13769487-13771487		2.2208	-0.3667	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	TOP3B|8940	-	RI	chr22:22311404:22311967-22312864:22313065		2.1382	-0.2671	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		2.0368	0.3637	81.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	ADAM15|8751	+	SE	chr1:155033965-155034380:155034593-155034721		2.0297	-0.1635	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	ZNF738|148203	+	A3	chr19:21558766-21560191:21558766-21561431		1.9884	0.0959	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		1.9546	0.1597	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	ZNF135|7694	+	A3	chr19:58574909-58578073:58574909-58578109		1.9493	-0.2364	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	NCAPH|23397	+	A3	chr2:97001586-97007413:97001586-97007452		1.9485	0.2029	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		1.9076	-0.4261	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	LRDD|55367	-	A3	chr11:803647-804094:803587-804094		1.9005	-0.3447	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	OGFOD2|79676	+	RI	chr12:123461418:123461517-123462907:123463116		1.8916	-0.3673	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	RAB6A|5870	-	MX	chr11:73427407-73429658:73429763-73431891:73427407-73429830:73429935-73431891		1.8813	0.2555	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CSF2RA|1438	+	SE	chrX:1387772-1393648:1393735-1401571		1.881	-0.1626	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CCNL2|81669	-	A3	chr1:1328183-1328776:1326245-1328776		1.8775	-0.2617	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	LILRB1|10859	+	A3	chr19:55145139-55145422:55145139-55145425		1.8769	-0.1368	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	PNPO|55163	+	SE	chr17:46019179-46020672:46020796-46021982		1.8691	-0.2472	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CTNND1|1500	+	A5	chr11:57529591-57556509:57529518-57556509		1.8375	0.1626	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	SLC25A28|81894	-	A5	chr10:101372356-101373173:101372356-101373453		1.815	-0.3901	12.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	LENG8|114823	+	A5	chr19:54960488-54962467:54960484-54962467		1.8143	0.3333	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	PRPF39|55015	+	RI	chr14:45565306:45565431-45566090:45566208		1.8077	-0.3866	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	SULT1A3|6818	+	RI	chr16:29475784:29476275-29476276:29476300		1.793	-0.2454	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		1.784	-0.378	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	CDK10|8558	+	A5	chr16:89755732-89756961:89755714-89756961		1.7831	0.374	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	CESC	ATXN7L2|127002	+	RI	chr1:110031469:110031722-110032552:110032750		1.7635	-0.2973	50
