# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		8.5879	-0.7762	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		7.7299	-0.7484	100
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		7.5232	0.7756	50
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.0907	-0.68	100
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.9933	-0.7352	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.8127	0.7673	100
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	PRRX1|5396	+	SE	chr1:170695542-170699418:170699489-170705189		5.7699	0.388	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	MFAP5|8076	-	SE	chr12:8803185-8804258:8804287-8807033		5.7648	0.3871	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		5.7238	0.6828	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		5.6845	0.5431	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		5.494	0.7107	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		5.4231	-0.6508	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		5.07	-0.6553	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		5.0177	0.5637	75
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	C20orf103|24141	+	SE	chr20:9496272-9496647:9496778-9496903		4.8549	0.5592	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	COAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.789	-0.6779	100
