# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_SPLICING	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		6.4054	-0.5542	87.5
MRNA_SPLICING	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		6.2356	-0.5432	68.75
MRNA_SPLICING	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		6.1999	-0.4934	87.5
MRNA_SPLICING	LUSC	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		6.0642	0.3343	50
MRNA_SPLICING	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		6.0184	-0.492	62.5
MRNA_SPLICING	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		4.6252	-0.4603	68.75
MRNA_SPLICING	LUSC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.3425	0.3823	68.75
MRNA_SPLICING	LUSC	TMEM150A|129303	-	SE	chr2:85827141-85827468:85827535-85828144		4.0659	-0.3038	25
MRNA_SPLICING	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.8206	0.4186	50
MRNA_SPLICING	LUSC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		3.812	-0.3231	43.75
MRNA_SPLICING	LUSC	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		3.7702	0.2901	81.25
MRNA_SPLICING	LUSC	CPZ|8532	+	SE	chr4:8594648-8601180:8601212-8602850		3.74	-0.2725	50
MRNA_SPLICING	LUSC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		3.6968	-0.235	43.75
MRNA_SPLICING	LUSC	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		3.6723	-0.3401	43.75
MRNA_SPLICING	LUSC	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		3.6129	0.3717	50
MRNA_SPLICING	LUSC	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		3.5557	0.3763	50
MRNA_SPLICING	LUSC	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		3.379	-0.3902	50
MRNA_SPLICING	LUSC	CPNE5|57699	-	SE	chr6:36716044-36720811:36720872-36724022		3.3291	-0.1329	37.5
MRNA_SPLICING	LUSC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.3182	-0.2604	68.75
MRNA_SPLICING	LUSC	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.246	-0.3876	56.25
MRNA_SPLICING	LUSC	LAMA2|3908	+	SE	chr6:129794497-129796535:129796546-129799838		3.2424	-0.4301	68.75
MRNA_SPLICING	LUSC	TBC1D10C|374403	+	A3	chr11:67173172-67173374:67173172-67173378		3.173	-0.0869	31.25
MRNA_SPLICING	LUSC	F10|2159	+	A5	chr13:113801810-113803230:113801800-113803230		3.1605	-0.3236	18.75
MRNA_SPLICING	LUSC	C15orf27|123591	+	SE	chr15:76430236-76448945:76449099-76452436		3.1454	-0.3256	6.25
MRNA_SPLICING	LUSC	SIGLECP3|284367	+	SE	chr19:51671624-51671860:51671907-51675323		3.1224	-0.162	12.5
MRNA_SPLICING	LUSC	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		3.1219	-0.4226	75
MRNA_SPLICING	LUSC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		3.0846	0.4143	56.25
MRNA_SPLICING	LUSC	KCND3|3752	-	SE	chr1:112319895-112321058:112321114-112322847		3.0528	-0.3094	25
MRNA_SPLICING	LUSC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.9668	0.397	68.75
MRNA_SPLICING	LUSC	COL8A2|1296	-	A5	chr1:36565088-36565651:36565088-36565796		2.9494	-0.3448	56.25
MRNA_SPLICING	LUSC	HSH2D|84941	+	RI	chr19:16268020:16268208-16268210:16269375		2.9105	-0.3315	43.75
MRNA_SPLICING	LUSC	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		2.8894	0.377	56.25
MRNA_SPLICING	LUSC	DCAF8|50717	-	A5	chr1:160231148-160232066:160231148-160232239		2.8796	-0.2936	56.25
MRNA_SPLICING	LUSC	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.8708	0.4028	43.75
MRNA_SPLICING	LUSC	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		2.868	-0.3683	31.25
MRNA_SPLICING	LUSC	SHE|126669	-	A3	chr1:154459159-154461527:154459154-154461527		2.8593	-0.2958	37.5
MRNA_SPLICING	LUSC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.8377	-0.4093	43.75
MRNA_SPLICING	LUSC	SH3TC1|54436	+	A3	chr4:8233883-8234135:8233883-8235090		2.8285	0.3715	25
MRNA_SPLICING	LUSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.8257	0.4446	75
MRNA_SPLICING	LUSC	HIATL1|84641	+	SE	chr9:97216352-97218522:97218619-97220604		2.7857	-0.3442	56.25
MRNA_SPLICING	LUSC	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		2.7835	0.1451	37.5
MRNA_SPLICING	LUSC	JAK3|3718	-	A3	chr19:17955270-17958755:17955239-17958755		2.778	0.4049	56.25
MRNA_SPLICING	LUSC	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.753	0.3425	50
MRNA_SPLICING	LUSC	FGD2|221472	+	A3	chr6:36982814-36983544:36982814-36983576		2.7454	-0.3289	37.5
