# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	LUSC	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	2.4057	0.5282	81.25
ANGIOGENESIS	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	1.9977	0.4495	56.25
ANGIOGENESIS	LUSC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	1.6002	-0.3341	75
ANGIOGENESIS	LUSC	NRP2|8828	+	A5	chr2:206631542-206656959:206631527-206656959	Observed	1.5438	0.2027	56.25
ANGIOGENESIS	LUSC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.4584	-0.5135	81.25
ANGIOGENESIS	LUSC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.417	0.3484	93.75
ANGIOGENESIS	LUSC	ING1|3621	+	A5	chr13:111366632-111371576:111365933-111371576	Observed	1.4169	0.1349	56.25
ANGIOGENESIS	LUSC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.4149	0.1897	75
ANGIOGENESIS	LUSC	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	1.3925	0.4118	87.5
ANGIOGENESIS	LUSC	STAT3|6774	-	SE	chr17:40498731-40500407:40500557-40540297	Observed	1.3621	0.45	56.25
ANGIOGENESIS	LUSC	PFKFB3|5209	+	SE	chr10:6266176-6268155:6268328-6274858	Observed	1.2012	0.4611	56.25
ANGIOGENESIS	LUSC	ABL2|27	-	RI	chr1:179068463:179078033-179078343:179078576	Observed	1.001	0.1694	68.75
ANGIOGENESIS	LUSC	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	1.001	0.1725	62.5
ANGIOGENESIS	LUSC	STAT3|6774	-	SE	chr17:40498731-40500407:40500535-40540297	Observed	1.001	0.4283	62.5
ANGIOGENESIS	LUSC	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657	Observed	1.001	0.3704	81.25
ANGIOGENESIS	LUSC	EDA|1896	+	A5	chrX:69253378-69255208:69253372-69255208	Observed	0.7508	0.1576	56.25
ANGIOGENESIS	LUSC	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	0.6753	0.445	75
ANGIOGENESIS	LUSC	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	0.4407	0.4748	81.25
ANGIOGENESIS	LUSC	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	0.4351	0.0703	62.5
ANGIOGENESIS	LUSC	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	0.4175	0.3293	87.5
ANGIOGENESIS	LUSC	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	0.0897	0.3574	68.75
ANGIOGENESIS	LUSC	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	0.0478	-0.0446	62.5
ANGIOGENESIS	LUSC	HSPG2|3339	-	A3	chr1:22211170-22211260:22211167-22211260	Observed	0.0242	0.158	81.25
