# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	HNSC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	6.3677	-0.7348	81.25
ANGIOGENESIS	HNSC	CEPT1|10390	+	SE	chr1:111717585-111724809:111724940-111725421		5.7672	0.7191	68.75
ANGIOGENESIS	HNSC	COL11A1|1301	-	SE	chr1:103444991-103445153:103445168-103449694		5.388	-0.5842	56.25
ANGIOGENESIS	HNSC	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		5.3004	0.6909	87.5
ANGIOGENESIS	HNSC	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		5.1888	-0.6787	56.25
ANGIOGENESIS	HNSC	TNK2|10188	-	A3	chr3:195594135-195594232:195594129-195594232		5.0591	-0.6615	75
ANGIOGENESIS	HNSC	TNK2|10188	-	SE	chr3:195595580-195596368:195596412-195596985		5.0468	-0.7297	81.25
ANGIOGENESIS	HNSC	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	5.0314	0.7435	81.25
ANGIOGENESIS	HNSC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		4.9624	0.7154	87.5
ANGIOGENESIS	HNSC	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	4.819	0.7283	81.25
ANGIOGENESIS	HNSC	AEBP1|165	+	A5	chr7:44151371-44151453:44151229-44151453		4.6985	-0.7009	81.25
ANGIOGENESIS	HNSC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		4.6249	0.6975	56.25
ANGIOGENESIS	HNSC	ADAM9|8754	+	A5	chr8:38940596-38947566:38940592-38947566		4.4663	-0.6541	75
ANGIOGENESIS	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.4458	-0.2577	81.25
ANGIOGENESIS	HNSC	AEBP1|165	+	A3	chr7:44151649-44151741:44151649-44151805		4.4017	0.7009	87.5
ANGIOGENESIS	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.3859	-0.21	62.5
ANGIOGENESIS	HNSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.2853	0.5295	75
ANGIOGENESIS	HNSC	RREB1|6239	+	SE	chr6:7232140-7240671:7240835-7246657		4.1513	0.4943	50
ANGIOGENESIS	HNSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		4.1421	-0.2667	81.25
ANGIOGENESIS	HNSC	SLC25A16|8034	-	SE	chr10:70263452-70266342:70266475-70276508		4.0703	0.554	56.25
ANGIOGENESIS	HNSC	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		3.9895	0.3663	50
ANGIOGENESIS	HNSC	PRDM2|7799	+	SE	chr1:14057612-14059274:14059377-14068500		3.9868	0.6999	68.75
ANGIOGENESIS	HNSC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.9782	-0.598	93.75
ANGIOGENESIS	HNSC	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		3.8759	0.6701	68.75
ANGIOGENESIS	HNSC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		3.7653	-0.4309	75
ANGIOGENESIS	HNSC	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		3.7452	0.6605	68.75
ANGIOGENESIS	HNSC	NEB|4703	-	SE	chr2:152349008-152349867:152349959-152350675		3.6898	-0.6547	43.75
ANGIOGENESIS	HNSC	EDIL3|10085	-	SE	chr5:83476339-83525673:83525702-83549902		3.654	0.1969	75
ANGIOGENESIS	HNSC	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.6539	-0.4361	12.5
ANGIOGENESIS	HNSC	SIK3|23387	-	SE	chr11:116730320-116731990:116732099-116732557		3.6465	0.6847	68.75
ANGIOGENESIS	HNSC	DDX24|57062	-	SE	chr14:94528967-94545371:94546093-94547465		3.6116	0.6684	75
ANGIOGENESIS	HNSC	MBTPS2|51360	+	SE	chrX:21887796-21896160:21896254-21896615		3.5698	0.6726	68.75
ANGIOGENESIS	HNSC	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.5022	-0.1909	68.75
ANGIOGENESIS	HNSC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891		3.475	-0.5739	62.5
ANGIOGENESIS	HNSC	EXOC3L|283849	-	A5	chr16:67221740-67222624:67221740-67222807		3.4574	0.5906	68.75
ANGIOGENESIS	HNSC	CBLB|868	-	SE	chr3:105397415-105400323:105400454-105400568		3.4495	0.7116	75
ANGIOGENESIS	HNSC	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		3.4316	-0.6463	93.75
ANGIOGENESIS	HNSC	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		3.4291	0.4481	75
ANGIOGENESIS	HNSC	MARCH7|64844	+	A5	chr2:160615869-160619391:160615846-160619391		3.428	-0.7365	93.75
ANGIOGENESIS	HNSC	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		3.4257	0.4032	56.25
ANGIOGENESIS	HNSC	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		3.4072	0.5855	50
ANGIOGENESIS	HNSC	NID1|4811	-	A3	chr1:236145082-236148679:236145067-236148679		3.3827	0.7226	75
ANGIOGENESIS	HNSC	NEB|4703	-	SE	chr2:152349959-152350289:152350381-152350675		3.3792	0.4592	43.75
ANGIOGENESIS	HNSC	KIF13A|63971	-	SE	chr6:17788106-17790103:17790141-17794480		3.3443	-0.5177	56.25
ANGIOGENESIS	HNSC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		3.3302	-0.3954	56.25
