# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	BLCA	RNF10|9921	+	A3	chr12:121000873-121001135:121000873-121001150		4.5963	0.5156	31.25
TRANSLATION	BLCA	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		4.2145	-0.5409	68.75
TRANSLATION	BLCA	SEMA3B|7869	+	A5	chr3:50310874-50310966:50310745-50310966		4.0239	-0.3718	43.75
TRANSLATION	BLCA	TBC1D1|23216	+	SE	chr4:38051519-38053520:38053681-38054727		4.0069	-0.4372	31.25
TRANSLATION	BLCA	ZNF839|55778	+	A5	chr14:102805566-102807660:102805560-102807660		3.9946	0.4524	68.75
TRANSLATION	BLCA	ESRP2|80004	-	SE	chr16:68266191-68266274:68266406-68266480		3.8525	-0.4564	62.5
TRANSLATION	BLCA	CRTC2|200186	-	A3	chr1:153925126-153925281:153925111-153925281		3.6912	0.5413	31.25
TRANSLATION	BLCA	METT11D1|64745	+	A3	chr14:21458757-21460251:21458757-21460283		3.5539	-0.2451	31.25
TRANSLATION	BLCA	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	3.5354	0.4858	62.5
TRANSLATION	BLCA	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		3.4875	0.5532	56.25
TRANSLATION	BLCA	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.3628	0.6173	81.25
TRANSLATION	BLCA	ARID2|196528	+	SE	chr12:46287504-46298125:46298181-46298717		3.3221	0.5463	100
TRANSLATION	BLCA	CRTC2|200186	-	SE	chr1:153921860-153923736:153924142-153924494		3.2242	-0.5362	50
TRANSLATION	BLCA	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.2068	-0.4998	81.25
TRANSLATION	BLCA	MAP7D1|55700	+	A3	chr1:36643802-36644020:36643802-36644047		3.2041	-0.5691	43.75
TRANSLATION	BLCA	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		3.1674	0.5334	93.75
TRANSLATION	BLCA	EIF3E|3646	-	SE	chr8:109252304-109254028:109254142-109260842		3.1482	-0.5272	25
TRANSLATION	BLCA	SYNGAP1|8831	+	A3	chr6:33414563-33415607:33414563-33415620		3.0937	0.5843	68.75
TRANSLATION	BLCA	KLC2|64837	+	SE	chr11:66026293-66029213:66029443-66029594		3.0846	-0.4374	12.5
TRANSLATION	BLCA	RARS2|57038	-	A5	chr6:88279308-88299419:88279308-88299640		3.0368	-0.5781	68.75
TRANSLATION	BLCA	ANK2|287	+	SE	chr4:114294605-114299246:114299337-114302613		2.973	0.4182	68.75
TRANSLATION	BLCA	AASS|10157	-	SE	chr7:121738630-121738799:121738920-121741425		2.945	-0.5378	56.25
TRANSLATION	BLCA	FOXK2|3607	+	SE	chr17:80554067-80557968:80558120-80559179		2.9373	-0.4925	68.75
TRANSLATION	BLCA	C19orf44|84167	+	SE	chr19:16620799-16623825:16623920-16625308		2.9113	-0.0799	31.25
TRANSLATION	BLCA	ESRP2|80004	-	A5	chr16:68264930-68265081:68264930-68265199		2.8598	-0.4564	75
TRANSLATION	BLCA	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	2.8518	0.4556	62.5
TRANSLATION	BLCA	BAZ2B|29994	-	SE	chr2:160269056-160284452:160284553-160284822		2.8516	-0.4814	43.75
TRANSLATION	BLCA	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		2.8455	-0.5714	62.5
TRANSLATION	BLCA	SELENBP1|8991	-	SE	chr1:151340795-151341480:151341665-151341918		2.8414	-0.3002	18.75
TRANSLATION	BLCA	RGL2|5863	-	SE	chr6:33263536-33263805:33264102-33264191		2.8186	-0.5747	87.5
TRANSLATION	BLCA	F11R|50848	-	SE	chr1:160970138-160970421:160970567-160970810		2.8101	-0.5318	37.5
TRANSLATION	BLCA	SUMF2|25870	+	SE	chr7:56141911-56142279:56142332-56144527		2.7931	-0.2143	43.75
TRANSLATION	BLCA	ITGA7|3679	-	SE	chr12:56088479-56088562:56088754-56089306		2.7855	-0.5259	62.5
TRANSLATION	BLCA	TRAP1|10131	-	SE	chr16:3739138-3740828:3740986-3767422		2.7654	-0.5355	43.75
TRANSLATION	BLCA	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.7572	0.5746	62.5
TRANSLATION	BLCA	ACAA2|10449	-	A5	chr18:47329223-47339839:47329223-47340187		2.7474	-0.5237	37.5
TRANSLATION	BLCA	KIAA0195|9772	+	A5	chr17:73487548-73487772:73487536-73487772		2.7439	0.5641	75
TRANSLATION	BLCA	MYL5|4636	+	A3	chr4:669998-672447:669998-672455		2.7395	0.1885	43.75
TRANSLATION	BLCA	LMOD1|25802	-	A5	chr1:201867526-201868366:201867526-201868368		2.7163	0.3655	31.25
TRANSLATION	BLCA	ZNF528|84436	+	SE	chr19:52905281-52905682:52905798-52909160		2.7015	0.0187	25
TRANSLATION	BLCA	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		2.6833	-0.4987	75
TRANSLATION	BLCA	MED24|9862	-	SE	chr17:38189709-38191169:38191225-38191370		2.6817	0.5293	56.25
TRANSLATION	BLCA	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		2.6771	0.5648	81.25
TRANSLATION	BLCA	SMARCD1|6602	+	SE	chr12:50480661-50481146:50481268-50482304		2.6748	-0.4987	50
TRANSLATION	BLCA	GAL3ST4|79690	-	SE	chr7:99758582-99764125:99764428-99764594		2.647	-0.5117	50
TRANSLATION	BLCA	ADCK4|79934	-	SE	chr19:41211086-41211230:41211352-41215964		2.6442	-0.4419	56.25
TRANSLATION	BLCA	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		2.636	-0.3012	43.75
TRANSLATION	BLCA	HADHA|3030	-	SE	chr2:26457223-26459723:26459856-26461802	Observed	2.6295	-0.4624	43.75
TRANSLATION	BLCA	GNB2|2783	+	SE	chr7:100271546-100274171:100274196-100274316		2.6202	-0.135	43.75
TRANSLATION	BLCA	VRK3|51231	-	SE	chr19:50511083-50512493:50512642-50519281		2.619	-0.449	6.25
TRANSLATION	BLCA	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		2.5709	-0.4133	25
TRANSLATION	BLCA	MPRIP|23164	+	SE	chr17:17077389-17078607:17078726-17079740		2.5568	-0.5701	56.25
TRANSLATION	BLCA	PLCB4|5332	+	SE	chr20:9454012-9457364:9457400-9459568		2.5452	-0.3997	62.5
TRANSLATION	BLCA	PLEKHA2|59339	+	RI	chr8:38826939:38827187-38827189:38831428		2.5447	0.5509	50
TRANSLATION	BLCA	CTNNAL1|8727	-	A3	chr9:111705114-111705241:111705108-111705241		2.5438	-0.2744	12.5
TRANSLATION	BLCA	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		2.5292	-0.5701	68.75
TRANSLATION	BLCA	ACCS|84680	+	A5	chr11:44088251-44089178:44087872-44089178		2.5146	-0.4676	18.75
TRANSLATION	BLCA	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958	Observed	2.5058	-0.4469	50
TRANSLATION	BLCA	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		2.5001	-0.5674	68.75
TRANSLATION	BLCA	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		2.4898	-0.5113	56.25
TRANSLATION	BLCA	PHC3|80012	-	A5	chr3:169896726-169899475:169896726-169899490		2.4884	0.1321	50
TRANSLATION	BLCA	ZNF280D|54816	-	SE	chr15:56996465-56999280:56999341-56999461		2.4844	0.2839	50
TRANSLATION	BLCA	MGAT4B|11282	-	A3	chr5:179226310-179226506:179226307-179226506		2.4756	-0.4308	31.25
TRANSLATION	BLCA	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.4685	-0.1615	56.25
TRANSLATION	BLCA	CECR1|51816	-	A3	chr22:17690613-17700246:17690488-17700246		2.4594	0.1222	37.5
TRANSLATION	BLCA	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.4372	-0.3626	43.75
TRANSLATION	BLCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.4128	-0.4852	62.5
TRANSLATION	BLCA	SEC23B|10483	+	A5	chr20:18488616-18491466:18488313-18491466		2.4116	-0.4855	56.25
TRANSLATION	BLCA	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.4067	-0.1057	87.5
TRANSLATION	BLCA	DAPK1|1612	+	SE	chr9:90301654-90311922:90312119-90313571		2.4046	-0.4886	56.25
TRANSLATION	BLCA	RAF1|5894	-	SE	chr3:12645788-12647700:12647798-12650265		2.3973	-0.5541	75
TRANSLATION	BLCA	PLAGL1|5325	-	SE	chr6:144290115-144306272:144306311-144385605		2.3927	-0.2991	25
TRANSLATION	BLCA	C11orf80|79703	+	A3	chr11:66568573-66571466:66568573-66571469		2.3841	0.3194	31.25
TRANSLATION	BLCA	RAB7L1|8934	-	SE	chr1:205739982-205740600:205740781-205743961		2.379	-0.5244	31.25
TRANSLATION	BLCA	SECTM1|6398	-	A3	chr17:80280881-80282458:80280781-80282458		2.3769	0.0921	25
TRANSLATION	BLCA	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856	Observed	2.3377	0.5358	68.75
TRANSLATION	BLCA	ZNF160|90338	-	SE	chr19:53589574-53594666:53594782-53594890		2.3361	-0.3603	31.25
TRANSLATION	BLCA	ZMIZ1|57178	+	SE	chr10:81067328-81070681:81070941-81072399		2.332	-0.5755	68.75
TRANSLATION	BLCA	BIN1|274	-	SE	chr2:127808819-127815049:127815177-127816587		2.3169	-0.0388	50
TRANSLATION	BLCA	TMEM63B|55362	+	SE	chr6:44102833-44103065:44103103-44104086		2.3158	-0.5245	62.5
TRANSLATION	BLCA	RPL14|9045	+	A5	chr3:40498965-40499381:40498854-40499381		2.3046	-0.2123	56.25
TRANSLATION	BLCA	MPPE1|65258	-	SE	chr18:11886620-11886712:11886777-11886916		2.3029	-0.0278	18.75
TRANSLATION	BLCA	C15orf39|56905	+	A5	chr15:75501217-75503090:75501165-75503090		2.2975	0.5694	62.5
TRANSLATION	BLCA	MFAP3|4238	+	SE	chr5:153418571-153429117:153429577-153432480		2.296	-0.5333	62.5
TRANSLATION	BLCA	PAK4|10298	+	SE	chr19:39616559-39658870:39658952-39660172		2.2873	-0.3129	43.75
TRANSLATION	BLCA	BRPF3|27154	+	A3	chr6:36177692-36177978:36177692-36177993		2.2848	0.0071	18.75
TRANSLATION	BLCA	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	2.283	-0.4503	75
TRANSLATION	BLCA	RNF213|57674	+	RI	chr17:78362412:78362489-78362973:78363167		2.2796	0.5559	75
TRANSLATION	BLCA	LAMA3|3909	+	SE	chr18:21479029-21479252:21479419-21481091		2.2718	-0.4574	56.25
TRANSLATION	BLCA	TUBGCP6|85378	-	A3	chr22:50656546-50656618:50656527-50656618		2.265	-0.5726	62.5
TRANSLATION	BLCA	VPS16|64601	+	RI	chr20:2844595:2844729-2844825:2844933		2.2638	0.5665	50
TRANSLATION	BLCA	SEMA3B|7869	+	RI	chr3:50306593:50306750-50306753:50306780		2.253	0.2474	68.75
TRANSLATION	BLCA	AGER|177	-	SE	chr6:32149254-32149383:32149409-32150024		2.2471	-0.0018	25
TRANSLATION	BLCA	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		2.2448	-0.5308	75
TRANSLATION	BLCA	KIAA0195|9772	+	A5	chr17:73487981-73488555:73487933-73488555		2.2397	-0.5641	75
TRANSLATION	BLCA	DTNA|1837	+	A3	chr18:32438362-32443930:32438362-32443934		2.2383	-0.2322	12.5
TRANSLATION	BLCA	MYL5|4636	+	A5	chr4:669643-669862:669242-669862		2.2382	-0.1885	50
TRANSLATION	BLCA	CUL4A|8451	+	RI	chr13:113882282:113882282-113882291:113882359		2.236	0.4765	43.75
TRANSLATION	BLCA	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		2.2278	-0.5492	75
TRANSLATION	BLCA	ST3GAL3|6487	+	SE	chr1:44202051-44280563:44280605-44303891		2.2171	0.4007	31.25
TRANSLATION	BLCA	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	2.2072	-0.4136	68.75
TRANSLATION	BLCA	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	2.0648	-0.543	81.25
TRANSLATION	BLCA	VARS2|57176	+	SE	chr6:30882121-30882582:30882814-30882933	Observed	1.9715	-0.3924	62.5
TRANSLATION	BLCA	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.7989	-0.2183	93.75
TRANSLATION	BLCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	1.7597	0.5512	87.5
TRANSLATION	BLCA	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	1.6609	-0.0887	56.25
TRANSLATION	BLCA	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	1.6389	-0.5552	75
TRANSLATION	BLCA	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	1.6115	-0.5077	62.5
TRANSLATION	BLCA	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	1.4718	-0.5064	62.5
