# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MYOGENESIS_PATHWAY	LUSC	PLXNB1|5364	-	RI	chr3:48454478:48454578-48455079:48455227		3.7552	-0.515	62.5
MYOGENESIS_PATHWAY	LUSC	PSME4|23198	-	SE	chr2:54096675-54101476:54101631-54102764		3.7502	0.4904	56.25
MYOGENESIS_PATHWAY	LUSC	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		3.5983	-0.456	81.25
MYOGENESIS_PATHWAY	LUSC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503		3.5015	0.525	93.75
MYOGENESIS_PATHWAY	LUSC	LRPPRC|10128	-	SE	chr2:44207087-44209377:44209573-44222938		3.4248	-0.4576	25
MYOGENESIS_PATHWAY	LUSC	USO1|8615	+	SE	chr4:76678726-76681747:76681758-76691592		3.4133	-0.3607	62.5
MYOGENESIS_PATHWAY	LUSC	CLSTN1|22883	-	A5	chr1:9790763-9791180:9790763-9791264		3.3849	-0.5041	81.25
MYOGENESIS_PATHWAY	LUSC	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		3.2201	-0.4777	87.5
MYOGENESIS_PATHWAY	LUSC	RNF123|63891	+	A5	chr3:49750325-49750946:49750089-49750946		3.1821	-0.492	43.75
MYOGENESIS_PATHWAY	LUSC	DNMBP|23268	-	SE	chr10:101654807-101656024:101656154-101657843		3.1357	0.4394	75
MYOGENESIS_PATHWAY	LUSC	AP2A1|160	+	A3	chr19:50308833-50308918:50308833-50308982		3.1174	0.4807	68.75
MYOGENESIS_PATHWAY	LUSC	MLH3|27030	-	SE	chr14:75500193-75503296:75503445-75505043		3.0903	0.4642	87.5
MYOGENESIS_PATHWAY	LUSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.0725	0.4026	100
MYOGENESIS_PATHWAY	LUSC	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		3.0719	-0.322	68.75
MYOGENESIS_PATHWAY	LUSC	GGT7|2686	-	SE	chr20:33437863-33438585:33438720-33439034		3.0168	-0.3291	37.5
MYOGENESIS_PATHWAY	LUSC	SNX19|399979	-	A5	chr11:130781666-130784161:130781666-130786175		2.9577	0.3811	68.75
MYOGENESIS_PATHWAY	LUSC	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		2.9304	-0.4942	81.25
MYOGENESIS_PATHWAY	LUSC	KIAA0319L|79932	-	A3	chr1:35917392-35919158:35917377-35919158		2.9123	-0.4743	68.75
MYOGENESIS_PATHWAY	LUSC	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.8985	0.2664	43.75
MYOGENESIS_PATHWAY	LUSC	AP1B1|162	-	SE	chr22:29735122-29735743:29735763-29736645		2.8772	-0.5029	68.75
MYOGENESIS_PATHWAY	LUSC	NCOR1|9611	-	A3	chr17:15938258-15942747:15938255-15942747		2.8767	0.4706	56.25
MYOGENESIS_PATHWAY	LUSC	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		2.8524	-0.4461	62.5
MYOGENESIS_PATHWAY	LUSC	PGAP3|93210	-	SE	chr17:37829508-37829767:37829903-37830246		2.8245	0.4304	43.75
MYOGENESIS_PATHWAY	LUSC	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		2.7935	0.4086	43.75
MYOGENESIS_PATHWAY	LUSC	TEX10|54881	-	RI	chr9:103108976:103109160-103109449:103109688		2.7892	0.4014	50
MYOGENESIS_PATHWAY	LUSC	ZNF184|7738	-	A5	chr6:27440212-27440508:27440212-27440752		2.7887	0.2997	31.25
MYOGENESIS_PATHWAY	LUSC	FBXO11|80204	-	SE	chr2:48046217-48047501:48047595-48049357		2.7379	0.4422	62.5
MYOGENESIS_PATHWAY	LUSC	SLC44A2|57153	+	SE	chr19:10753127-10753573:10753697-10753955		2.7295	-0.4159	62.5
