# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	STAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		7.5343	-0.565	93.75
COMPLEMENT_ACTIVATION	STAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		7.1182	-0.6418	87.5
COMPLEMENT_ACTIVATION	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		6.5507	-0.6001	75
COMPLEMENT_ACTIVATION	STAD	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		6.5377	0.6077	56.25
COMPLEMENT_ACTIVATION	STAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		6.404	0.5958	68.75
COMPLEMENT_ACTIVATION	STAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		5.8074	-0.5721	100
COMPLEMENT_ACTIVATION	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		5.7306	-0.5652	62.5
COMPLEMENT_ACTIVATION	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		5.7	-0.6065	37.5
COMPLEMENT_ACTIVATION	STAD	SORBS1|10580	-	SE	chr10:97106209-97110973:97111133-97114639		5.2924	0.4578	18.75
COMPLEMENT_ACTIVATION	STAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		5.0241	0.4972	68.75
COMPLEMENT_ACTIVATION	STAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.9353	0.4605	93.75
COMPLEMENT_ACTIVATION	STAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		4.9242	-0.588	56.25
COMPLEMENT_ACTIVATION	STAD	PAK1|5058	-	A3	chr11:77034405-77043775:77034199-77043775		4.903	-0.4936	12.5
COMPLEMENT_ACTIVATION	STAD	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		4.8564	-0.5679	56.25
COMPLEMENT_ACTIVATION	STAD	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.7088	0.4375	81.25
COMPLEMENT_ACTIVATION	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.5346	0.533	81.25
COMPLEMENT_ACTIVATION	STAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.3908	-0.4693	43.75
COMPLEMENT_ACTIVATION	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.3747	-0.532	43.75
COMPLEMENT_ACTIVATION	STAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.2732	-0.4572	100
COMPLEMENT_ACTIVATION	STAD	FNIP1|96459	-	SE	chr5:131044965-131046271:131046354-131052258		4.1269	-0.447	75
COMPLEMENT_ACTIVATION	STAD	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.1199	-0.4795	93.75
COMPLEMENT_ACTIVATION	STAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		4.0746	0.5304	62.5
COMPLEMENT_ACTIVATION	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		4.0707	0.4813	37.5
COMPLEMENT_ACTIVATION	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		3.9011	0.4683	25
COMPLEMENT_ACTIVATION	STAD	SORBS1|10580	-	A5	chr10:97106209-97110966:97106209-97110973		3.8637	-0.4525	18.75
