# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	KIRP	ZFP90|146198	+	A3	chr16:68592027-68592278:68592027-68592376		2.7407	-0.4539	6.25
SPLICEOSOME	KIRP	STK36|27148	+	A3	chr2:219562333-219562577:219562333-219562626		2.5289	-0.3684	43.75
SPLICEOSOME	KIRP	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.3587	-0.3951	75
SPLICEOSOME	KIRP	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.3129	-0.4168	62.5
SPLICEOSOME	KIRP	PRR5L|79899	+	SE	chr11:36467990-36472759:36472885-36483892		2.2785	-0.1977	81.25
SPLICEOSOME	KIRP	GAL3ST4|79690	-	SE	chr7:99758582-99764125:99764428-99764594		2.2675	-0.4184	56.25
SPLICEOSOME	KIRP	CBX7|23492	-	A3	chr22:39530757-39534641:39530478-39534641		2.2047	-0.4423	75
SPLICEOSOME	KIRP	DMAP1|55929	+	A3	chr1:44679199-44679381:44679199-44679421		2.2042	-0.0389	43.75
SPLICEOSOME	KIRP	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.1899	0.297	50
SPLICEOSOME	KIRP	KIAA1191|57179	-	SE	chr5:175775359-175786484:175786570-175786814		2.1637	-0.3703	56.25
SPLICEOSOME	KIRP	KIAA1539|80256	-	RI	chr9:35107378:35107565-35108125:35108346		2.1516	-0.4464	50
SPLICEOSOME	KIRP	DOCK4|9732	-	SE	chr7:111424008-111424153:111424179-111428718		2.0386	0.3873	37.5
SPLICEOSOME	KIRP	MTMR10|54893	-	SE	chr15:31253276-31260123:31260213-31266517		2.024	-0.4267	68.75
SPLICEOSOME	KIRP	MRO|83876	-	SE	chr18:48326513-48327719:48327874-48331524		2.0202	-0.1221	31.25
SPLICEOSOME	KIRP	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		1.9867	0.4407	62.5
