# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	SKCM	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		4.411	0.5378	75
PROTEASOME_DEGRADATION	SKCM	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	4.2455	-0.5581	100
PROTEASOME_DEGRADATION	SKCM	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		4.0815	0.5396	43.75
PROTEASOME_DEGRADATION	SKCM	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		3.9765	-0.5353	62.5
PROTEASOME_DEGRADATION	SKCM	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	3.7023	-0.5411	56.25
PROTEASOME_DEGRADATION	SKCM	PNPLA6|10908	+	A5	chr19:7622174-7623736:7622170-7623736		3.7009	0.5676	75
PROTEASOME_DEGRADATION	SKCM	TTYH3|80727	+	SE	chr7:2687272-2687593:2687688-2689201		3.6776	-0.5538	43.75
PROTEASOME_DEGRADATION	SKCM	RHOC|389	-	A3	chr1:113248874-113249700:113247790-113249700		3.6151	-0.3748	18.75
PROTEASOME_DEGRADATION	SKCM	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		3.6146	0.4718	81.25
PROTEASOME_DEGRADATION	SKCM	ATP13A2|23400	-	SE	chr1:17312853-17312958:17313127-17313300		3.5848	-0.4616	56.25
PROTEASOME_DEGRADATION	SKCM	HLA-F|3134	+	SE	chr6:29693340-29693788:29693820-29694660		3.5522	0.4957	12.5
PROTEASOME_DEGRADATION	SKCM	EIF2AK4|440275	+	SE	chr15:40303547-40308703:40308873-40309309		3.5231	-0.5218	43.75
PROTEASOME_DEGRADATION	SKCM	ARID1B|57492	+	SE	chr6:157495251-157495981:157496139-157502103		3.4908	-0.4147	62.5
PROTEASOME_DEGRADATION	SKCM	JRK|8629	-	RI	chr8:143738875:143740356-143745895:143746092		3.4014	-0.5535	62.5
PROTEASOME_DEGRADATION	SKCM	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		3.3616	0.5625	75
PROTEASOME_DEGRADATION	SKCM	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.3222	-0.3077	62.5
PROTEASOME_DEGRADATION	SKCM	NR1I3|9970	-	SE	chr1:161205767-161206249:161206388-161207831		3.3187	-0.4097	43.75
PROTEASOME_DEGRADATION	SKCM	RREB1|6239	+	SE	chr6:7232140-7240671:7240835-7246657		3.2995	-0.37	31.25
PROTEASOME_DEGRADATION	SKCM	PIK3C3|5289	+	SE	chr18:39535324-39537535:39537723-39542454		3.2943	-0.4165	50
PROTEASOME_DEGRADATION	SKCM	ZCCHC6|79670	-	SE	chr9:88924204-88924378:88924491-88924843		3.2889	-0.516	68.75
PROTEASOME_DEGRADATION	SKCM	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		3.2868	-0.337	56.25
PROTEASOME_DEGRADATION	SKCM	RNF213|57674	+	RI	chr17:78362412:78362489-78362973:78363167		3.211	0.5452	100
PROTEASOME_DEGRADATION	SKCM	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		3.1845	-0.171	50
