# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
S_PHASE	HNSC	WAC|51322	+	SE	chr10:28879761-28884662:28884970-28897115		3.562	-0.4372	37.5
S_PHASE	HNSC	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.9871	-0.4616	81.25
S_PHASE	HNSC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.7444	-0.2856	50
S_PHASE	HNSC	DNAJB6|10049	+	A5	chr7:157129838-157151241:157129774-157151241		2.6025	-0.3172	37.5
S_PHASE	HNSC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.4993	-0.4395	87.5
S_PHASE	HNSC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.4486	-0.4591	75
S_PHASE	HNSC	PAK4|10298	+	SE	chr19:39616559-39658870:39658942-39660172		2.3729	-0.2744	31.25
S_PHASE	HNSC	GUSBL2|375513	-	SE	chr6:58275346-58275636:58276289-58285306		2.3696	-0.295	56.25
S_PHASE	HNSC	DACT1|51339	+	A3	chr14:59108465-59111976:59108465-59112087		2.3214	-0.2506	37.5
S_PHASE	HNSC	IPW|3653	+	MX	chr15:25332746-25334761:25335013-25336737:25332746-25335059:25335157-25336737		2.3138	0.1107	31.25
S_PHASE	HNSC	TMEM104|54868	+	A3	chr17:72815982-72832066:72815982-72835026		2.3039	-0.3982	37.5
S_PHASE	HNSC	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967210		2.3006	-0.0391	31.25
S_PHASE	HNSC	PODNL1|79883	-	SE	chr19:14046643-14046793:14046857-14047180		2.2882	-0.0464	18.75
S_PHASE	HNSC	PLXDC2|84898	+	SE	chr10:20466338-20500598:20500658-20506355		2.2469	-0.4118	81.25
S_PHASE	HNSC	ZNF280D|54816	-	A3	chr15:56999348-56999461:56999341-56999461		2.2343	-0.4412	37.5
S_PHASE	HNSC	CLK4|57396	-	SE	chr5:178043949-178044345:178044435-178045557		2.1613	0.0284	37.5
S_PHASE	HNSC	PTPRD|5789	-	SE	chr9:8525035-8527345:8527353-8528591		2.1443	0.3134	43.75
S_PHASE	HNSC	IL34|146433	+	A3	chr16:70690582-70690863:70690582-70690866		2.1165	-0.0828	50
S_PHASE	HNSC	ANKRD13A|88455	+	MX	chr12:110457133-110458913:110459106-110463547:110457133-110461851:110461917-110463547		2.1121	0.3407	37.5
