# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	KIRC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		7.5358	-0.578	75
ANGIOGENESIS	KIRC	CAMKK2|10645	-	SE	chr12:121678672-121682376:121682418-121682943		7.5111	0.4335	62.5
ANGIOGENESIS	KIRC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		7.0696	0.5083	93.75
ANGIOGENESIS	KIRC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		6.9854	-0.6124	68.75
ANGIOGENESIS	KIRC	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		6.9409	0.5915	81.25
ANGIOGENESIS	KIRC	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.8639	-0.4708	56.25
ANGIOGENESIS	KIRC	FNBP1L|54874	+	RI	chr1:94016504:94016662-94017966:94020216		6.7659	-0.647	56.25
ANGIOGENESIS	KIRC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		6.5045	0.5983	68.75
ANGIOGENESIS	KIRC	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		6.3934	-0.7248	81.25
ANGIOGENESIS	KIRC	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		6.1992	0.4639	43.75
ANGIOGENESIS	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		6.0462	0.457	56.25
ANGIOGENESIS	KIRC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		5.9673	0.4806	75
ANGIOGENESIS	KIRC	ABI1|10006	-	SE	chr10:27040712-27044584:27044670-27047991		5.8989	0.5138	75
ANGIOGENESIS	KIRC	ANO3|63982	+	SE	chr11:26538474-26547182:26547226-26552752		5.8959	0.5787	6.25
ANGIOGENESIS	KIRC	PBRM1|55193	-	MX	chr3:52584833-52588740:52588895-52595783:52584833-52592265:52592429-52595783		5.5446	-0.5601	12.5
ANGIOGENESIS	KIRC	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		5.4964	-0.692	37.5
ANGIOGENESIS	KIRC	BCL6B|255877	+	RI	chr17:6927720:6928049-6928050:6928082		5.3857	-0.5467	43.75
ANGIOGENESIS	KIRC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803556-196807922		5.3517	-0.6121	68.75
ANGIOGENESIS	KIRC	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		5.2839	0.2837	62.5
ANGIOGENESIS	KIRC	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		5.0797	-0.4956	62.5
ANGIOGENESIS	KIRC	MEIS1|4211	+	SE	chr2:66795888-66796182:66796277-66798378		5.0097	0.5722	75
ANGIOGENESIS	KIRC	TNK2|10188	-	SE	chr3:195593887-195594040:195594135-195594232		4.8118	-0.6614	43.75
ANGIOGENESIS	KIRC	ANKS1B|56899	-	A3	chr12:99139643-99145133:99139627-99145133		4.7315	0.5872	6.25
ANGIOGENESIS	KIRC	INPP4A|3631	+	A5	chr2:99172271-99175926:99172154-99175926		4.7313	-0.3782	62.5
ANGIOGENESIS	KIRC	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.6144	0.4259	81.25
ANGIOGENESIS	KIRC	SRCAP|10847	+	SE	chr16:30732299-30732510:30732797-30733443		4.4045	0.6199	50
ANGIOGENESIS	KIRC	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		4.3367	0.4541	50
ANGIOGENESIS	KIRC	ADCY3|109	-	SE	chr2:25061491-25061716:25061781-25062742		4.3268	-0.6266	81.25
ANGIOGENESIS	KIRC	CANT1|124583	-	RI	chr17:76993074:76993726-76993922:76994045		4.2798	0.5987	31.25
