# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	OV	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.4544	0.481	100
BASEMENT_MEMBRANE	OV	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.2491	-0.6226	100
BASEMENT_MEMBRANE	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.9335	-0.5553	93.75
BASEMENT_MEMBRANE	OV	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.9316	-0.7014	100
BASEMENT_MEMBRANE	OV	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.9118	0.5454	81.25
BASEMENT_MEMBRANE	OV	POSTN|10631	-	SE	chr13:38145595-38148709:38148789-38151890		3.5056	0.4056	6.25
BASEMENT_MEMBRANE	OV	PTPRD|5789	-	SE	chr9:8525035-8527345:8527353-8528591		3.3877	-0.4075	18.75
BASEMENT_MEMBRANE	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		3.3799	0.5237	87.5
BASEMENT_MEMBRANE	OV	NEXN|91624	+	RI	chr1:78408146:78408503-78408585:78409576		3.3757	0.499	75
BASEMENT_MEMBRANE	OV	ADAM12|8038	-	A5	chr10:127824229-127843787:127824229-127843796		3.2205	0.3145	68.75
BASEMENT_MEMBRANE	OV	EDIL3|10085	-	SE	chr5:83476339-83525673:83525702-83549902		3.1492	0.3233	75
BASEMENT_MEMBRANE	OV	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.0967	0.5199	87.5
BASEMENT_MEMBRANE	OV	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		3.0508	0.4139	87.5
BASEMENT_MEMBRANE	OV	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		3.0332	0.4787	81.25
BASEMENT_MEMBRANE	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.0326	0.5132	100
BASEMENT_MEMBRANE	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.8096	-0.4717	100
BASEMENT_MEMBRANE	OV	PRG4|10216	+	RI	chr1:186275450:186276083-186277375:186278272		2.7884	0.4147	43.75
