# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	KIRC	CA12|771	-	SE	chr15:63619432-63620297:63620329-63631018		2.9642	-0.4353	43.75
SPLICEOSOME	KIRC	RCSD1|92241	+	SE	chr1:167653238-167654658:167654747-167659286		2.9581	-0.341	75
SPLICEOSOME	KIRC	TSEN2|80746	+	A5	chr3:12526127-12531283:12526016-12531283		2.7996	-0.1314	50
SPLICEOSOME	KIRC	CHD3|1107	+	A3	chr17:7807309-7807447:7807309-7807760		2.7441	0.4609	31.25
SPLICEOSOME	KIRC	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		2.7331	0.4113	62.5
SPLICEOSOME	KIRC	EPB41L3|23136	-	A5	chr18:5397425-5406764:5397425-5406776		2.6409	0.4491	56.25
SPLICEOSOME	KIRC	PARD3|56288	-	A5	chr10:34625171-34626206:34625171-34626293		2.4239	0.4287	75
SPLICEOSOME	KIRC	RNPEPL1|57140	+	A3	chr2:241515027-241515952:241515027-241515985		2.3978	-0.4296	25
SPLICEOSOME	KIRC	CAMSAP1|157922	-	SE	chr9:138742307-138754313:138754454-138758302		2.3855	-0.3814	75
SPLICEOSOME	KIRC	FLJ45244|400242	+	A3	chr14:95625372-95645836:95625372-95645841		2.3517	-0.0619	18.75
SPLICEOSOME	KIRC	CDV3|55573	+	A3	chr3:133305566-133306006:133305566-133306740		2.3383	-0.272	43.75
SPLICEOSOME	KIRC	YLPM1|56252	+	SE	chr14:75287840-75290959:75291010-75295916		2.2797	-0.4243	12.5
SPLICEOSOME	KIRC	BRPF3|27154	+	A3	chr6:36177692-36177978:36177692-36177993		2.2738	0.2313	18.75
SPLICEOSOME	KIRC	RHOBTB1|9886	-	SE	chr10:62631409-62631943:62632048-62634712		2.2723	-0.4312	43.75
SPLICEOSOME	KIRC	DAK|26007	+	A3	chr11:61113418-61113767:61113418-61113823		2.247	-0.1056	12.5
SPLICEOSOME	KIRC	POGK|57645	+	SE	chr1:166810325-166816731:166816829-166818175		2.2372	-0.4196	50
SPLICEOSOME	KIRC	VPS54|51542	-	SE	chr2:64140444-64140959:64141059-64141316		2.2136	0.4452	81.25
SPLICEOSOME	KIRC	ARFGEF2|10564	+	A5	chr20:47601405-47601945:47601377-47601945		2.2126	0.4179	43.75
SPLICEOSOME	KIRC	TBL1X|6907	+	SE	chrX:9608400-9621585:9621729-9622255		2.1895	-0.4514	81.25
SPLICEOSOME	KIRC	PAM|5066	+	SE	chr5:102361038-102363889:102363942-102364591		2.1874	-0.3932	50
SPLICEOSOME	KIRC	TSEN2|80746	+	A5	chr3:12526379-12531283:12526016-12531283		2.1835	-0.091	37.5
SPLICEOSOME	KIRC	TMEM91|641649	+	A3	chr19:41888826-41889620:41888826-41889779		2.1693	0.1398	18.75
SPLICEOSOME	KIRC	MED24|9862	-	A3	chr17:38176735-38178208:38176603-38178208		2.1678	0.1224	50
SPLICEOSOME	KIRC	EPB41L1|2036	+	SE	chr20:34700402-34713345:34713449-34763473		2.1522	-0.3009	31.25
SPLICEOSOME	KIRC	NECAP1|25977	+	SE	chr12:8242895-8244365:8244446-8245272		2.151	-0.2456	25
SPLICEOSOME	KIRC	STK4|6789	+	SE	chr20:43610584-43615773:43615937-43623731		2.139	-0.3892	56.25
