# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	ESCA	SETD2|29072	-	SE	chr3:47079267-47082850:47082973-47084051	Observed	2.1392	-0.5379	56.25
ANGIOGENESIS	ESCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	2.0414	0.3589	56.25
ANGIOGENESIS	ESCA	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169	Observed	1.8946	0.2976	68.75
ANGIOGENESIS	ESCA	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.6805	0.4846	75
ANGIOGENESIS	ESCA	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	1.4079	0.2965	68.75
ANGIOGENESIS	ESCA	NFKB1|4790	+	A3	chr4:103451071-103455002:103451071-103455005	Observed	1.3988	0.3669	56.25
ANGIOGENESIS	ESCA	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.2271	0.3324	62.5
ANGIOGENESIS	ESCA	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	1.2108	0.0302	62.5
ANGIOGENESIS	ESCA	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	1.1557	0.426	81.25
ANGIOGENESIS	ESCA	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39870287	Observed	1.0005	0.1083	68.75
ANGIOGENESIS	ESCA	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.0005	-0.0783	75
ANGIOGENESIS	ESCA	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	1.0005	0.2032	62.5
ANGIOGENESIS	ESCA	NFKB1|4790	+	RI	chr4:103537591:103538275-103538276:103538458	Observed	1.0005	-0.3607	68.75
ANGIOGENESIS	ESCA	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.0005	0.364	93.75
ANGIOGENESIS	ESCA	NRP1|8829	-	A5	chr10:33486637-33491819:33486637-33491840	Observed	1.0005	0.2369	56.25
ANGIOGENESIS	ESCA	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	1.0005	0.2382	87.5
ANGIOGENESIS	ESCA	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	1.0005	0.3349	87.5
ANGIOGENESIS	ESCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	1.0005	-0.2705	75
ANGIOGENESIS	ESCA	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	0.8781	0.4268	56.25
ANGIOGENESIS	ESCA	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	0.473	-0.3321	81.25
ANGIOGENESIS	ESCA	TG|7038	+	SE	chr8:133984986-133995595:133995657-134024146	Observed	0.0874	0.0462	68.75
