# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	ESCA	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.2919	-0.5437	93.75
DNA_REPAIR_PATHWAY	ESCA	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.8822	0.4914	68.75
DNA_REPAIR_PATHWAY	ESCA	MYBBP1A|10514	-	RI	chr17:4442192:4442270-4442734:4443262		2.7974	0.4873	50
DNA_REPAIR_PATHWAY	ESCA	CCDC7|221016	+	A5	chr10:32735559-32740520:32735325-32740520		2.6188	0.4476	43.75
DNA_REPAIR_PATHWAY	ESCA	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		2.6172	-0.5026	37.5
DNA_REPAIR_PATHWAY	ESCA	CCDC7|221016	+	SE	chr10:32751977-32759992:32760158-32761409		2.508	-0.4114	50
DNA_REPAIR_PATHWAY	ESCA	GPR132|29933	-	SE	chr14:105518439-105520270:105520502-105521724		2.4533	-0.2371	18.75
DNA_REPAIR_PATHWAY	ESCA	CDK5RAP2|55755	-	SE	chr9:123202250-123205898:123206020-123210173		2.4134	-0.4417	56.25
DNA_REPAIR_PATHWAY	ESCA	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		2.3957	-0.3683	68.75
DNA_REPAIR_PATHWAY	ESCA	OSBPL9|114883	+	SE	chr1:52215867-52221992:52222030-52226362		2.3564	-0.5132	25
DNA_REPAIR_PATHWAY	ESCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.2569	0.5063	62.5
DNA_REPAIR_PATHWAY	ESCA	NSUN5P2|260294	-	SE	chr7:72419641-72419852:72420030-72420385		2.1551	-0.3877	37.5
DNA_REPAIR_PATHWAY	ESCA	HPS4|89781	-	A5	chr22:26878206-26879640:26878206-26879711		2.1506	0.4806	37.5
DNA_REPAIR_PATHWAY	ESCA	LRTOMT|220074	+	RI	chr11:71805994:71806142-71806425:71807936		2.148	-0.5165	12.5
DNA_REPAIR_PATHWAY	ESCA	FN1|2335	-	SE	chr2:216236738-216236832:216237023-216238045		2.135	0.495	43.75
DNA_REPAIR_PATHWAY	ESCA	SEMA4D|10507	-	SE	chr9:92033033-92033278:92033352-92070803		2.1075	-0.2908	6.25
DNA_REPAIR_PATHWAY	ESCA	CBFA2T3|863	-	SE	chr16:88958893-88964486:88964560-88967912		2.0998	-0.3676	25
DNA_REPAIR_PATHWAY	ESCA	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		2.0944	-0.462	56.25
DNA_REPAIR_PATHWAY	ESCA	SRRM2|23524	+	A5	chr16:2802855-2807473:2802847-2807473		2.04	-0.4555	18.75
DNA_REPAIR_PATHWAY	ESCA	SH2D3C|10044	-	A5	chr9:130523929-130524400:130523929-130524671		2.0325	-0.3304	37.5
DNA_REPAIR_PATHWAY	ESCA	CARD8|22900	-	SE	chr19:48718641-48724987:48725112-48733695		2.0211	0.4645	37.5
DNA_REPAIR_PATHWAY	ESCA	RCSD1|92241	+	SE	chr1:167653238-167654658:167654747-167659286		1.9653	-0.1928	56.25
DNA_REPAIR_PATHWAY	ESCA	PSMC3IP|29893	-	A5	chr17:40725641-40725837:40725641-40726214		1.9416	-0.4423	31.25
DNA_REPAIR_PATHWAY	ESCA	USP47|55031	+	SE	chr11:11863771-11901724:11901927-11906014		1.9127	-0.259	37.5
DNA_REPAIR_PATHWAY	ESCA	ATP8A1|10396	-	SE	chr4:42467093-42487513:42487685-42505467		1.9015	-0.4793	62.5
DNA_REPAIR_PATHWAY	ESCA	C10orf128|170371	-	SE	chr10:50369667-50373250:50373406-50373811		1.8868	0.0682	31.25
DNA_REPAIR_PATHWAY	ESCA	PSRC1|84722	-	A5	chr1:109825353-109825683:109825353-109825685		1.8816	-0.4238	62.5
DNA_REPAIR_PATHWAY	ESCA	ITGAM|3684	+	SE	chr16:31308975-31309066:31309275-31332562		1.8374	-0.2557	75
DNA_REPAIR_PATHWAY	ESCA	ZNF91|7644	-	SE	chr19:23545527-23556544:23556639-23557440		1.8365	-0.2107	37.5
DNA_REPAIR_PATHWAY	ESCA	SYTL2|54843	-	A3	chr11:85428769-85429833:85428573-85429833		1.8156	-0.3999	6.25
DNA_REPAIR_PATHWAY	ESCA	CDH17|1015	-	SE	chr8:95140568-95142854:95142967-95143104		1.8129	-0.3205	18.75
DNA_REPAIR_PATHWAY	ESCA	MYOCD|93649	+	SE	chr17:12659874-12661402:12661530-12663967		1.795	-0.5115	25
DNA_REPAIR_PATHWAY	ESCA	DIAPH1|1729	-	SE	chr5:140966764-140967791:140967817-140998365		1.7481	0.507	56.25
DNA_REPAIR_PATHWAY	ESCA	CHODL|140578	+	SE	chr21:19632603-19635108:19635210-19638271		1.7416	0.3494	25
DNA_REPAIR_PATHWAY	ESCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		1.7372	0.2783	68.75
DNA_REPAIR_PATHWAY	ESCA	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		1.7347	-0.2121	56.25
DNA_REPAIR_PATHWAY	ESCA	MEI1|150365	+	SE	chr22:42180424-42180612:42180787-42189833		1.7346	0.1987	56.25
DNA_REPAIR_PATHWAY	ESCA	DRAM2|128338	-	SE	chr1:111680208-111682123:111682333-111682660		1.7334	-0.0735	50
DNA_REPAIR_PATHWAY	ESCA	PMS2L5|5383	+	SE	chr7:74313951-74317004:74317092-74321683		1.7331	0.0672	31.25
DNA_REPAIR_PATHWAY	ESCA	HSD17B7P2|158160	+	SE	chr10:38647443-38650208:38650250-38651168		1.7309	-0.0774	25
DNA_REPAIR_PATHWAY	ESCA	MTHFD2L|441024	+	SE	chr4:75023998-75025772:75025805-75040223		1.7254	-0.1444	25
DNA_REPAIR_PATHWAY	ESCA	C22orf25|128989	+	SE	chr22:20043536-20049053:20049206-20050861		1.7156	-0.1998	25
DNA_REPAIR_PATHWAY	ESCA	ACCN3|9311	+	A3	chr7:150749561-150749641:150749561-150749661		1.7135	-0.3074	25
DNA_REPAIR_PATHWAY	ESCA	ADHFE1|137872	+	SE	chr8:67356983-67357453:67357649-67359499		1.7106	0.1814	56.25
DNA_REPAIR_PATHWAY	ESCA	ADAM15|8751	+	MX	chr1:155033965-155034052:155034122-155034721:155033965-155034380:155034593-155034721		1.7065	0.3627	37.5
DNA_REPAIR_PATHWAY	ESCA	PRPF39|55015	+	RI	chr14:45565306:45565431-45566090:45566208		1.6999	-0.3877	75
DNA_REPAIR_PATHWAY	ESCA	ECM1|1893	+	SE	chr1:150483674-150483933:150484307-150484828		1.6829	0.0232	12.5
DNA_REPAIR_PATHWAY	ESCA	NUMA1|4926	-	SE	chr11:71721900-71723941:71727306-71727454		1.6756	-0.5418	31.25
DNA_REPAIR_PATHWAY	ESCA	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		1.6716	-0.3073	56.25
DNA_REPAIR_PATHWAY	ESCA	ATP9B|374868	+	SE	chr18:77107925-77108132:77108196-77119354		1.6711	-0.0143	62.5
DNA_REPAIR_PATHWAY	ESCA	DPY19L2P2|349152	-	SE	chr7:102918085-102918692:102918793-102920280		1.6695	0.1403	25
DNA_REPAIR_PATHWAY	ESCA	UIMC1|51720	-	A5	chr5:176409624-176433540:176409624-176433651		1.6687	0.3021	18.75
DNA_REPAIR_PATHWAY	ESCA	NCOA1|8648	+	SE	chr2:24985645-24990948:24991004-24991093		1.6661	-0.2151	25
DNA_REPAIR_PATHWAY	ESCA	SLC35E2|9906	-	SE	chr1:1671143-1675690:1676107-1677163		1.6615	0.3236	50
DNA_REPAIR_PATHWAY	ESCA	PXMP4|11264	-	SE	chr20:32295775-32298361:32298579-32302480		1.659	-0.0909	31.25
DNA_REPAIR_PATHWAY	ESCA	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		1.6574	0.3314	25
DNA_REPAIR_PATHWAY	ESCA	TMC5|79838	+	A5	chr16:19422498-19441735:19422095-19441735		1.6571	0.0729	31.25
DNA_REPAIR_PATHWAY	ESCA	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		1.654	-0.3715	56.25
