# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HEDGEHOG_PATHWAY	ESCA	KHNYN|23351	+	A5	chr14:24899325-24899920:24899197-24899920		3.8652	0.4924	31.25
HEDGEHOG_PATHWAY	ESCA	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		3.2308	-0.4322	62.5
HEDGEHOG_PATHWAY	ESCA	WDR47|22911	-	A3	chr1:109525401-109525904:109525395-109525904		3.2011	0.4182	62.5
HEDGEHOG_PATHWAY	ESCA	ZNF74|7625	+	A5	chr22:20748952-20749623:20748624-20749623		3.1537	0.3763	50
HEDGEHOG_PATHWAY	ESCA	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.9317	-0.286	56.25
HEDGEHOG_PATHWAY	ESCA	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.8387	0.4128	68.75
HEDGEHOG_PATHWAY	ESCA	NCSTN|23385	+	SE	chr1:160320040-160321012:160321162-160321486		2.8085	0.4311	68.75
HEDGEHOG_PATHWAY	ESCA	PHF3|23469	+	SE	chr6:64390062-64394030:64395812-64401627		2.7691	0.5155	50
HEDGEHOG_PATHWAY	ESCA	GNB4|59345	-	SE	chr3:179119107-179122978:179123194-179131200		2.7567	0.5668	56.25
HEDGEHOG_PATHWAY	ESCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		2.7385	-0.5006	56.25
HEDGEHOG_PATHWAY	ESCA	LYRM2|57226	-	SE	chr6:90331667-90334208:90334321-90347461		2.7103	-0.3229	37.5
HEDGEHOG_PATHWAY	ESCA	ZYG11B|79699	+	SE	chr1:53267811-53273509:53273597-53279208		2.6851	-0.416	50
HEDGEHOG_PATHWAY	ESCA	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.6644	0.4708	68.75
HEDGEHOG_PATHWAY	ESCA	PCDHGC3|5098	+	A5	chr5:140858113-140874374:140855713-140874374		2.6513	0.5133	25
HEDGEHOG_PATHWAY	ESCA	CNOT1|23019	-	SE	chr16:58581200-58581470:58581586-58583623		2.6435	0.4454	68.75
