# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	CESC	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		3.4153	-0.342	43.75
CHROMOSOME_LOCALIZATION	CESC	TCIRG1|10312	+	SE	chr11:67817721-67817954:67818131-67818208		3.3311	-0.3558	25
CHROMOSOME_LOCALIZATION	CESC	MARK2|2011	+	SE	chr11:63673586-63675732:63675776-63676349		3.2424	-0.134	43.75
CHROMOSOME_LOCALIZATION	CESC	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		3.1154	-0.3105	43.75
CHROMOSOME_LOCALIZATION	CESC	CROCC|9696	+	RI	chr1:17270595:17270777-17271957:17272101		3.1025	-0.3527	37.5
CHROMOSOME_LOCALIZATION	CESC	ENGASE|64772	+	A3	chr17:77080768-77081316:77080768-77081319		3.0552	0.2619	43.75
CHROMOSOME_LOCALIZATION	CESC	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.925	0.0691	31.25
CHROMOSOME_LOCALIZATION	CESC	PHACTR4|65979	+	MX	chr1:28733974-28759442:28759557-28785596:28733974-28784343:28784370-28785596		2.8942	-0.297	12.5
CHROMOSOME_LOCALIZATION	CESC	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		2.8336	0.1937	43.75
CHROMOSOME_LOCALIZATION	CESC	EPB41|2035	+	SE	chr1:29379824-29385101:29385157-29386934	Observed	2.7499	-0.2216	37.5
CHROMOSOME_LOCALIZATION	CESC	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.6703	0.2548	37.5
CHROMOSOME_LOCALIZATION	CESC	ITGA6|3655	+	SE	chr2:173362828-173366500:173366629-173368819		2.5958	0.144	31.25
CHROMOSOME_LOCALIZATION	CESC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		2.5489	0.2961	75
CHROMOSOME_LOCALIZATION	CESC	RCAN3|11123	+	SE	chr1:24841057-24857708:24857881-24859573		2.4444	0.1736	25
CHROMOSOME_LOCALIZATION	CESC	MYO6|4646	+	SE	chr6:76618344-76621389:76621415-76623780		2.3966	0.369	31.25
CHROMOSOME_LOCALIZATION	CESC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		2.3919	0.3307	43.75
CHROMOSOME_LOCALIZATION	CESC	LOC93622|93622	+	A5	chr4:6676433-6676720:6676364-6676720		2.3059	-0.0394	37.5
CHROMOSOME_LOCALIZATION	CESC	RBCK1|10616	+	SE	chr20:389423-390525:390669-398170		2.2826	-0.0902	25
CHROMOSOME_LOCALIZATION	CESC	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.2502	-0.3457	56.25
CHROMOSOME_LOCALIZATION	CESC	WRAP53|55135	+	RI	chr17:7591667:7591879-7591966:7592397		2.2301	-0.0264	43.75
CHROMOSOME_LOCALIZATION	CESC	DLG1|1739	-	A5	chr3:197024106-197025289:197024106-197025407		2.2301	0.2065	25
CHROMOSOME_LOCALIZATION	CESC	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		2.2171	-0.3267	50
CHROMOSOME_LOCALIZATION	CESC	G6PC3|92579	+	SE	chr17:42152138-42152337:42152455-42152678		2.1825	-0.0788	37.5
CHROMOSOME_LOCALIZATION	CESC	CEP70|80321	-	A3	chr3:138291826-138310696:138291774-138310696		2.1496	-0.0861	25
CHROMOSOME_LOCALIZATION	CESC	SUN2|25777	-	SE	chr22:39146325-39146903:39147040-39147215		2.1485	-0.0217	37.5
CHROMOSOME_LOCALIZATION	CESC	ALPL|249	+	SE	chr1:21836010-21880471:21880635-21887119		2.1461	-0.1314	31.25
CHROMOSOME_LOCALIZATION	CESC	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		2.1406	0.1896	50
CHROMOSOME_LOCALIZATION	CESC	MAD1L1|8379	-	A3	chr7:2270399-2272507:2270359-2272507		2.1184	0.2736	25
CHROMOSOME_LOCALIZATION	CESC	OBSCN|84033	+	A3	chr1:228526727-228527643:228526727-228527646		2.1151	-0.1994	68.75
CHROMOSOME_LOCALIZATION	CESC	NUBP2|10101	+	SE	chr16:1836656-1836758:1836956-1837678		2.1043	-0.0383	18.75
CHROMOSOME_LOCALIZATION	CESC	L3MBTL|26013	+	RI	chr20:42169393:42169455-42169574:42170534		2.1039	-0.1218	25
CHROMOSOME_LOCALIZATION	CESC	HSD3B7|80270	+	SE	chr16:30998025-30998161:30998323-30999089		2.1031	0.0157	25
CHROMOSOME_LOCALIZATION	CESC	TP63|8626	+	SE	chr3:189607273-189608578:189608671-189611995		2.0886	-0.1618	25
CHROMOSOME_LOCALIZATION	CESC	OPA1|4976	+	SE	chr3:193333559-193334967:193335074-193336658		2.0836	0.0452	43.75
CHROMOSOME_LOCALIZATION	CESC	SPATA6|54558	-	SE	chr1:48878823-48917224:48917272-48918666		2.0618	-0.2046	43.75
CHROMOSOME_LOCALIZATION	CESC	ZRANB2|9406	-	SE	chr1:71530820-71531361:71531435-71532459		2.0587	-0.2162	50
CHROMOSOME_LOCALIZATION	CESC	ZNF738|148203	+	A3	chr19:21558766-21560191:21558766-21561431		2.0548	0.107	25
CHROMOSOME_LOCALIZATION	CESC	USO1|8615	+	SE	chr4:76678726-76681747:76681758-76691592		2.0456	0.3049	31.25
CHROMOSOME_LOCALIZATION	CESC	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		2.0259	0.054	62.5
CHROMOSOME_LOCALIZATION	CESC	MARK2|2011	+	SE	chr11:63670630-63671458:63671619-63672258		2.0254	-0.0654	43.75
CHROMOSOME_LOCALIZATION	CESC	C1orf9|51430	+	SE	chr1:172544763-172546679:172546699-172546904		2.0166	0.0522	43.75
CHROMOSOME_LOCALIZATION	CESC	CHCHD7|79145	+	SE	chr8:57124396-57125321:57125448-57127157		2.0128	0.2567	37.5
CHROMOSOME_LOCALIZATION	CESC	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		2.0095	-0.2416	50
CHROMOSOME_LOCALIZATION	CESC	MUTYH|4595	-	A3	chr1:45799233-45800063:45799169-45800063		2.0058	0.0406	50
CHROMOSOME_LOCALIZATION	CESC	SCNN1D|6339	+	RI	chr1:1222888:1222976-1223053:1223216		2.0036	0.1083	43.75
CHROMOSOME_LOCALIZATION	CESC	TDRD3|81550	+	A3	chr13:61057980-61059933:61057980-61059936		2.0036	0.145	37.5
CHROMOSOME_LOCALIZATION	CESC	XPNPEP1|7511	-	SE	chr10:111667573-111674769:111674857-111683160		2.0034	0.0551	25
CHROMOSOME_LOCALIZATION	CESC	NDRG2|57447	-	A5	chr14:21492255-21492985:21492255-21493008		1.986	0.22	31.25
CHROMOSOME_LOCALIZATION	CESC	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		1.9851	-0.0462	37.5
CHROMOSOME_LOCALIZATION	CESC	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		1.9724	0.3102	62.5
CHROMOSOME_LOCALIZATION	CESC	HP1BP3|50809	-	A3	chr1:21106404-21106838:21106401-21106838		1.966	-0.1042	18.75
CHROMOSOME_LOCALIZATION	CESC	SEPT6|23157	-	SE	chrX:118752749-118759298:118759342-118763281		1.9658	-0.1921	43.75
CHROMOSOME_LOCALIZATION	CESC	EFCAB4A|283229	+	RI	chr11:830250:830337-830621:830713		1.9596	0.2309	37.5
CHROMOSOME_LOCALIZATION	CESC	CP110|9738	+	SE	chr16:19559336-19559837:19559922-19562518		1.9563	-0.1589	50
CHROMOSOME_LOCALIZATION	CESC	FAM126A|84668	-	SE	chr7:22985782-22986571:22986866-22999875		1.9519	-0.2053	62.5
CHROMOSOME_LOCALIZATION	CESC	VPS13A|23230	+	SE	chr9:79897190-79898271:79898387-79898463		1.9512	0.0461	18.75
CHROMOSOME_LOCALIZATION	CESC	AMZ2|51321	+	RI	chr17:66244145:66244227-66244781:66244846		1.9415	-0.2927	56.25
CHROMOSOME_LOCALIZATION	CESC	MTHFSD|64779	-	A5	chr16:86588357-86588775:86588357-86588779		1.9113	0.0919	31.25
CHROMOSOME_LOCALIZATION	CESC	BCKDHB|594	+	RI	chr6:81053381:81053529-81055692:81055987		1.9105	-0.1599	56.25
CHROMOSOME_LOCALIZATION	CESC	POGK|57645	+	SE	chr1:166810325-166815849:166815975-166816731		1.9103	0.1945	12.5
CHROMOSOME_LOCALIZATION	CESC	OSBPL9|114883	+	A5	chr1:52195796-52211208:52195673-52211208		1.9038	-0.0024	12.5
CHROMOSOME_LOCALIZATION	CESC	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		1.8946	0.2982	56.25
CHROMOSOME_LOCALIZATION	CESC	TOMM40|10452	+	A3	chr19:45394571-45394664:45394571-45394667		1.8937	0.0081	43.75
CHROMOSOME_LOCALIZATION	CESC	ZNF276|92822	+	RI	chr16:89789545:89789591-89789668:89790117		1.8901	-0.2002	18.75
CHROMOSOME_LOCALIZATION	CESC	MTF2|22823	+	SE	chr1:93592856-93594835:93595005-93599260		1.89	-0.1374	18.75
CHROMOSOME_LOCALIZATION	CESC	PARD3|56288	-	A5	chr10:34625171-34626203:34625171-34626293		1.8896	0.3257	37.5
CHROMOSOME_LOCALIZATION	CESC	RPL14|9045	+	A5	chr3:40498965-40499381:40498854-40499381		1.881	-0.1688	37.5
CHROMOSOME_LOCALIZATION	CESC	SIGLEC1|6614	-	SE	chr20:3669266-3669802:3669874-3670247		1.8778	-0.0064	43.75
CHROMOSOME_LOCALIZATION	CESC	CCNDBP1|23582	+	A5	chr15:43478431-43481397:43478077-43481397		1.8744	-0.0613	50
CHROMOSOME_LOCALIZATION	CESC	SLC38A7|55238	-	A3	chr16:58709958-58710193:58709926-58710193		1.8718	-0.0496	25
CHROMOSOME_LOCALIZATION	CESC	NCRNA00085|147650	+	A5	chr19:52207829-52208343:52207733-52208343		1.8571	0.0465	18.75
CHROMOSOME_LOCALIZATION	CESC	CHD3|1107	+	SE	chr17:7810806-7810919:7811020-7811212	Observed	1.8508	-0.1981	43.75
CHROMOSOME_LOCALIZATION	CESC	THYN1|29087	-	A5	chr11:134122810-134123121:134122810-134123193		1.844	-0.0266	68.75
CHROMOSOME_LOCALIZATION	CESC	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		1.8434	-0.0679	43.75
CHROMOSOME_LOCALIZATION	CESC	CAPN3|825	+	SE	chr15:42681294-42682151:42682294-42684837		1.8286	-0.1057	43.75
CHROMOSOME_LOCALIZATION	CESC	PRC1|9055	-	A5	chr15:91510432-91512677:91510432-91512754		1.8281	0.2471	31.25
CHROMOSOME_LOCALIZATION	CESC	SH3BP4|23677	+	A5	chr2:235887629-235903947:235887544-235903947		1.8109	-0.1323	25
CHROMOSOME_LOCALIZATION	CESC	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		1.8069	0.1965	62.5
CHROMOSOME_LOCALIZATION	CESC	ZNF311|282890	-	RI	chr6:28967264:28967409-28967733:28967824		1.8014	0.0391	31.25
CHROMOSOME_LOCALIZATION	CESC	OSBPL3|26031	-	SE	chr7:24901388-24902819:24902911-24903115		1.7915	-0.22	56.25
CHROMOSOME_LOCALIZATION	CESC	C9orf5|23731	-	A5	chr9:111826847-111835528:111826847-111835636		1.7907	-0.2245	43.75
CHROMOSOME_LOCALIZATION	CESC	PKM2|5315	-	A5	chr15:72513625-72523237:72513625-72523457		1.7859	0.1869	31.25
