# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	KIRC	APP|351	-	SE	chr21:27354790-27369675:27369731-27372330	Observed	3.4716	0.4153	37.5
ANGIOGENESIS	KIRC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	3.0257	-0.3177	75
ANGIOGENESIS	KIRC	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	2.3105	0.4325	62.5
ANGIOGENESIS	KIRC	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657	Observed	2.2018	0.5527	81.25
ANGIOGENESIS	KIRC	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	2.0629	0.1085	62.5
ANGIOGENESIS	KIRC	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	1.6402	0.3101	68.75
ANGIOGENESIS	KIRC	SETD2|29072	-	SE	chr3:47079267-47082850:47082973-47084051	Observed	1.6203	-0.5432	56.25
ANGIOGENESIS	KIRC	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	1.5876	0.5472	81.25
ANGIOGENESIS	KIRC	EDA|1896	+	A5	chrX:69253378-69255208:69253372-69255208	Observed	1.4156	0.243	56.25
ANGIOGENESIS	KIRC	PFKFB3|5209	+	SE	chr10:6266176-6268155:6268328-6274858	Observed	1.4117	0.5019	56.25
ANGIOGENESIS	KIRC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.3408	-0.5243	81.25
ANGIOGENESIS	KIRC	NFKB1|4790	+	RI	chr4:103537591:103538275-103538276:103538458	Observed	1.3291	-0.3862	68.75
ANGIOGENESIS	KIRC	FGFR2|2263	-	RI	chr10:123263304:123263453-123263454:123263455	Observed	1.267	-0.4471	56.25
ANGIOGENESIS	KIRC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.1758	0.5082	93.75
ANGIOGENESIS	KIRC	ABL2|27	-	RI	chr1:179068463:179078033-179078343:179078576	Observed	1.0005	0.3236	68.75
ANGIOGENESIS	KIRC	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	1.0005	0.226	62.5
ANGIOGENESIS	KIRC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.0005	0.3275	75
ANGIOGENESIS	KIRC	HSPG2|3339	-	A3	chr1:22211170-22211260:22211167-22211260	Observed	1.0005	0.0812	81.25
ANGIOGENESIS	KIRC	NRP2|8828	+	A5	chr2:206631542-206656959:206631527-206656959	Observed	1.0005	0.2365	56.25
ANGIOGENESIS	KIRC	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169	Observed	1.0005	0.5002	68.75
ANGIOGENESIS	KIRC	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	0.932	0.4737	87.5
ANGIOGENESIS	KIRC	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	0.8702	0.5403	87.5
ANGIOGENESIS	KIRC	STAT3|6774	-	SE	chr17:40498731-40500407:40500535-40540297	Observed	0.4503	0.4789	62.5
ANGIOGENESIS	KIRC	TG|7038	+	SE	chr8:133984986-133995595:133995657-134024146	Observed	0.3997	0.3023	68.75
ANGIOGENESIS	KIRC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	0.0595	0.3012	56.25
