# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TGF_BETA_PATHWAY	PRAD	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		5.2058	-0.6934	68.75
TGF_BETA_PATHWAY	PRAD	KIF1B|23095	+	SE	chr1:10332364-10333072:10333089-10335486		4.7157	-0.7612	56.25
TGF_BETA_PATHWAY	PRAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.3018	-0.6502	50
TGF_BETA_PATHWAY	PRAD	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		4.2883	0.7337	50
TGF_BETA_PATHWAY	PRAD	DDX24|57062	-	SE	chr14:94528967-94545371:94546093-94547465		4.1582	0.737	68.75
TGF_BETA_PATHWAY	PRAD	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		4.0449	0.7147	87.5
TGF_BETA_PATHWAY	PRAD	TEX10|54881	-	RI	chr9:103108976:103109160-103109449:103109688		4.0287	0.7479	93.75
TGF_BETA_PATHWAY	PRAD	DVL1|1855	-	A5	chr1:1274033-1274667:1274033-1274742		3.9625	-0.7225	43.75
TGF_BETA_PATHWAY	PRAD	TJP2|9414	+	RI	chr9:71867731:71867816-71869125:71870118		3.9567	-0.6912	37.5
TGF_BETA_PATHWAY	PRAD	ZDHHC5|25921	+	SE	chr11:57435659-57439493:57440666-57449894		3.9492	0.7526	100
TGF_BETA_PATHWAY	PRAD	XRCC6|2547	+	A3	chr22:42024234-42032117:42024234-42032240		3.909	0.6739	25
TGF_BETA_PATHWAY	PRAD	TTC27|55622	+	A5	chr2:33036292-33037571:33036288-33037571		3.8977	-0.7236	56.25
TGF_BETA_PATHWAY	PRAD	AASDH|132949	-	SE	chr4:57237809-57244314:57244630-57248643		3.8806	0.6861	43.75
TGF_BETA_PATHWAY	PRAD	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503		3.8712	0.7479	87.5
TGF_BETA_PATHWAY	PRAD	AASDH|132949	-	MX	chr4:57237809-57244314:57244630-57250236:57237809-57248643:57248763-57250236		3.8575	0.6447	56.25
TGF_BETA_PATHWAY	PRAD	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.8157	0.5902	31.25
TGF_BETA_PATHWAY	PRAD	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		3.7998	0.6676	62.5
TGF_BETA_PATHWAY	PRAD	PPP1R13B|23368	-	SE	chr14:104202539-104204031:104204197-104205016		3.7972	0.7181	50
TGF_BETA_PATHWAY	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.7614	0.4212	68.75
TGF_BETA_PATHWAY	PRAD	IPO8|10526	-	RI	chr12:30781923:30783891-30784829:30784945		3.7475	-0.7391	56.25
TGF_BETA_PATHWAY	PRAD	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		3.666	-0.683	87.5
TGF_BETA_PATHWAY	PRAD	TRIM28|10155	+	A3	chr19:59060143-59060229:59060143-59060253		3.5745	0.7131	50
TGF_BETA_PATHWAY	PRAD	GALNT11|63917	+	SE	chr7:151722969-151791275:151791607-151797883		3.5677	0.7052	62.5
TGF_BETA_PATHWAY	PRAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.5017	0.704	81.25
TGF_BETA_PATHWAY	PRAD	FGFR1OP2|26127	+	SE	chr12:27110676-27113448:27113561-27116275		3.4766	0.189	68.75
TGF_BETA_PATHWAY	PRAD	DCAF8|50717	-	A5	chr1:160231148-160232066:160231148-160232239		3.3735	0.6098	75
TGF_BETA_PATHWAY	PRAD	ZNF141|7700	+	RI	chr4:331596:331694-331695:331775		3.3342	-0.7474	81.25
TGF_BETA_PATHWAY	PRAD	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		3.3304	-0.6676	56.25
TGF_BETA_PATHWAY	PRAD	AKD1|221264	-	A3	chr6:109820443-109827530:109820401-109827530		3.3246	0.6545	31.25
TGF_BETA_PATHWAY	PRAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.3193	0.6418	62.5
TGF_BETA_PATHWAY	PRAD	PHF6|84295	+	SE	chrX:133511785-133512035:133512136-133527531		3.3133	0.6744	68.75
TGF_BETA_PATHWAY	PRAD	SEC24C|9632	+	SE	chr10:75506762-75510866:75511001-75519380		3.2994	0.5843	31.25
TGF_BETA_PATHWAY	PRAD	POFUT2|23275	-	SE	chr21:46685550-46685937:46686142-46687505		3.2915	-0.5421	56.25
TGF_BETA_PATHWAY	PRAD	NPHP3|27031	-	SE	chr3:132413809-132415575:132415657-132416104		3.2692	0.7068	75
TGF_BETA_PATHWAY	PRAD	ANKRD10|55608	-	SE	chr13:111545610-111546456:111546549-111558380		3.2588	-0.5313	56.25
