# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	LUAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		4.6163	-0.5964	93.75
TRANSLATION	LUAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		4.5765	0.6454	87.5
TRANSLATION	LUAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		4.1476	-0.4996	81.25
TRANSLATION	LUAD	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		3.9521	-0.5221	62.5
TRANSLATION	LUAD	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		3.7702	-0.4519	50
TRANSLATION	LUAD	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		3.6216	-0.5376	68.75
TRANSLATION	LUAD	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		3.3826	-0.5326	68.75
TRANSLATION	LUAD	PLAGL1|5325	-	SE	chr6:144281679-144285924:144287367-144290044		3.2714	-0.4246	50
TRANSLATION	LUAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.1937	0.5475	68.75
TRANSLATION	LUAD	STAB1|23166	+	RI	chr3:52555612:52555716-52555860:52555967		3.1486	0.5443	62.5
TRANSLATION	LUAD	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		3.1259	-0.5329	68.75
TRANSLATION	LUAD	SEC23B|10483	+	A5	chr20:18488634-18491466:18488313-18491466		3.1213	-0.4122	43.75
TRANSLATION	LUAD	USP19|10869	-	A3	chr3:49155263-49155380:49155218-49155380		3.0093	-0.5386	62.5
TRANSLATION	LUAD	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		2.9976	0.4355	62.5
TRANSLATION	LUAD	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	2.9964	-0.525	81.25
TRANSLATION	LUAD	SBF1|6305	-	SE	chr22:50895102-50895463:50895540-50897684		2.9883	-0.4136	68.75
TRANSLATION	LUAD	FANK1|92565	+	SE	chr10:127585224-127661942:127662064-127668730		2.9417	-0.5179	56.25
TRANSLATION	LUAD	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.9258	-0.4807	87.5
TRANSLATION	LUAD	PRDM2|7799	+	SE	chr1:14099683-14104913:14109326-14113010		2.9134	-0.4889	68.75
TRANSLATION	LUAD	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		2.901	-0.4863	68.75
TRANSLATION	LUAD	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	2.8325	-0.5123	81.25
TRANSLATION	LUAD	NPC1|4864	-	A3	chr18:21136628-21137081:21136577-21137081		2.8248	0.5325	75
TRANSLATION	LUAD	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	2.8086	-0.5026	68.75
TRANSLATION	LUAD	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		2.8006	0.4971	75
TRANSLATION	LUAD	WBP1|23559	+	A5	chr2:74686689-74686770:74685798-74686770		2.7481	-0.4497	50
TRANSLATION	LUAD	POLL|27343	-	A5	chr10:103347163-103347642:103347163-103347961		2.7231	-0.4186	87.5
TRANSLATION	LUAD	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		2.7182	-0.4463	93.75
TRANSLATION	LUAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.6882	-0.5565	75
TRANSLATION	LUAD	KDM2B|84678	-	SE	chr12:122012498-122013686:122013764-122016707		2.6434	-0.4732	62.5
TRANSLATION	LUAD	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		2.6283	-0.4426	62.5
TRANSLATION	LUAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.5975	0.4915	68.75
TRANSLATION	LUAD	SCAND1|51282	-	RI	chr20:34541546:34542261-34542370:34542428		2.5716	-0.3276	43.75
TRANSLATION	LUAD	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		2.5592	-0.5113	87.5
TRANSLATION	LUAD	MYO9A|4649	-	SE	chr15:72122652-72139756:72139809-72141186		2.5346	0.4898	62.5
TRANSLATION	LUAD	TMEM44|93109	-	A5	chr3:194309368-194325016:194309368-194325043		2.5298	-0.3365	62.5
TRANSLATION	LUAD	PSMA4|5685	+	A5	chr15:78834987-78836532:78834561-78836532		2.5122	-0.4808	68.75
TRANSLATION	LUAD	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		2.4932	-0.3956	50
TRANSLATION	LUAD	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		2.4919	-0.5841	68.75
TRANSLATION	LUAD	TP53BP2|7159	-	SE	chr1:223984292-223985917:223986379-223987601		2.4888	-0.498	75
TRANSLATION	LUAD	LYSMD1|388695	-	A5	chr1:151134576-151137555:151134576-151138223		2.4556	-0.4423	68.75
TRANSLATION	LUAD	PFAS|5198	+	RI	chr17:8171851:8172174-8172272:8173808		2.4487	0.5397	68.75
TRANSLATION	LUAD	PSMB5|5693	-	A5	chr14:23502883-23503893:23502883-23504321	Observed	2.4349	-0.3812	31.25
TRANSLATION	LUAD	C9orf86|55684	+	RI	chr9:139726717:139726822-139728172:139728792		2.4192	-0.4657	62.5
TRANSLATION	LUAD	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		2.4081	0.5179	75
TRANSLATION	LUAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.3752	0.5562	87.5
TRANSLATION	LUAD	TOR2A|27433	-	SE	chr9:130495839-130496578:130496843-130497399		2.3724	-0.2824	56.25
TRANSLATION	LUAD	SLCO2B1|11309	+	SE	chr11:74862442-74876832:74876994-74883424		2.3579	0.5379	75
TRANSLATION	LUAD	AMZ2P1|201283	-	RI	chr17:62968872:62969045-62969360:62969635		2.3564	-0.3879	25
TRANSLATION	LUAD	STAB1|23166	+	RI	chr3:52557443:52557592-52557668:52557772		2.3517	0.5339	56.25
TRANSLATION	LUAD	RASSF4|83937	+	RI	chr10:45465613:45465712-45467221:45467296		2.3395	-0.4445	50
TRANSLATION	LUAD	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		2.3393	-0.4589	68.75
TRANSLATION	LUAD	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		2.3337	-0.4863	81.25
TRANSLATION	LUAD	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		2.3314	-0.5453	62.5
TRANSLATION	LUAD	TMEM184A|202915	-	A3	chr7:1590031-1590453:1590015-1590453		2.3278	0.3603	62.5
TRANSLATION	LUAD	CDK10|8558	+	A5	chr16:89755732-89756961:89755714-89756961		2.3211	0.3597	37.5
TRANSLATION	LUAD	NCAM1|4684	+	A5	chr11:113144470-113145989:113143770-113145989		2.315	0.164	25
TRANSLATION	LUAD	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		2.2985	0.5551	87.5
TRANSLATION	LUAD	ECHDC2|55268	-	RI	chr1:53370706:53370762-53372191:53372283		2.2949	-0.3542	31.25
TRANSLATION	LUAD	ITGAM|3684	+	SE	chr16:31308975-31309066:31309275-31332562		2.2743	-0.4568	62.5
TRANSLATION	LUAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.2718	-0.4374	81.25
TRANSLATION	LUAD	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.2667	-0.1891	87.5
TRANSLATION	LUAD	ARHGAP9|64333	-	MX	chr12:57866471-57867386:57867491-57868206:57866471-57867825:57867959-57868206		2.2647	0.3648	43.75
TRANSLATION	LUAD	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.2583	-0.4044	87.5
TRANSLATION	LUAD	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572		2.2567	-0.3529	50
TRANSLATION	LUAD	POLR2B|5431	+	SE	chr4:57852592-57856914:57857064-57860570		2.2558	-0.5241	75
TRANSLATION	LUAD	TMUB2|79089	+	RI	chr17:42266303:42266667-42266779:42266956		2.2494	-0.3426	37.5
TRANSLATION	LUAD	PRPF39|55015	+	RI	chr14:45565306:45565431-45566090:45566208		2.2475	-0.3978	62.5
TRANSLATION	LUAD	AP2A1|160	+	A3	chr19:50308833-50308918:50308833-50308982		2.2434	-0.4916	56.25
TRANSLATION	LUAD	SCYL1|57410	+	A3	chr11:65305653-65305741:65305653-65305913		2.2404	-0.4504	81.25
TRANSLATION	LUAD	SEC23B|10483	+	A5	chr20:18488616-18491466:18488313-18491466		2.2388	-0.4474	56.25
TRANSLATION	LUAD	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		2.2356	-0.5449	68.75
TRANSLATION	LUAD	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		2.2273	0.4031	75
TRANSLATION	LUAD	ZNF692|55657	-	A3	chr1:249152264-249152330:249152058-249152330		2.2272	-0.391	56.25
TRANSLATION	LUAD	LOC339290|339290	+	A3	chr18:5239048-5240186:5239048-5241698		2.225	-0.3939	50
TRANSLATION	LUAD	SMYD2|56950	+	A3	chr1:214503621-214504293:214503621-214507543		2.2219	-0.3643	62.5
TRANSLATION	LUAD	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.2125	-0.5382	100
TRANSLATION	LUAD	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		2.1975	-0.4464	62.5
