# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		4.1092	-0.6415	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		4.0089	-0.6406	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PSME4|23198	-	SE	chr2:54096675-54101476:54101631-54102764		3.8947	-0.6277	87.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	DDX24|57062	-	SE	chr14:94528967-94545371:94546093-94547465		3.869	-0.6363	75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	LRPPRC|10128	-	SE	chr2:44207087-44209377:44209573-44222938		3.7248	0.6084	31.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		3.5249	-0.6449	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		3.4964	0.5907	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		3.3664	-0.6477	93.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PPP2R3A|5523	+	SE	chr3:135684691-135719901:135722335-135745674		3.3353	-0.6279	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	TTF1|7270	-	SE	chr9:135275645-135276842:135278215-135282177		3.2896	-0.6008	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		3.2775	0.6721	50
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		3.1301	-0.4718	81.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	GPBP1|65056	+	SE	chr5:56510020-56517203:56517223-56526673		3.0848	0.6378	81.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		3.0662	-0.5675	43.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PHRF1|57661	+	A3	chr11:610347-610501:610347-610667		3.0437	-0.6297	31.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	TTC27|55622	+	A5	chr2:33036292-33037571:33036288-33037571		3.0398	0.6342	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SREBF1|6720	-	RI	chr17:17720862:17720905-17721010:17721230		3.0099	0.4741	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	MPP5|64398	+	A3	chr14:67736500-67745735:67736500-67745967		3.0047	-0.5817	37.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		2.9902	0.6344	75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008		2.9673	-0.458	56.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SMG7|9887	+	A5	chr1:183511637-183513488:183511499-183513488		2.9595	-0.5951	18.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	AARS|16	-	A5	chr16:70287284-70287569:70287284-70287617		2.9517	0.6196	37.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	DNAJA1|3301	+	SE	chr9:33026614-33026811:33026988-33029883		2.9444	-0.4407	25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	RNF43|54894	-	SE	chr17:56440961-56448272:56448394-56492687		2.8958	-0.6299	81.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	LOC92249|92249	-	SE	chrX:62652371-62736790:62736962-62780712		2.8927	0.4154	50
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	EWSR1|2130	+	A3	chr22:29678546-29682912:29678546-29682987		2.8926	-0.6402	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.8688	0.5836	81.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NEB|4703	-	SE	chr2:152349959-152350289:152350381-152350675		2.8376	-0.3722	31.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		2.8299	0.649	87.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	CLSTN1|22883	-	A5	chr1:9790763-9791180:9790763-9791264		2.8181	0.6317	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	C3orf17|25871	-	SE	chr3:112730253-112731581:112732250-112732800		2.8134	-0.1657	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	TNS4|84951	-	SE	chr17:38634900-38635926:38636094-38636952		2.8038	-0.6323	50
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	RBBP8|5932	+	A3	chr18:20577697-20581534:20577697-20581549		2.8023	0.631	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SCRIB|23513	-	RI	chr8:144874655:144874805-144874878:144875037		2.7706	0.5695	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	APAF1|317	+	SE	chr12:99093347-99097149:99097277-99100263		2.76	-0.5936	75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SLC24A6|80024	-	SE	chr12:113756876-113758136:113758303-113758386		2.7362	-0.5696	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		2.7152	-0.609	56.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		2.6954	-0.5218	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PLOD3|8985	-	A5	chr7:100853954-100854872:100853954-100854874		2.6883	-0.6352	50
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NIPBL|25836	+	RI	chr5:37063892:37064080-37064629:37065920		2.6783	0.5096	43.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ZDHHC13|54503	+	A5	chr11:19167850-19169143:19167849-19169143		2.6545	-0.3867	31.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ASAP1|50807	-	SE	chr8:131172210-131173031:131173039-131179782		2.6517	0.5837	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	KIAA0892|23383	+	A5	chr19:19458175-19459698:19458172-19459698		2.6273	-0.6449	62.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NCOR2|9612	-	SE	chr12:124810916-124812093:124812179-124815391		2.6212	-0.6259	18.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	IFI16|3428	+	SE	chr1:159015254-159019222:159019389-159021469		2.611	-0.3836	37.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NUP205|23165	+	A3	chr7:135315218-135320312:135315218-135320329		2.6084	0.6588	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	CUL4A|8451	+	A5	chr13:113873362-113882282:113873353-113882282		2.5903	-0.5112	31.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	SMC2|10592	+	SE	chr9:106896856-106898149:106898341-106900299		2.5901	0.5798	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PARD3|56288	-	A5	chr10:34625171-34626203:34625171-34626206		2.5899	-0.611	43.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		2.5791	0.6362	56.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	LMO7|4008	+	A3	chr13:76408523-76409288:76408523-76409369		2.5755	0.5666	18.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	AFF1|4299	+	SE	chr4:87869723-87967318:87967438-87967847		2.5653	-0.2357	18.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		2.5595	0.6213	68.75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	ARID2|196528	+	SE	chr12:46287504-46298125:46298181-46298717		2.5577	0.5638	75
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	FNBP1L|54874	+	A3	chr1:94014983-94016504:94014983-94016558		2.5339	-0.5982	81.25
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	XYLT2|64132	+	SE	chr17:48434134-48434418:48434613-48435568		2.5221	-0.4592	37.5
EUKARYOTIC_TRANSLATION_INITIATION	HNSC	NOL8|55035	-	A5	chr9:95086491-95087462:95086491-95087600		2.5182	-0.6101	62.5
