# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	KIRC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		6.0788	-0.3603	93.75
NFKB_PATHWAY	KIRC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		6.0501	-0.4206	75
NFKB_PATHWAY	KIRC	ITGB7|3695	-	A5	chr12:53594230-53594856:53594230-53594902		5.148	0.454	68.75
NFKB_PATHWAY	KIRC	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		5.0945	-0.4177	62.5
NFKB_PATHWAY	KIRC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.546	-0.3541	93.75
NFKB_PATHWAY	KIRC	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		4.4681	0.4371	43.75
NFKB_PATHWAY	KIRC	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		4.0408	-0.3907	81.25
NFKB_PATHWAY	KIRC	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		3.9473	0.3747	68.75
NFKB_PATHWAY	KIRC	SIGLEC11|114132	-	SE	chr19:50455651-50461540:50461827-50461900		3.8301	0.2506	31.25
NFKB_PATHWAY	KIRC	YIPF2|78992	-	A5	chr19:11039116-11039187:11039116-11039261		3.8257	-0.1463	25
NFKB_PATHWAY	KIRC	SEC31A|22872	-	A5	chr4:83750211-83763293:83750211-83763338		3.8241	0.1875	6.25
NFKB_PATHWAY	KIRC	MYO5A|4644	-	SE	chr15:52632591-52635314:52635394-52638558		3.5679	0.3035	75
NFKB_PATHWAY	KIRC	ARHGAP9|64333	-	SE	chr12:57867491-57867825:57867959-57868206		3.3772	0.3527	87.5
NFKB_PATHWAY	KIRC	C14orf159|80017	+	A5	chr14:91580872-91611565:91580627-91611565		3.3661	-0.1038	50
NFKB_PATHWAY	KIRC	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		3.3337	0.3849	75
NFKB_PATHWAY	KIRC	SPIB|6689	+	SE	chr19:50925802-50926080:50926294-50926862		3.2667	0.1268	50
NFKB_PATHWAY	KIRC	SORBS1|10580	-	SE	chr10:97181830-97181947:97181973-97192205		3.2216	0.2892	37.5
NFKB_PATHWAY	KIRC	HAUS4|54930	-	A5	chr14:23424385-23425955:23424385-23426133		3.1046	-0.2103	37.5
NFKB_PATHWAY	KIRC	ARL5A|26225	-	A5	chr2:152671713-152684645:152671713-152684903		3.0645	0.2885	68.75
NFKB_PATHWAY	KIRC	TSPAN32|10077	+	A5	chr11:2334985-2335715:2334938-2335715		3.0583	0.1629	43.75
NFKB_PATHWAY	KIRC	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.0257	0.3731	75
NFKB_PATHWAY	KIRC	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		2.9749	0.3936	62.5
NFKB_PATHWAY	KIRC	NFKBIB|4793	+	RI	chr19:39398039:39398299-39399371:39399533		2.931	-0.1605	62.5
NFKB_PATHWAY	KIRC	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		2.8787	-0.2701	62.5
NFKB_PATHWAY	KIRC	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399		2.8578	-0.0045	43.75
NFKB_PATHWAY	KIRC	SP140|11262	+	SE	chr2:231118132-231120167:231120247-231134247		2.7882	0.2566	25
NFKB_PATHWAY	KIRC	CD8B|926	-	SE	chr2:87042841-87049444:87049497-87072045		2.7864	0.2665	12.5
NFKB_PATHWAY	KIRC	LIMCH1|22998	+	SE	chr4:41621457-41640949:41640984-41646517		2.7073	0.2521	37.5
NFKB_PATHWAY	KIRC	SP140|11262	+	SE	chr2:231115776-231118031:231118132-231120167		2.6847	0.2477	68.75
NFKB_PATHWAY	KIRC	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		2.6662	0.1882	50
NFKB_PATHWAY	KIRC	S100A1|6271	+	A3	chr1:153603138-153603988:153603138-153604174		2.6488	-0.1566	31.25
NFKB_PATHWAY	KIRC	STXBP2|6813	+	A3	chr19:7704693-7705584:7704693-7705626		2.6417	0.1314	18.75
NFKB_PATHWAY	KIRC	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		2.6224	0.2368	62.5
NFKB_PATHWAY	KIRC	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.6069	-0.1188	68.75
NFKB_PATHWAY	KIRC	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	2.5879	0.1646	56.25
NFKB_PATHWAY	KIRC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.5348	-0.3843	81.25
NFKB_PATHWAY	KIRC	GABPA|2551	+	A5	chr21:27107889-27113884:27107381-27113884		2.5206	0.2492	68.75
NFKB_PATHWAY	KIRC	LOC728613|728613	-	SE	chr5:1602850-1632759:1632866-1632960		2.5205	-0.0185	37.5
NFKB_PATHWAY	KIRC	FMNL1|752	+	A3	chr17:43322783-43322986:43322783-43322999		2.5116	-0.1726	43.75
NFKB_PATHWAY	KIRC	CTNND1|1500	+	SE	chr11:57529518-57558857:57559145-57561482		2.5064	0.2255	18.75
NFKB_PATHWAY	KIRC	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		2.4974	-0.2725	68.75
NFKB_PATHWAY	KIRC	AKAP8|10270	-	SE	chr19:15479133-15479878:15480035-15480957		2.4825	-0.2128	43.75
NFKB_PATHWAY	KIRC	LPIN1|23175	+	SE	chr2:11913871-11916212:11916319-11919645		2.4697	-0.2342	43.75
NFKB_PATHWAY	KIRC	FOXP3|50943	-	SE	chrX:49114022-49114121:49114225-49114753		2.4611	-0.1633	81.25
NFKB_PATHWAY	KIRC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803556-196807922		2.4447	-0.3075	81.25
NFKB_PATHWAY	KIRC	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.4388	-0.2557	75
NFKB_PATHWAY	KIRC	SP140|11262	+	SE	chr2:231110655-231112631:231112780-231113600		2.4185	0.2946	62.5
NFKB_PATHWAY	KIRC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		2.4184	0.3371	93.75
NFKB_PATHWAY	KIRC	HMHA1|23526	+	SE	chr19:1067494-1068413:1068743-1073148		2.3819	0.1412	56.25
NFKB_PATHWAY	KIRC	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		2.3631	0.2199	81.25
NFKB_PATHWAY	KIRC	XRRA1|143570	-	SE	chr11:74648113-74656063:74656130-74659973		2.3463	-0.0291	12.5
NFKB_PATHWAY	KIRC	GABPB1|2553	-	A5	chr15:50593099-50593418:50593099-50593454		2.3448	0.0868	37.5
