# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		4.3509	0.431	50
AR_PATHWAY	KIRC	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693		3.916	-0.5326	68.75
AR_PATHWAY	KIRC	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		3.7832	-0.5922	6.25
AR_PATHWAY	KIRC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		3.6482	0.3345	62.5
AR_PATHWAY	KIRC	MORF4L2|9643	-	SE	chrX:102931979-102933427:102933579-102940099		3.2804	0.3538	43.75
AR_PATHWAY	KIRC	FNBP1L|54874	+	RI	chr1:94016504:94016662-94017966:94020216		3.2616	-0.5212	50
AR_PATHWAY	KIRC	PAN2|9924	-	RI	chr12:56716399:56716542-56716846:56716993		3.1635	-0.598	56.25
AR_PATHWAY	KIRC	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.1372	0.465	56.25
AR_PATHWAY	KIRC	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		2.9773	-0.569	37.5
AR_PATHWAY	KIRC	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		2.9379	-0.3707	62.5
AR_PATHWAY	KIRC	IQCC|55721	+	RI	chr1:32671755:32671898-32672110:32672362		2.9056	-0.4395	43.75
AR_PATHWAY	KIRC	FAM120A|23196	+	SE	chr9:96320292-96320863:96321000-96323391		2.8395	0.5157	68.75
AR_PATHWAY	KIRC	EVI5|7813	-	SE	chr1:93101893-93128977:93129009-93131496		2.7852	0.3687	50
AR_PATHWAY	KIRC	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		2.7384	-0.4747	87.5
