# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	COAD	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680		5.0953	-0.6923	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SMEK2|57223	-	A3	chr2:55791633-55792038:55791612-55792038		4.6335	-0.6492	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	TP53BP2|7159	-	SE	chr1:223984292-223985917:223986379-223987601		4.0445	-0.649	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		3.9768	0.6265	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	RASAL2|9462	+	SE	chr1:178436556-178439828:178439858-178442210		3.8703	0.6119	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	AHCTF1|25909	-	SE	chr1:247027418-247028557:247028635-247030546		3.8352	0.5723	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	BAT2L1|84726	+	A3	chr9:134363483-134366809:134363483-134366812		3.6751	0.6366	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	LRRK1|79705	+	SE	chr15:101606946-101607445:101607592-101608876		3.6481	0.6557	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ABCC1|4363	+	SE	chr16:16184445-16192730:16192759-16196484		3.4467	0.6117	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	KIAA0892|23383	+	A5	chr19:19458175-19459698:19458172-19459698		3.3659	-0.6644	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		3.3495	-0.4369	50
EUKARYOTIC_TRANSLATION_INITIATION	COAD	TTC27|55622	+	A5	chr2:33036292-33037571:33036288-33037571		3.3084	0.5947	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	LIMK2|3985	+	SE	chr22:31608410-31621706:31621805-31654277		3.2597	-0.5865	25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	IL17RE|132014	+	SE	chr3:9944748-9945716:9945835-9948048		3.2456	-0.3509	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.2232	-0.5737	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		3.204	-0.4259	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ARHGAP21|57584	-	SE	chr10:24878231-24879135:24879408-24880154		3.0868	0.6661	93.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	TCF12|6938	+	SE	chr15:57543621-57544619:57544690-57545460		3.0515	0.0738	31.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SPHK2|56848	+	SE	chr19:49123810-49129148:49129619-49130949		3.0143	-0.5446	37.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	STAT6|6778	-	SE	chr12:57501097-57501946:57502082-57504912		2.9664	-0.5682	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		2.966	-0.6467	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		2.9603	-0.6248	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	CLDN12|9069	+	A5	chr7:90034926-90041958:90034922-90041958		2.9015	0.4944	37.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SMC2|10592	+	SE	chr9:106896856-106898149:106898341-106900299		2.8844	0.652	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ERCC6|2074	-	SE	chr10:50682288-50683373:50683542-50684261		2.8463	0.599	37.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	PCCA|5095	+	SE	chr13:100741479-100755137:100755214-100764095		2.8211	-0.2921	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	RNF43|54894	-	SE	chr17:56440961-56448272:56448394-56492687		2.8184	-0.5818	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	DOCK10|55619	-	SE	chr2:225630554-225633589:225633664-225634928		2.8154	0.6121	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.7995	-0.5803	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	CLSTN1|22883	-	A5	chr1:9790763-9791180:9790763-9791264		2.7729	0.6287	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	APAF1|317	+	SE	chr12:99117542-99119193:99119318-99120951		2.7698	-0.6389	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ACHE|43	-	A3	chr7:100488709-100488790:100487956-100488790		2.7575	0.0993	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	MAPKBP1|23005	+	A3	chr15:42116259-42116682:42116259-42116688		2.7527	-0.6167	50
EUKARYOTIC_TRANSLATION_INITIATION	COAD	LIMA1|51474	-	A3	chr12:50575820-50586235:50575817-50586235		2.7274	-0.6721	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.7158	0.6577	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		2.7018	0.4369	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	CBLB|868	-	SE	chr3:105397415-105400323:105400454-105400568		2.7005	-0.5706	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	CSDE1|7812	-	SE	chr1:115282511-115292442:115292828-115300546		2.6998	-0.6154	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		2.6969	-0.6597	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856		2.6933	0.6415	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.6917	0.6342	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	DOPEY2|9980	+	SE	chr21:37605373-37609560:37609712-37610899		2.6905	-0.5838	37.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		2.6835	-0.6836	68.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.6735	-0.5892	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.666	-0.6268	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	HERC3|8916	+	SE	chr4:89588639-89589043:89589232-89591011		2.6412	-0.5924	50
EUKARYOTIC_TRANSLATION_INITIATION	COAD	HUWE1|10075	-	A3	chrX:53602748-53603860:53602745-53603860		2.6304	-0.6266	81.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	STRBP|55342	-	SE	chr9:125898794-125901808:125901966-125909134		2.6206	-0.6371	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	POLL|27343	-	A5	chr10:103347163-103347642:103347163-103347961		2.5996	-0.3845	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	CTNNB1|1499	+	A3	chr3:41265572-41266017:41265572-41266233		2.5954	-0.5645	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	WHSC1|7468	+	A3	chr4:1957576-1957710:1957576-1957814		2.5897	-0.6257	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	DOCK2|1794	+	SE	chr5:169139011-169139124:169139227-169141032		2.5693	-0.3217	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ARNT|405	-	A3	chr1:150786715-150788735:150786712-150788735		2.5481	-0.5714	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SLC37A3|84255	-	SE	chr7:140035304-140037084:140037149-140043212		2.54	-0.6487	37.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	STX16|8675	+	SE	chr20:57227194-57234679:57234690-57242546		2.5337	0.3288	43.75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	APAF1|317	+	SE	chr12:99093347-99097149:99097277-99100263		2.5323	-0.6158	75
EUKARYOTIC_TRANSLATION_INITIATION	COAD	ACSL1|2180	-	A3	chr4:185683677-185684321:185683647-185684321		2.5316	-0.5548	50
EUKARYOTIC_TRANSLATION_INITIATION	COAD	TMEM63B|55362	+	SE	chr6:44102833-44103065:44103103-44104086		2.516	-0.5488	56.25
EUKARYOTIC_TRANSLATION_INITIATION	COAD	TCTN3|26123	-	A3	chr10:97442952-97443279:97442937-97443279		2.5125	-0.5836	62.5
EUKARYOTIC_TRANSLATION_INITIATION	COAD	SYTL4|94121	-	A5	chrX:99943440-99944849:99943440-99944853		2.4825	0.3143	31.25
