# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	STAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		5.5637	0.6976	81.25
T_CELL_ACTIVATION	STAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		5.0132	-0.6248	100
T_CELL_ACTIVATION	STAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		4.6604	0.5711	93.75
T_CELL_ACTIVATION	STAD	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		4.6478	-0.5722	100
T_CELL_ACTIVATION	STAD	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		4.3526	-0.5609	100
T_CELL_ACTIVATION	STAD	ITGAE|3682	-	SE	chr17:3623696-3626582:3626677-3626982		4.2774	0.7546	12.5
T_CELL_ACTIVATION	STAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.2318	-0.5881	100
T_CELL_ACTIVATION	STAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.1226	0.5873	100
T_CELL_ACTIVATION	STAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		4.0163	0.5498	93.75
T_CELL_ACTIVATION	STAD	UBASH3A|53347	+	SE	chr21:43833331-43833519:43833632-43836551		4.011	0.4146	81.25
T_CELL_ACTIVATION	STAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.9071	-0.6178	100
T_CELL_ACTIVATION	STAD	CD300LF|146722	-	A3	chr17:72699282-72700617:72699237-72700617		3.6682	0.3802	93.75
T_CELL_ACTIVATION	STAD	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		3.6356	0.4303	68.75
T_CELL_ACTIVATION	STAD	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.5859	0.5054	93.75
T_CELL_ACTIVATION	STAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.5579	0.5826	93.75
T_CELL_ACTIVATION	STAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		3.5302	-0.4996	81.25
T_CELL_ACTIVATION	STAD	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		3.5235	0.5553	81.25
T_CELL_ACTIVATION	STAD	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		3.4823	0.4911	68.75
T_CELL_ACTIVATION	STAD	IRF4|3662	+	A3	chr6:395935-397108:395935-397111		3.4756	0.321	81.25
T_CELL_ACTIVATION	STAD	PLA2G2D|26279	-	SE	chr1:20440752-20442000:20442106-20442826		3.4191	0.2128	56.25
T_CELL_ACTIVATION	STAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		3.4028	0.5134	56.25
T_CELL_ACTIVATION	STAD	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		3.2415	-0.4303	75
T_CELL_ACTIVATION	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.1828	-0.4888	62.5
T_CELL_ACTIVATION	STAD	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		3.163	0.481	93.75
T_CELL_ACTIVATION	STAD	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		3.1571	-0.4265	81.25
T_CELL_ACTIVATION	STAD	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		3.0974	0.4491	100
T_CELL_ACTIVATION	STAD	SIGLEC10|89790	-	SE	chr19:51920204-51920336:51920719-51920799		3.0115	0.2168	68.75
