# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	ESCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.9171	-0.6059	75
FOCAL_ADHESION_PATHWAY	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.3428	-0.4972	93.75
FOCAL_ADHESION_PATHWAY	ESCA	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.2266	0.5945	75
FOCAL_ADHESION_PATHWAY	ESCA	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		3.0479	0.5532	87.5
FOCAL_ADHESION_PATHWAY	ESCA	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		3.0267	-0.4564	81.25
FOCAL_ADHESION_PATHWAY	ESCA	NOX4|50507	-	SE	chr11:89073339-89075242:89075361-89088130		2.7781	0.2432	37.5
FOCAL_ADHESION_PATHWAY	ESCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.7154	-0.4985	87.5
FOCAL_ADHESION_PATHWAY	ESCA	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		2.6248	0.4887	75
FOCAL_ADHESION_PATHWAY	ESCA	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		2.6175	0.3686	68.75
FOCAL_ADHESION_PATHWAY	ESCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.5277	-0.5096	100
FOCAL_ADHESION_PATHWAY	ESCA	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		2.5048	-0.5471	75
FOCAL_ADHESION_PATHWAY	ESCA	TRPV2|51393	+	A3	chr17:16330191-16330763:16330191-16330766		2.5011	0.1707	62.5
FOCAL_ADHESION_PATHWAY	ESCA	FLRT2|23768	+	A5	chr14:85996900-86087483:85996878-86087483		2.453	-0.3968	43.75
FOCAL_ADHESION_PATHWAY	ESCA	CLEC5A|23601	-	A5	chr7:141630018-141631520:141630018-141631524		2.4402	0.3829	37.5
FOCAL_ADHESION_PATHWAY	ESCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.4396	0.5799	81.25
FOCAL_ADHESION_PATHWAY	ESCA	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		2.382	-0.5853	37.5
FOCAL_ADHESION_PATHWAY	ESCA	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		2.3357	-0.4295	43.75
FOCAL_ADHESION_PATHWAY	ESCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		2.2985	-0.4677	81.25
FOCAL_ADHESION_PATHWAY	ESCA	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		2.2667	-0.2759	43.75
FOCAL_ADHESION_PATHWAY	ESCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.2475	0.4607	93.75
FOCAL_ADHESION_PATHWAY	ESCA	LRCH2|57631	-	SE	chrX:114358565-114361406:114361456-114364718		2.2384	0.3918	37.5
FOCAL_ADHESION_PATHWAY	ESCA	SLC11A1|6556	+	SE	chr2:219247825-219248966:219249088-219249870		2.2212	-0.2746	18.75
FOCAL_ADHESION_PATHWAY	ESCA	PAMR1|25891	-	RI	chr11:35453378:35453796-35453798:35454440		2.2079	-0.2884	43.75
FOCAL_ADHESION_PATHWAY	ESCA	DOCK4|9732	-	A5	chr7:111575683-111580165:111575683-111580173		2.1984	0.1878	56.25
FOCAL_ADHESION_PATHWAY	ESCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.1851	0.3594	100
FOCAL_ADHESION_PATHWAY	ESCA	CACNA1H|8912	+	SE	chr16:1262138-1262511:1262528-1263780		2.1672	0.3382	37.5
FOCAL_ADHESION_PATHWAY	ESCA	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		2.1226	-0.4996	87.5
FOCAL_ADHESION_PATHWAY	ESCA	ZNF248|57209	-	RI	chr10:38117899:38120240-38121953:38122044		2.082	0.3722	25
FOCAL_ADHESION_PATHWAY	ESCA	DOCK5|80005	+	SE	chr8:25240294-25246325:25246462-25246607		2.0063	-0.4516	50
FOCAL_ADHESION_PATHWAY	ESCA	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		1.9569	0.4909	37.5
FOCAL_ADHESION_PATHWAY	ESCA	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		1.9423	0.4737	62.5
FOCAL_ADHESION_PATHWAY	ESCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	1.9381	-0.4283	100
FOCAL_ADHESION_PATHWAY	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		1.9272	-0.5497	81.25
FOCAL_ADHESION_PATHWAY	ESCA	RGS4|5999	+	SE	chr1:163042656-163043246:163043412-163044111		1.9114	0.3142	87.5
FOCAL_ADHESION_PATHWAY	ESCA	IPW|3653	+	SE	chr15:25330469-25331657:25331761-25332614		1.8903	-0.1249	18.75
FOCAL_ADHESION_PATHWAY	ESCA	ACSL5|51703	+	SE	chr10:114169443-114170016:114170097-114170221		1.8891	-0.2882	68.75
FOCAL_ADHESION_PATHWAY	ESCA	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		1.8878	0.4422	75
FOCAL_ADHESION_PATHWAY	ESCA	RASSF8|11228	+	A3	chr12:26148063-26208169:26148063-26208212		1.8793	0.3189	12.5
FOCAL_ADHESION_PATHWAY	ESCA	LGALS9|3965	+	SE	chr17:25969374-25970551:25970646-25972340		1.8757	-0.4004	43.75
FOCAL_ADHESION_PATHWAY	ESCA	TRIM28|10155	+	A3	chr19:59060143-59060229:59060143-59060253		1.8742	0.4769	50
FOCAL_ADHESION_PATHWAY	ESCA	JAG2|3714	-	A3	chr14:105613125-105613663:105613061-105613663		1.8627	-0.4759	37.5
FOCAL_ADHESION_PATHWAY	ESCA	PER3|8863	+	A3	chr1:7848306-7854017:7848306-7854020		1.8509	0.364	37.5
FOCAL_ADHESION_PATHWAY	ESCA	PARD3|56288	-	SE	chr10:34620272-34625127:34625171-34626203		1.8329	-0.4737	25
FOCAL_ADHESION_PATHWAY	ESCA	PHLDB1|23187	+	RI	chr11:118514790:118514892-118515365:118515409		1.7936	-0.3791	87.5
FOCAL_ADHESION_PATHWAY	ESCA	STX2|2054	-	A3	chr12:131276522-131283070:131276461-131283070		1.7902	-0.4828	12.5
FOCAL_ADHESION_PATHWAY	ESCA	FGFR1OP2|26127	+	SE	chr12:27110676-27113448:27113561-27116275		1.7837	0.2298	56.25
FOCAL_ADHESION_PATHWAY	ESCA	RTN2|6253	-	A5	chr19:45992811-45997376:45992811-45997424		1.7477	0.0939	43.75
FOCAL_ADHESION_PATHWAY	ESCA	CACNA1C|775	+	A3	chr12:2595428-2602356:2595428-2602365		1.7348	-0.0209	31.25
FOCAL_ADHESION_PATHWAY	ESCA	ADAMTSL4|54507	+	A3	chr1:150530625-150530733:150530625-150530949		1.7342	-0.2591	68.75
FOCAL_ADHESION_PATHWAY	ESCA	PRMT7|54496	+	SE	chr16:68355365-68358586:68358735-68362969		1.7333	0.2107	31.25
FOCAL_ADHESION_PATHWAY	ESCA	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		1.7114	-0.3904	56.25
FOCAL_ADHESION_PATHWAY	ESCA	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803553-196807922		1.7096	-0.4216	75
FOCAL_ADHESION_PATHWAY	ESCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		1.705	-0.3501	62.5
FOCAL_ADHESION_PATHWAY	ESCA	ZFYVE16|9765	+	A3	chr5:79741224-79743845:79741224-79744102		1.6943	0.5594	56.25
FOCAL_ADHESION_PATHWAY	ESCA	CD33|945	+	SE	chr19:51728411-51728474:51728854-51729059		1.6907	0.1059	43.75
FOCAL_ADHESION_PATHWAY	ESCA	TCF12|6938	+	SE	chr15:57543621-57544619:57544690-57545460		1.689	-0.3026	43.75
FOCAL_ADHESION_PATHWAY	ESCA	ARHGAP22|58504	-	SE	chr10:49667934-49687679:49687807-49763508		1.6859	-0.2068	37.5
FOCAL_ADHESION_PATHWAY	ESCA	SMN2|6607	+	SE	chr5:69363273-69365062:69365157-69366468		1.6818	-0.0835	31.25
FOCAL_ADHESION_PATHWAY	ESCA	GOLGA2B|55592	-	A3	chr12:100551223-100551306:100551034-100551306		1.6806	0.2869	68.75
FOCAL_ADHESION_PATHWAY	ESCA	FGD6|55785	-	SE	chr12:95566520-95602619:95605043-95611001		1.6745	0.4811	43.75
FOCAL_ADHESION_PATHWAY	ESCA	ATP2B4|493	+	SE	chr1:203696699-203702351:203702458-203708674		1.6744	-0.5144	68.75
FOCAL_ADHESION_PATHWAY	ESCA	RPL17|6139	-	A3	chr18:47018203-47018828:47017954-47018828		1.6738	0.0691	18.75
FOCAL_ADHESION_PATHWAY	ESCA	MLL5|55904	+	SE	chr7:104749675-104750727:104750815-104751218		1.6636	0.3621	12.5
FOCAL_ADHESION_PATHWAY	ESCA	DPP8|54878	-	SE	chr15:65744440-65746601:65746753-65756099		1.6619	-0.3942	43.75
FOCAL_ADHESION_PATHWAY	ESCA	PPP1R12A|4659	-	MX	chr12:80192364-80199372:80199548-80201006:80192364-80199946:80200113-80201006		1.652	-0.3469	12.5
FOCAL_ADHESION_PATHWAY	ESCA	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693		1.642	-0.4299	75
FOCAL_ADHESION_PATHWAY	ESCA	RPL12|6136	-	SE	chr9:130211641-130211889:130211987-130213010		1.6329	-0.0903	12.5
FOCAL_ADHESION_PATHWAY	ESCA	ENOX1|55068	-	SE	chr13:43896637-43900555:43900661-43918674		1.6304	0.2352	43.75
FOCAL_ADHESION_PATHWAY	ESCA	CD300LF|146722	-	A3	chr17:72699282-72700617:72699237-72700617		1.6262	0.2527	43.75
FOCAL_ADHESION_PATHWAY	ESCA	CNTNAP3|79937	-	A3	chr9:39133132-39140516:39133129-39140516		1.6206	0.3555	56.25
FOCAL_ADHESION_PATHWAY	ESCA	SLFN11|91607	-	SE	chr17:33690845-33693966:33694082-33700493		1.6192	0.214	37.5
FOCAL_ADHESION_PATHWAY	ESCA	HUWE1|10075	-	A3	chrX:53602748-53603860:53602745-53603860		1.6181	0.4029	25
FOCAL_ADHESION_PATHWAY	ESCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		1.6179	0.0046	43.75
FOCAL_ADHESION_PATHWAY	ESCA	WDR47|22911	-	A3	chr1:109547340-109553538:109547337-109553538		1.6178	0.0388	31.25
FOCAL_ADHESION_PATHWAY	ESCA	RXRB|6257	-	A3	chr6:33166241-33168019:33166138-33168019		1.6149	0.0969	37.5
FOCAL_ADHESION_PATHWAY	ESCA	MX2|4600	+	SE	chr21:42770946-42771123:42771264-42773897		1.6132	0.277	75
FOCAL_ADHESION_PATHWAY	ESCA	FAT4|79633	+	SE	chr4:126373965-126384718:126384822-126389667		1.6132	0.4371	68.75
