# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		6.3315	-0.6705	100
BASEMENT_MEMBRANE	BLCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.002	0.487	100
BASEMENT_MEMBRANE	BLCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		4.6712	-0.5827	100
BASEMENT_MEMBRANE	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.6574	-0.5665	93.75
BASEMENT_MEMBRANE	BLCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.6201	0.5013	100
BASEMENT_MEMBRANE	BLCA	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		3.7863	0.5376	75
BASEMENT_MEMBRANE	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.7484	0.4584	87.5
BASEMENT_MEMBRANE	BLCA	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		3.719	-0.1912	62.5
BASEMENT_MEMBRANE	BLCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		3.6882	0.4799	75
BASEMENT_MEMBRANE	BLCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		3.6041	-0.5322	62.5
BASEMENT_MEMBRANE	BLCA	HEPH|9843	+	A3	chrX:65483530-65486282:65483530-65486285		3.5271	-0.4465	75
BASEMENT_MEMBRANE	BLCA	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124555		3.486	-0.4277	56.25
BASEMENT_MEMBRANE	BLCA	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		3.4852	-0.4851	62.5
BASEMENT_MEMBRANE	BLCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.4175	-0.5241	81.25
BASEMENT_MEMBRANE	BLCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.414	0.5918	87.5
