# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HEDGEHOG_PATHWAY	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.6508	-0.6754	50
HEDGEHOG_PATHWAY	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		6.1624	-0.6892	75
HEDGEHOG_PATHWAY	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.6625	-0.6236	62.5
HEDGEHOG_PATHWAY	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		5.4414	-0.6639	18.75
HEDGEHOG_PATHWAY	STAD	PEG3|5178	-	SE	chr19:57328947-57329114:57329206-57329968		5.3192	0.4945	50
HEDGEHOG_PATHWAY	STAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		5.2054	0.5663	68.75
HEDGEHOG_PATHWAY	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		5.1026	0.6509	62.5
HEDGEHOG_PATHWAY	STAD	ATP2B4|493	+	SE	chr1:203696699-203702351:203702458-203708674		4.9832	-0.6047	68.75
HEDGEHOG_PATHWAY	STAD	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		4.8435	-0.5727	31.25
HEDGEHOG_PATHWAY	STAD	PRG4|10216	+	SE	chr1:186266083-186269223:186269345-186270724		4.6427	0.557	56.25
