# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	OV	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.9853	-0.4867	87.5
MISMATCH_REPAIR_PATHWAY	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		3.5002	-0.4648	43.75
MISMATCH_REPAIR_PATHWAY	OV	NOP56|10528	+	A5	chr20:2636860-2637047:2636680-2637047		2.5191	0.3827	25
MISMATCH_REPAIR_PATHWAY	OV	AFAP1L2|84632	-	SE	chr10:116060118-116060204:116060449-116061113		2.4643	-0.2554	31.25
MISMATCH_REPAIR_PATHWAY	OV	TOR2A|27433	-	RI	chr9:130493804:130494557-130495664:130495839		2.2875	-0.3099	56.25
MISMATCH_REPAIR_PATHWAY	OV	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		2.2003	0.18	43.75
MISMATCH_REPAIR_PATHWAY	OV	MTMR9L|339483	-	SE	chr1:32700714-32704896:32705026-32705470		2.1801	-0.3174	56.25
MISMATCH_REPAIR_PATHWAY	OV	ACIN1|22985	-	SE	chr14:23551045-23559191:23559310-23559731		2.1195	-0.1887	62.5
MISMATCH_REPAIR_PATHWAY	OV	DEPDC5|9681	+	A3	chr22:32229966-32232958:32229966-32232985		2.0844	0.2245	43.75
MISMATCH_REPAIR_PATHWAY	OV	USP1|7398	+	A5	chr1:62902233-62905470:62902138-62905470		2.0841	-0.3115	31.25
