# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INTEGRIN_BINDING	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		7.5934	-0.7139	81.25
INTEGRIN_BINDING	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		6.8182	-0.7122	18.75
INTEGRIN_BINDING	STAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.8089	-0.5912	100
INTEGRIN_BINDING	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		6.4331	0.6772	81.25
INTEGRIN_BINDING	STAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		6.0376	-0.6343	81.25
INTEGRIN_BINDING	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.5372	-0.6549	68.75
INTEGRIN_BINDING	STAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		5.4911	-0.62	68.75
INTEGRIN_BINDING	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		5.4861	0.6569	75
INTEGRIN_BINDING	STAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		5.4504	-0.62	81.25
INTEGRIN_BINDING	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		5.2275	-0.6294	81.25
INTEGRIN_BINDING	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		5.2163	-0.6097	81.25
INTEGRIN_BINDING	STAD	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693		5.0774	-0.6131	62.5
INTEGRIN_BINDING	STAD	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		4.8778	-0.5523	68.75
INTEGRIN_BINDING	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		4.8285	0.6075	31.25
INTEGRIN_BINDING	STAD	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		4.7756	-0.4482	87.5
INTEGRIN_BINDING	STAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.7025	0.6114	93.75
INTEGRIN_BINDING	STAD	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.6419	-0.5843	81.25
INTEGRIN_BINDING	STAD	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		4.6382	-0.5618	68.75
INTEGRIN_BINDING	STAD	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		4.6271	0.6037	68.75
INTEGRIN_BINDING	STAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.6076	0.674	81.25
INTEGRIN_BINDING	STAD	PHLDB2|90102	+	SE	chr3:111639266-111651116:111651244-111658322		4.4534	0.4171	75
INTEGRIN_BINDING	STAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.4091	-0.6099	81.25
INTEGRIN_BINDING	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.2416	-0.6915	62.5
INTEGRIN_BINDING	STAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		4.1897	-0.5697	75
INTEGRIN_BINDING	STAD	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		4.1863	0.4701	87.5
INTEGRIN_BINDING	STAD	AMPH|273	-	SE	chr7:38466586-38468656:38469177-38469442		4.1815	-0.4764	62.5
INTEGRIN_BINDING	STAD	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		4.0666	-0.5271	87.5
INTEGRIN_BINDING	STAD	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		4.0587	0.5513	87.5
INTEGRIN_BINDING	STAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		4.0406	0.6322	68.75
INTEGRIN_BINDING	STAD	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		4.0383	0.5629	68.75
