# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		5.8153	-0.5253	56.25
SNRNP_ASSEMBLY	BLCA	SFRS3|6428	+	SE	chr6:36566760-36567598:36568053-36568929		4.5823	-0.5052	37.5
SNRNP_ASSEMBLY	BLCA	PDLIM7|9260	-	MX	chr5:176918147-176918405:176918421-176919406:176918147-176918808:176918926-176919406		3.8961	-0.3436	43.75
SNRNP_ASSEMBLY	BLCA	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		3.77	-0.3992	25
SNRNP_ASSEMBLY	BLCA	ZAK|51776	+	SE	chr2:173940730-173955726:173955918-174034533		3.7218	0.3964	50
SNRNP_ASSEMBLY	BLCA	NFIX|4784	+	SE	chr19:13186485-13189427:13189549-13192494		3.72	0.4097	50
SNRNP_ASSEMBLY	BLCA	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		3.6726	-0.2674	25
SNRNP_ASSEMBLY	BLCA	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		3.6543	-0.3596	62.5
SNRNP_ASSEMBLY	BLCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		3.6207	0.3974	81.25
SNRNP_ASSEMBLY	BLCA	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		3.5304	0.3337	43.75
SNRNP_ASSEMBLY	BLCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		3.5173	0.421	43.75
SNRNP_ASSEMBLY	BLCA	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		3.4083	-0.3044	56.25
SNRNP_ASSEMBLY	BLCA	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		3.3921	-0.3821	68.75
SNRNP_ASSEMBLY	BLCA	CALD1|800	+	A3	chr7:134642863-134642960:134642863-134642963		3.2363	0.3515	25
SNRNP_ASSEMBLY	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		3.0864	-0.4184	18.75
SNRNP_ASSEMBLY	BLCA	RPL14|9045	+	A5	chr3:40498965-40499381:40498854-40499381		2.9534	-0.2719	50
SNRNP_ASSEMBLY	BLCA	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		2.9315	0.4242	68.75
SNRNP_ASSEMBLY	BLCA	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.8893	-0.3989	62.5
SNRNP_ASSEMBLY	BLCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.8699	-0.2354	68.75
SNRNP_ASSEMBLY	BLCA	ATP2B4|493	+	A5	chr1:203702528-203708674:203702458-203708674		2.8601	-0.3354	62.5
SNRNP_ASSEMBLY	BLCA	ANKRD42|338699	+	A5	chr11:82921461-82922337:82921458-82922337		2.8083	0.3075	37.5
SNRNP_ASSEMBLY	BLCA	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		2.7559	-0.392	37.5
SNRNP_ASSEMBLY	BLCA	CPSF7|79869	-	A5	chr11:61183991-61187394:61183991-61187421		2.6976	0.3974	31.25
