# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		4.164	-0.634	25
CHROMOSOME_LOCALIZATION	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		3.6499	-0.5634	31.25
CHROMOSOME_LOCALIZATION	BLCA	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		3.4528	-0.5298	81.25
CHROMOSOME_LOCALIZATION	BLCA	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		3.4058	-0.3764	43.75
CHROMOSOME_LOCALIZATION	BLCA	SFRS7|6432	-	SE	chr2:38975795-38976040:38976488-38976671		3.4023	-0.536	50
CHROMOSOME_LOCALIZATION	BLCA	SFRS3|6428	+	SE	chr6:36566760-36567598:36568053-36568929		3.2204	-0.5291	25
CHROMOSOME_LOCALIZATION	BLCA	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		3.1662	-0.591	25
CHROMOSOME_LOCALIZATION	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281310:41281939		3.1483	-0.4261	56.25
CHROMOSOME_LOCALIZATION	BLCA	HRAS|3265	-	SE	chr11:532755-533277:533358-533453		3.0831	-0.5341	6.25
CHROMOSOME_LOCALIZATION	BLCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		2.9884	0.5013	50
CHROMOSOME_LOCALIZATION	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.979	-0.4923	56.25
CHROMOSOME_LOCALIZATION	BLCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.7732	-0.5196	62.5
CHROMOSOME_LOCALIZATION	BLCA	C16orf13|84326	-	SE	chr16:684797-685612:685774-686094		2.7187	-0.3538	56.25
CHROMOSOME_LOCALIZATION	BLCA	C17orf53|78995	+	A3	chr17:42230145-42231921:42230145-42231924		2.7114	0.1949	43.75
CHROMOSOME_LOCALIZATION	BLCA	AKAP8|10270	-	SE	chr19:15479133-15479878:15480035-15480957		2.6643	-0.5165	31.25
CHROMOSOME_LOCALIZATION	BLCA	NUP62|23636	-	SE	chr19:50413141-50430951:50431072-50432583		2.6436	-0.3739	50
CHROMOSOME_LOCALIZATION	BLCA	TSNARE1|203062	-	A3	chr8:143382008-143395745:143382005-143395745		2.6171	-0.36	12.5
CHROMOSOME_LOCALIZATION	BLCA	AKAP8|10270	-	RI	chr19:15464341:15464739-15464742:15466181		2.5968	-0.5185	43.75
CHROMOSOME_LOCALIZATION	BLCA	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.5837	0.2888	43.75
CHROMOSOME_LOCALIZATION	BLCA	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.4793	-0.1647	50
CHROMOSOME_LOCALIZATION	BLCA	TJP1|7082	-	SE	chr15:30011342-30011981:30012220-30012562		2.4214	-0.3642	37.5
CHROMOSOME_LOCALIZATION	BLCA	ILK|3611	+	A3	chr11:6625052-6625410:6625052-6625456		2.3261	0.4401	12.5
CHROMOSOME_LOCALIZATION	BLCA	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		2.3259	-0.2616	62.5
CHROMOSOME_LOCALIZATION	BLCA	NTAN1|123803	-	SE	chr16:15141777-15141854:15141956-15149748		2.3139	0.5176	81.25
CHROMOSOME_LOCALIZATION	BLCA	SNX1|6642	+	A3	chr15:64429131-64429767:64429131-64430241		2.3119	-0.4697	68.75
CHROMOSOME_LOCALIZATION	BLCA	SDCCAG3|10807	-	SE	chr9:139302390-139303451:139303519-139304542		2.3021	-0.3914	50
CHROMOSOME_LOCALIZATION	BLCA	FLNA|2316	-	SE	chrX:153583440-153585619:153585642-153585802		2.3008	0.4336	31.25
CHROMOSOME_LOCALIZATION	BLCA	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		2.2965	0.3102	56.25
CHROMOSOME_LOCALIZATION	BLCA	NUP62|23636	-	A3	chr19:50431105-50432583:50431072-50432583		2.2301	0.2447	62.5
CHROMOSOME_LOCALIZATION	BLCA	PSMC3IP|29893	-	A5	chr17:40725641-40725837:40725641-40726214		2.2104	-0.2709	50
CHROMOSOME_LOCALIZATION	BLCA	DIS3L2|129563	+	A3	chr2:233200584-233200851:233200584-233201179		2.2011	-0.4372	25
CHROMOSOME_LOCALIZATION	BLCA	RAD54L|8438	+	SE	chr1:46738474-46739027:46739137-46739296		2.1892	0.4051	62.5
CHROMOSOME_LOCALIZATION	BLCA	INCENP|3619	+	A5	chr11:61913235-61914130:61913223-61914130		2.1778	0.2514	25
CHROMOSOME_LOCALIZATION	BLCA	NEDD4L|23327	+	SE	chr18:56001124-56002710:56002769-56008270		2.1614	-0.3072	56.25
CHROMOSOME_LOCALIZATION	BLCA	DYRK1B|9149	-	A3	chr19:40317627-40317925:40317507-40317925		2.1468	0.1107	50
CHROMOSOME_LOCALIZATION	BLCA	UBR2|23304	+	MX	chr6:42583828-42584978:42585076-42600290:42583828-42585147:42585245-42600290		2.1367	-0.1727	31.25
CHROMOSOME_LOCALIZATION	BLCA	TRMU|55687	+	A3	chr22:46742441-46746188:46742441-46746243		2.1283	0.4059	62.5
CHROMOSOME_LOCALIZATION	BLCA	OGDH|4967	+	MX	chr7:44685117-44687043:44687133-44706335:44685117-44687256:44687358-44706335		2.1176	0.3319	31.25
CHROMOSOME_LOCALIZATION	BLCA	CCDC84|338657	+	A5	chr11:118882021-118882649:118881993-118882649		2.1127	-0.3988	62.5
CHROMOSOME_LOCALIZATION	BLCA	FDPS|2224	+	A5	chr1:155278867-155279580:155278756-155279580		2.0985	0.2921	62.5
CHROMOSOME_LOCALIZATION	BLCA	EIF4H|7458	+	SE	chr7:73604248-73604577:73604636-73609071		2.092	0.4687	37.5
CHROMOSOME_LOCALIZATION	BLCA	LRRC8A|56262	+	SE	chr9:131644529-131648294:131648400-131669436		2.0742	0.2295	37.5
CHROMOSOME_LOCALIZATION	BLCA	NUDT1|4521	+	A5	chr7:2282683-2284198:2282610-2284198		2.0595	0.0447	50
CHROMOSOME_LOCALIZATION	BLCA	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		2.0556	-0.3937	43.75
CHROMOSOME_LOCALIZATION	BLCA	ABI2|10152	+	SE	chr2:204259569-204260379:204260503-204267299		2.0383	0.3717	25
CHROMOSOME_LOCALIZATION	BLCA	ZNF584|201514	+	A3	chr19:58920532-58921308:58920532-58921373		2.0349	0.0455	31.25
CHROMOSOME_LOCALIZATION	BLCA	CENPO|79172	+	SE	chr2:25016370-25016721:25016834-25022544		2.0313	0.2969	50
CHROMOSOME_LOCALIZATION	BLCA	CAST|831	+	A3	chr5:96098076-96100925:96098076-96100928		2.0231	0.4085	25
CHROMOSOME_LOCALIZATION	BLCA	CALD1|800	+	A3	chr7:134642863-134642960:134642863-134642963		2.0035	0.3534	18.75
CHROMOSOME_LOCALIZATION	BLCA	RDH11|51109	-	A5	chr14:68159310-68159651:68159310-68159690		1.9813	0.1345	6.25
CHROMOSOME_LOCALIZATION	BLCA	POP1|10940	+	A5	chr8:99129618-99135564:99129558-99135564		1.9663	0.2642	37.5
CHROMOSOME_LOCALIZATION	BLCA	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212	Observed	1.9554	0.0336	18.75
CHROMOSOME_LOCALIZATION	BLCA	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		1.9544	-0.3664	56.25
CHROMOSOME_LOCALIZATION	BLCA	MAX|4149	-	SE	chr14:65560533-65568264:65568290-65569022		1.9494	0.3321	6.25
CHROMOSOME_LOCALIZATION	BLCA	PXN|5829	-	A3	chr12:120653220-120653363:120653076-120653363		1.948	-0.4001	62.5
CHROMOSOME_LOCALIZATION	BLCA	NF1|4763	+	RI	chr17:29556043:29556483-29556853:29556992		1.9464	-0.4389	12.5
CHROMOSOME_LOCALIZATION	BLCA	LRP8|7804	-	SE	chr1:53737018-53741303:53741425-53746259		1.9311	0.0057	50
CHROMOSOME_LOCALIZATION	BLCA	KIAA1191|57179	-	SE	chr5:175782752-175786484:175786570-175786814		1.9283	-0.3357	56.25
CHROMOSOME_LOCALIZATION	BLCA	NUF2|83540	+	A5	chr1:163292002-163295822:163291856-163295822		1.9226	0.3016	50
CHROMOSOME_LOCALIZATION	BLCA	SYNGR2|9144	+	A3	chr17:76167135-76167591:76167135-76167820		1.9093	-0.404	37.5
CHROMOSOME_LOCALIZATION	BLCA	GATAD2A|54815	+	SE	chr19:19603521-19605103:19605192-19606563		1.9043	0.3365	18.75
CHROMOSOME_LOCALIZATION	BLCA	DMKN|93099	-	SE	chr19:35988440-35988549:35988583-35989618		1.8966	-0.3188	18.75
CHROMOSOME_LOCALIZATION	BLCA	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		1.8945	-0.2899	31.25
CHROMOSOME_LOCALIZATION	BLCA	PQBP1|10084	+	A5	chrX:48755376-48755775:48755365-48755775		1.8931	-0.1917	37.5
CHROMOSOME_LOCALIZATION	BLCA	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457		1.8646	-0.0633	50
CHROMOSOME_LOCALIZATION	BLCA	RARG|5916	-	SE	chr12:53609578-53621146:53621471-53624953		1.8616	0.3592	37.5
CHROMOSOME_LOCALIZATION	BLCA	TOX4|9878	+	A5	chr14:21955852-21956749:21955761-21956749		1.8607	0.4169	12.5
CHROMOSOME_LOCALIZATION	BLCA	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		1.8596	0.4147	37.5
CHROMOSOME_LOCALIZATION	BLCA	PFKL|5211	+	RI	chr21:45739234:45739298-45739967:45740030		1.8578	-0.4463	31.25
CHROMOSOME_LOCALIZATION	BLCA	NUSAP1|51203	+	A3	chr15:41641439-41643186:41641439-41643189		1.8481	-0.2819	37.5
CHROMOSOME_LOCALIZATION	BLCA	SGPL1|8879	+	A5	chr10:72633346-72635159:72633282-72635159		1.8404	0.2977	18.75
CHROMOSOME_LOCALIZATION	BLCA	LRP8|7804	-	SE	chr1:53720857-53722912:53723136-53723991		1.8385	-0.2955	18.75
CHROMOSOME_LOCALIZATION	BLCA	EFCAB4B|84766	-	A5	chr12:3753806-3757526:3753806-3757708		1.836	-0.4188	43.75
CHROMOSOME_LOCALIZATION	BLCA	TUBGCP6|85378	-	A5	chr22:50658444-50658621:50658444-50658680		1.8359	-0.1121	37.5
CHROMOSOME_LOCALIZATION	BLCA	FAM40B|57464	+	A5	chr7:129100328-129102807:129100213-129102807		1.8316	-0.3999	31.25
CHROMOSOME_LOCALIZATION	BLCA	EXO1|9156	+	SE	chr1:242012329-242012414:242012518-242013711		1.8311	0.2536	62.5
CHROMOSOME_LOCALIZATION	BLCA	KIAA0020|9933	-	A5	chr9:2837401-2838426:2837401-2838429		1.8212	0.3388	18.75
CHROMOSOME_LOCALIZATION	BLCA	HIBCH|26275	-	SE	chr2:191069958-191073606:191073639-191077682		1.8204	-0.2892	12.5
CHROMOSOME_LOCALIZATION	BLCA	YY1AP1|55249	-	A3	chr1:155638568-155640111:155638508-155640111		1.8181	0.368	12.5
CHROMOSOME_LOCALIZATION	BLCA	ADRBK2|157	+	SE	chr22:25961120-26000344:26000420-26040559		1.8142	-0.3295	50
CHROMOSOME_LOCALIZATION	BLCA	NKTR|4820	+	RI	chr3:42661508:42661535-42662921:42663008		1.7949	-0.1022	50
CHROMOSOME_LOCALIZATION	BLCA	ZFAND6|54469	+	MX	chr15:80352151-80390758:80390920-80412670:80352151-80407369:80407412-80412670		1.7927	-0.3233	12.5
CHROMOSOME_LOCALIZATION	BLCA	CNGB1|1258	-	A5	chr16:57993969-57994386:57993969-57994404		1.7861	-0.3383	18.75
CHROMOSOME_LOCALIZATION	BLCA	WIPI2|26100	+	SE	chr7:5230124-5232749:5232802-5239207		1.7792	0.3693	81.25
CHROMOSOME_LOCALIZATION	BLCA	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		1.7688	0.3704	50
CHROMOSOME_LOCALIZATION	BLCA	RAD51AP1|10635	+	SE	chr12:4662313-4665519:4665668-4668023		1.7637	0.2119	56.25
CHROMOSOME_LOCALIZATION	BLCA	DTL|51514	+	SE	chr1:212209284-212216335:212216460-212218002		1.7552	0.4052	68.75
CHROMOSOME_LOCALIZATION	BLCA	ERCC6|2074	-	SE	chr10:50691562-50696204:50696425-50701163		1.7517	-0.2548	12.5
CHROMOSOME_LOCALIZATION	BLCA	DCLK2|166614	+	A3	chr4:151125041-151141855:151125041-151141858		1.7368	-0.0309	31.25
CHROMOSOME_LOCALIZATION	BLCA	BCLAF1|9774	-	A3	chr6:136599914-136600901:136599908-136600901		1.7368	-0.1497	18.75
CHROMOSOME_LOCALIZATION	BLCA	DEDD|9191	-	SE	chr1:161094316-161100605:161100637-161102341		1.7367	0.0019	31.25
CHROMOSOME_LOCALIZATION	BLCA	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		1.7366	-0.1653	37.5
CHROMOSOME_LOCALIZATION	BLCA	INTS6|26512	-	RI	chr13:52026551:52026636-52027129:52027275		1.7366	0.0055	43.75
CHROMOSOME_LOCALIZATION	BLCA	MAPK8|5599	+	A3	chr10:49639313-49642922:49639313-49642927		1.7356	-0.0571	18.75
CHROMOSOME_LOCALIZATION	BLCA	TMEM127|55654	-	A3	chr2:96931250-96931607:96931227-96931607		1.7342	0.0446	37.5
CHROMOSOME_LOCALIZATION	BLCA	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		1.7341	-0.388	56.25
