# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	OV	C7orf43|55262	-	A5	chr7:99755561-99755712:99755561-99756212		2.7297	-0.2428	56.25
PROTEIN_SECRETION	OV	TPM2|7169	-	MX	chr9:35684547-35684729:35684804-35685266:35684547-35685061:35685136-35685266		2.5312	-0.3476	12.5
PROTEIN_SECRETION	OV	ZNF142|7701	-	SE	chr2:219515249-219516424:219516794-219520873		2.4029	-0.1634	56.25
PROTEIN_SECRETION	OV	C6orf136|221545	+	A5	chr6:30615623-30617335:30615080-30617335		2.3271	-0.4628	6.25
PROTEIN_SECRETION	OV	STX5|6811	-	SE	chr11:62595103-62598491:62598582-62599426		2.2703	0.2596	37.5
PROTEIN_SECRETION	OV	SPTBN4|57731	+	SE	chr19:41029546-41030451:41030536-41034948		2.2277	-0.2079	37.5
PROTEIN_SECRETION	OV	BAIAP2|10458	+	SE	chr17:79082309-79084714:79084755-79089570		2.2274	0.2214	43.75
PROTEIN_SECRETION	OV	TROAP|10024	+	RI	chr12:49723928:49724726-49724997:49725190		2.2185	-0.2694	43.75
PROTEIN_SECRETION	OV	NFATC1|4772	+	A5	chr18:77246937-77287528:77246630-77287528		2.1367	0.0595	18.75
PROTEIN_SECRETION	OV	FGFR2|2263	-	SE	chr10:123310973-123324016:123324093-123353223		2.0849	0.2579	25
PROTEIN_SECRETION	OV	NOP56|10528	+	A5	chr20:2636860-2637047:2636680-2637047		2.0536	-0.3191	18.75
PROTEIN_SECRETION	OV	SSPO|23145	+	SE	chr7:149479387-149479935:149480110-149480195		2.0528	-0.2207	31.25
PROTEIN_SECRETION	OV	C19orf60|55049	+	RI	chr19:18699805:18699887-18700223:18700493		2.0337	-0.345	56.25
PROTEIN_SECRETION	OV	CPNE1|8904	-	A3	chr20:34246936-34252682:34246904-34252682		2.0062	-0.0631	50
PROTEIN_SECRETION	OV	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		1.9869	-0.3046	87.5
PROTEIN_SECRETION	OV	PDLIM7|9260	-	A3	chr5:176917594-176917871:176916833-176917871		1.9727	-0.3083	12.5
PROTEIN_SECRETION	OV	RUSC1|23623	+	A5	chr1:155294378-155294636:155294335-155294636		1.942	0.3267	6.25
PROTEIN_SECRETION	OV	OSBPL3|26031	-	SE	chr7:24901388-24902819:24902911-24903115		1.9351	-0.1819	50
PROTEIN_SECRETION	OV	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		1.9313	-0.3953	62.5
PROTEIN_SECRETION	OV	APH1A|51107	-	SE	chr1:150240189-150240357:150240391-150241098		1.9283	-0.2856	50
PROTEIN_SECRETION	OV	C14orf101|54916	+	SE	chr14:57085481-57088249:57088420-57092100		1.9215	0.2496	75
