# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	CESC	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		2.9101	-0.5944	37.5
RIBOSOME	CESC	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.4443	-0.5604	56.25
RIBOSOME	CESC	CFH|3075	+	SE	chr1:196645195-196646606:196646797-196648753		2.391	-0.5447	12.5
RIBOSOME	CESC	EPB41L1|2036	+	SE	chr20:34680735-34701615:34701721-34761686		2.3324	0.5609	50
RIBOSOME	CESC	GAA|2548	+	SE	chr17:78075424-78075610:78075689-78078354		2.3204	-0.499	56.25
RIBOSOME	CESC	CD151|977	+	SE	chr11:833022-834530:834591-836063		2.2988	-0.3596	31.25
RIBOSOME	CESC	SUPT3H|8464	-	SE	chr6:44971529-44982538:44982628-44988283		2.2825	0.4065	43.75
RIBOSOME	CESC	RBM26|64062	-	SE	chr13:79918929-79927288:79927359-79928574		2.2814	0.602	43.75
RIBOSOME	CESC	STT3A|3703	+	SE	chr11:125478184-125479329:125479484-125481323		2.2521	-0.6533	62.5
RIBOSOME	CESC	CADPS2|93664	-	SE	chr7:122019496-122026349:122026363-122027080		2.2221	-0.5713	56.25
RIBOSOME	CESC	NBEA|26960	+	SE	chr13:36202385-36220006:36220068-36220396		2.1889	0.4515	50
RIBOSOME	CESC	MECOM|2122	-	SE	chr3:168861620-169098975:169099312-169381124		2.1845	-0.5343	31.25
RIBOSOME	CESC	CREBBP|1387	-	SE	chr16:3832927-3841982:3842095-3843387		2.1696	-0.5549	31.25
RIBOSOME	CESC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		2.1692	-0.5387	31.25
RIBOSOME	CESC	ZNF410|57862	+	A3	chr14:74370813-74371605:74370813-74371634		2.1678	-0.6562	68.75
RIBOSOME	CESC	TMUB2|79089	+	SE	chr17:42265111-42265275:42265377-42266303		2.1417	0.1065	12.5
RIBOSOME	CESC	FNTA|2339	+	SE	chr8:42911689-42914235:42914320-42919244		2.1219	0.0404	18.75
RIBOSOME	CESC	PRC1|9055	-	SE	chr15:91525211-91527248:91527370-91527923		2.1108	-0.5697	31.25
RIBOSOME	CESC	WDR44|54521	+	SE	chrX:117578457-117581023:117581077-117582856		2.0744	0.6024	50
RIBOSOME	CESC	RGL2|5863	-	SE	chr6:33263536-33263805:33264102-33264191		2.0695	-0.6518	87.5
RIBOSOME	CESC	ZBTB24|9841	-	SE	chr6:109797461-109797966:109798133-109802278		2.0671	-0.5235	62.5
RIBOSOME	CESC	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		2.0276	-0.6571	75
RIBOSOME	CESC	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		2.0203	-0.5267	37.5
RIBOSOME	CESC	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008		1.9904	-0.4701	50
RIBOSOME	CESC	CIITA|4261	+	SE	chr16:10995415-10995895:10996041-10996515		1.9809	-0.522	62.5
RIBOSOME	CESC	C4orf29|80167	+	SE	chr4:128905578-128910876:128910976-128930075		1.9772	-0.2645	37.5
RIBOSOME	CESC	CCDC88B|283234	+	A5	chr11:64121642-64122666:64121500-64122666		1.9479	-0.191	56.25
RIBOSOME	CESC	ERBB2|2064	+	SE	chr17:37851434-37855790:37855840-37863243		1.9444	-0.2501	37.5
RIBOSOME	CESC	SMUG1|23583	-	SE	chr12:54577743-54581603:54581689-54582735		1.9389	-0.398	37.5
