# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		6.2444	-0.534	81.25
FOCAL_ADHESION_PATHWAY	BLCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		6.2012	0.4887	100
FOCAL_ADHESION_PATHWAY	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		6.1411	0.452	87.5
FOCAL_ADHESION_PATHWAY	BLCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		6.0466	-0.5715	100
FOCAL_ADHESION_PATHWAY	BLCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	5.94	-0.6492	100
FOCAL_ADHESION_PATHWAY	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		5.3521	-0.4422	93.75
FOCAL_ADHESION_PATHWAY	BLCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.0898	0.5742	93.75
FOCAL_ADHESION_PATHWAY	BLCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.9003	-0.5457	75
FOCAL_ADHESION_PATHWAY	BLCA	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124413		4.6368	-0.5566	50
FOCAL_ADHESION_PATHWAY	BLCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		4.6214	-0.6101	75
FOCAL_ADHESION_PATHWAY	BLCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		4.5879	-0.5918	56.25
FOCAL_ADHESION_PATHWAY	BLCA	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		4.482	0.5527	62.5
FOCAL_ADHESION_PATHWAY	BLCA	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		4.3901	0.5605	50
FOCAL_ADHESION_PATHWAY	BLCA	POFUT2|23275	-	RI	chr21:46683844:46685550-46687505:46687628		4.341	-0.5063	37.5
FOCAL_ADHESION_PATHWAY	BLCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.2192	0.5395	81.25
FOCAL_ADHESION_PATHWAY	BLCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.1323	0.5532	81.25
