# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_LOCALIZATION	BLCA	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		4.2543	-0.5083	62.5
PROTEIN_LOCALIZATION	BLCA	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		3.9921	0.5518	93.75
PROTEIN_LOCALIZATION	BLCA	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.7483	0.5369	81.25
PROTEIN_LOCALIZATION	BLCA	LOC338799|338799	-	SE	chr12:122237862-122239478:122239514-122239613		3.726	0.5055	75
PROTEIN_LOCALIZATION	BLCA	MIER1|57708	+	RI	chr1:67450255:67450275-67452086:67454302		3.4949	-0.4402	56.25
PROTEIN_LOCALIZATION	BLCA	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		3.4501	-0.5364	87.5
PROTEIN_LOCALIZATION	BLCA	HCK|3055	+	A3	chr20:30661164-30661519:30661164-30661522		3.3878	-0.1394	37.5
PROTEIN_LOCALIZATION	BLCA	ZNF839|55778	+	A5	chr14:102805566-102807660:102805560-102807660		3.3402	0.3701	56.25
PROTEIN_LOCALIZATION	BLCA	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		3.3358	-0.5401	87.5
PROTEIN_LOCALIZATION	BLCA	MAN2A2|4122	+	SE	chr15:91452734-91453320:91453522-91453731		3.3254	-0.5266	50
