# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	CESC	TMEM30A|55754	-	SE	chr6:75975054-75977357:75977464-75994118		3.1505	0.4884	31.25
PROTEIN_SECRETION	CESC	PHF6|84295	+	SE	chrX:133511785-133512035:133512136-133527531		2.9283	0.4946	31.25
PROTEIN_SECRETION	CESC	RBM9|23543	-	A3	chr22:36177793-36205827:36177790-36205827		2.8907	-0.5166	25
PROTEIN_SECRETION	CESC	LRRFIP2|9209	-	SE	chr3:37163182-37169121:37169171-37170554		2.775	-0.0665	50
PROTEIN_SECRETION	CESC	TOM1L2|146691	-	SE	chr17:17788082-17796975:17797124-17801910		2.6676	0.3359	37.5
PROTEIN_SECRETION	CESC	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		2.6519	0.5442	93.75
PROTEIN_SECRETION	CESC	SLC17A5|26503	-	SE	chr6:74325170-74331527:74331685-74345105		2.5929	0.5149	56.25
PROTEIN_SECRETION	CESC	KIAA0182|23199	+	SE	chr16:85697220-85698621:85698734-85699582		2.5884	0.4274	12.5
PROTEIN_SECRETION	CESC	SIK3|23387	-	A3	chr11:116729415-116729981:116729235-116729981		2.5862	0.4864	50
PROTEIN_SECRETION	CESC	PIP4K2A|5305	-	SE	chr10:22856818-22857942:22857983-22862240		2.566	-0.4674	50
PROTEIN_SECRETION	CESC	SETX|23064	-	SE	chr9:135145089-135147097:135147195-135150643		2.5427	0.4567	50
PROTEIN_SECRETION	CESC	LRRFIP2|9209	-	SE	chr3:37154471-37156545:37156586-37162983		2.4711	-0.0665	31.25
PROTEIN_SECRETION	CESC	THAP6|152815	+	SE	chr4:76439730-76440643:76440742-76441982		2.4678	0.4967	50
PROTEIN_SECRETION	CESC	PCNXL2|80003	-	SE	chr1:233152900-233160892:233161145-233190014		2.4501	0.498	56.25
PROTEIN_SECRETION	CESC	EPT1|85465	+	A3	chr2:26606215-26607827:26606215-26607919		2.4216	0.4822	37.5
PROTEIN_SECRETION	CESC	USP45|85015	-	SE	chr6:99914639-99915976:99916046-99916413		2.3923	-0.3859	50
PROTEIN_SECRETION	CESC	VPS26A|9559	+	SE	chr10:70892803-70915568:70915643-70916763		2.3761	0.4039	37.5
PROTEIN_SECRETION	CESC	ANTXR2|118429	-	SE	chr4:80940130-80945791:80945909-80952777		2.3671	-0.528	68.75
PROTEIN_SECRETION	CESC	MITF|4286	+	A3	chr3:69998319-70000963:69998319-70000981		2.349	0.3228	37.5
PROTEIN_SECRETION	CESC	ZNF141|7700	+	RI	chr4:331596:331694-331695:331775		2.3089	-0.5888	81.25
PROTEIN_SECRETION	CESC	ABHD3|171586	-	A5	chr18:19239304-19243639:19239304-19244079		2.2925	-0.4673	75
PROTEIN_SECRETION	CESC	IBTK|25998	-	A3	chr6:82904359-82906015:82904312-82906015		2.2644	0.4937	68.75
PROTEIN_SECRETION	CESC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		2.2549	0.4213	62.5
PROTEIN_SECRETION	CESC	STRBP|55342	-	SE	chr9:125898794-125901808:125901966-125909134		2.2453	0.435	50
PROTEIN_SECRETION	CESC	AASDH|132949	-	SE	chr4:57237809-57244314:57244630-57248643		2.2172	0.5049	62.5
PROTEIN_SECRETION	CESC	POLH|5429	+	SE	chr6:43544177-43550053:43550193-43550744		2.212	-0.4461	75
PROTEIN_SECRETION	CESC	TTPAL|79183	+	SE	chr20:43109084-43112977:43113170-43115236		2.2082	0.4943	81.25
