# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		4.3031	0.5302	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		4.2446	0.4982	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		4.2023	0.565	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.993	-0.5828	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.5676	0.5143	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.3629	-0.5616	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.1815	-0.633	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		3.1597	-0.4712	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		2.9389	-0.5522	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		2.819	-0.4363	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.7982	0.5909	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PTPRD|5789	-	SE	chr9:8525035-8527345:8527353-8528591		2.7786	-0.3088	18.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	FNIP1|96459	-	SE	chr5:131044965-131046271:131046354-131052258		2.6238	-0.2247	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	C1QTNF3|114899	-	A5	chr5:34035863-34042928:34035863-34043147		2.5175	0.2823	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PRR5L|79899	+	SE	chr11:36467990-36472759:36472885-36483892		2.4848	0.3527	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.4746	0.5008	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.4514	-0.4546	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	WISP1|8840	+	SE	chr8:134203456-134225107:134225386-134237633		2.3542	0.2717	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	MTMR10|54893	-	SE	chr15:31253276-31260123:31260213-31266517		2.2752	0.3763	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441		2.2698	0.4762	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	AGTR1|185	+	SE	chr3:148415914-148425731:148425814-148458776		2.257	0.1465	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.1951	0.3659	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	ANXA6|309	-	SE	chr5:150489407-150490188:150490205-150496688		2.1883	0.4259	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		2.1833	0.3928	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		2.1586	0.3691	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		2.1054	0.4492	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	P4HA3|283208	-	SE	chr11:73997436-73998161:73998336-74000124		2.1043	-0.2049	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.1023	-0.3949	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	EDIL3|10085	-	SE	chr5:83476339-83525673:83525702-83549902		2.0847	0.2896	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PRR5L|79899	+	SE	chr11:36459026-36467850:36467990-36472759		2.075	0.2621	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332		2.0714	0.3169	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	BAI2|576	-	RI	chr1:32200784:32200882-32201181:32201266		2.069	-0.2304	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		2.0489	0.2627	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		2.0123	-0.4447	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PCGF3|10336	+	SE	chr4:724899-726189:726287-727461		2.0076	-0.0663	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	LOC375190|375190	+	RI	chr2:24387068:24387176-24387179:24387204		1.9726	0.2952	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	RARG|5916	-	SE	chr12:53609218-53609430:53609578-53624953		1.9271	0.291	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PLXND1|23129	-	A5	chr3:129277418-129278460:129277418-129278463		1.9118	-0.3137	12.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	SLC13A3|64849	-	SE	chr20:45195029-45204212:45204324-45212211		1.9075	0.2498	12.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		1.8971	0.4449	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		1.8867	0.4247	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	WISP1|8840	+	SE	chr8:134225386-134237633:134237826-134239654		1.886	0.2194	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	KLHL2|11275	+	SE	chr4:166220808-166226760:166226877-166231705		1.8853	0.3177	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	TPM2|7169	-	MX	chr9:35684547-35684729:35684804-35685266:35684547-35685061:35685136-35685266		1.8732	-0.3026	12.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	PTGIS|5740	-	SE	chr20:48160985-48164378:48164556-48166603		1.8715	-0.0772	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	OV	ARNT|405	-	SE	chr1:150812130-150814900:150814944-150818739		1.871	0.3452	87.5
