# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PRIMARY_IMMUNODEFICIENCY	SKCM	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		9.3286	-0.8192	100
PRIMARY_IMMUNODEFICIENCY	SKCM	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		6.806	0.6361	100
PRIMARY_IMMUNODEFICIENCY	SKCM	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		6.6341	0.7057	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		6.5841	-0.5813	62.5
PRIMARY_IMMUNODEFICIENCY	SKCM	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		6.3342	-0.715	100
PRIMARY_IMMUNODEFICIENCY	SKCM	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		6.2762	-0.6879	100
PRIMARY_IMMUNODEFICIENCY	SKCM	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807		6.2636	0.3658	100
PRIMARY_IMMUNODEFICIENCY	SKCM	RAB37|326624	+	SE	chr17:72733504-72736907:72737017-72738393		6.1804	0.5454	62.5
PRIMARY_IMMUNODEFICIENCY	SKCM	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		6.1748	-0.4638	75
PRIMARY_IMMUNODEFICIENCY	SKCM	FASLG|356	+	SE	chr1:172628689-172629235:172629280-172633474		6.1146	0.5442	68.75
PRIMARY_IMMUNODEFICIENCY	SKCM	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		6.0927	0.6545	43.75
PRIMARY_IMMUNODEFICIENCY	SKCM	CD3D|915	-	SE	chr11:118210209-118210490:118210621-118211090		6.0766	-0.3261	31.25
PRIMARY_IMMUNODEFICIENCY	SKCM	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		5.9798	0.7057	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		5.8551	-0.5674	81.25
PRIMARY_IMMUNODEFICIENCY	SKCM	SP140|11262	+	A5	chr2:231109795-231110578:231109786-231110578		5.837	0.5422	100
PRIMARY_IMMUNODEFICIENCY	SKCM	TRAF3IP3|80342	+	A5	chr1:209933729-209935860:209933669-209935860		5.7747	0.2914	68.75
PRIMARY_IMMUNODEFICIENCY	SKCM	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		5.6249	0.5277	75
PRIMARY_IMMUNODEFICIENCY	SKCM	SAMD3|154075	-	SE	chr6:130537761-130542782:130542920-130543839		5.607	-0.3614	87.5
PRIMARY_IMMUNODEFICIENCY	SKCM	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		5.4584	0.7378	100
PRIMARY_IMMUNODEFICIENCY	SKCM	DIAPH1|1729	-	SE	chr5:140966764-140967791:140967817-140998365		5.389	-0.4867	56.25
PRIMARY_IMMUNODEFICIENCY	SKCM	AGAP2|116986	-	SE	chr12:58121868-58122101:58122160-58123422		5.3814	-0.4344	37.5
PRIMARY_IMMUNODEFICIENCY	SKCM	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		5.2935	-0.5075	100
PRIMARY_IMMUNODEFICIENCY	SKCM	SP140|11262	+	SE	chr2:231115776-231118031:231118132-231120167		5.185	0.3912	87.5
PRIMARY_IMMUNODEFICIENCY	SKCM	SLA2|84174	-	A3	chr20:35242840-35243628:35242790-35243628		5.1643	0.204	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	SP140|11262	+	SE	chr2:231110655-231112631:231112780-231113600		5.1611	0.5422	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		5.1478	-0.491	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		5.0844	-0.562	100
PRIMARY_IMMUNODEFICIENCY	SKCM	SEPT6|23157	-	SE	chrX:118752749-118759298:118759342-118763281		4.9371	0.5878	43.75
PRIMARY_IMMUNODEFICIENCY	SKCM	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		4.9165	0.6243	81.25
PRIMARY_IMMUNODEFICIENCY	SKCM	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.911	-0.407	100
PRIMARY_IMMUNODEFICIENCY	SKCM	PYHIN1|149628	+	A3	chr1:158906965-158908187:158906965-158908214		4.8904	0.2473	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	CXCR3|2833	-	A3	chrX:70837553-70838288:70837309-70838288		4.8227	0.2608	62.5
PRIMARY_IMMUNODEFICIENCY	SKCM	UBASH3A|53347	+	SE	chr21:43833331-43833519:43833632-43836551		4.813	0.4863	100
PRIMARY_IMMUNODEFICIENCY	SKCM	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		4.809	0.2888	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	CD37|951	+	A5	chr19:49838866-49838971:49838832-49838971		4.7424	0.3448	31.25
PRIMARY_IMMUNODEFICIENCY	SKCM	SLAMF6|114836	-	SE	chr1:160461178-160465851:160466036-160492934		4.651	0.248	68.75
PRIMARY_IMMUNODEFICIENCY	SKCM	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.5819	0.6269	93.75
PRIMARY_IMMUNODEFICIENCY	SKCM	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		4.5138	0.2536	87.5
PRIMARY_IMMUNODEFICIENCY	SKCM	LST1|7940	+	A3	chr6:31555743-31556274:31555743-31556295		4.5076	0.3425	56.25
PRIMARY_IMMUNODEFICIENCY	SKCM	CD8B|926	-	A3	chr2:87069500-87072045:87069442-87072045		4.4436	0.3304	50
