# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	HNSC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	5.0007	0.5165	93.75
APOPTOSIS	HNSC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	4.2628	0.4354	93.75
APOPTOSIS	HNSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	2.5178	0.2185	62.5
APOPTOSIS	HNSC	MED12|9968	+	A3	chrX:70357233-70357408:70357233-70357411	Observed	2.3157	-0.1387	31.25
APOPTOSIS	HNSC	IGF1R|3480	+	A3	chr15:99467913-99472787:99467913-99472790	Observed	2.2284	-0.0033	50
APOPTOSIS	HNSC	LCK|3932	+	RI	chr1:32740338:32740419-32740594:32740684	Observed	2.1448	-0.0565	37.5
APOPTOSIS	HNSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014	Observed	2.1218	0.2308	75
APOPTOSIS	HNSC	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998062-42998776	Observed	2.0035	0.0603	31.25
APOPTOSIS	HNSC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	1.7742	0.2114	56.25
APOPTOSIS	HNSC	XAF1|54739	+	A3	chr17:6661543-6662575:6661543-6662981	Observed	1.6667	-0.273	75
APOPTOSIS	HNSC	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	1.5356	-0.0326	62.5
APOPTOSIS	HNSC	GSN|2934	+	MX	chr9:124043840-124044717:124044828-124064241:124043840-124062334:124062404-124064241	Observed	1.4867	0.2114	68.75
APOPTOSIS	HNSC	XAF1|54739	+	SE	chr17:6663920-6665474:6665559-6673962	Observed	1.4156	-0.0945	56.25
APOPTOSIS	HNSC	DNM1L|10059	+	SE	chr12:32890095-32891198:32891230-32892998	Observed	1.3888	0.1294	62.5
APOPTOSIS	HNSC	INSR|3643	-	SE	chr19:7143101-7150508:7150543-7152737	Observed	1.2768	0.0961	56.25
APOPTOSIS	HNSC	BCKDHB|594	+	RI	chr6:81053381:81053529-81055692:81055987	Observed	1.2161	-0.2224	62.5
APOPTOSIS	HNSC	CASP8AP2|9994	+	A5	chr6:90539786-90556281:90539653-90556281	Observed	1.2003	0.0262	62.5
APOPTOSIS	HNSC	CD40|958	+	MX	chr20:44751395-44751765:44751858-44756777:44751395-44755279:44755340-44756777	Observed	1.0005	-0.1073	68.75
APOPTOSIS	HNSC	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	1.0005	0.0563	68.75
APOPTOSIS	HNSC	GBA|2629	-	SE	chr1:155210971-155213886:155214024-155214297	Observed	1.0005	-0.0032	56.25
APOPTOSIS	HNSC	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399	Observed	1.0005	0.0059	62.5
APOPTOSIS	HNSC	IRF5|3663	+	A3	chr7:128586616-128587077:128586616-128587284	Observed	1.0005	-0.0241	56.25
APOPTOSIS	HNSC	MAPT|4137	+	SE	chr17:44049311-44051751:44051837-44055741	Observed	1.0005	-0.0268	56.25
APOPTOSIS	HNSC	MST1R|4486	-	SE	chr3:49933313-49933394:49933540-49933628	Observed	1.0005	0.0852	56.25
APOPTOSIS	HNSC	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819	Observed	1.0005	0.0014	62.5
APOPTOSIS	HNSC	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.0005	0.0041	56.25
APOPTOSIS	HNSC	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5331391:5326149-5329556:5329619-5331391	Observed	1.0005	-0.1073	56.25
APOPTOSIS	HNSC	BIN1|274	-	SE	chr2:127808488-127808730:127808819-127816587	Observed	0.8244	-0.1298	62.5
APOPTOSIS	HNSC	PTPN13|5783	+	SE	chr4:87672277-87674162:87674218-87679413	Observed	0.815	0.1358	56.25
APOPTOSIS	HNSC	SPHK2|56848	+	SE	chr19:49131534-49131938:49132983-49133691	Observed	0.6408	0.0085	56.25
APOPTOSIS	HNSC	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	0.5778	0.0672	81.25
APOPTOSIS	HNSC	TERF1|7013	+	SE	chr8:73939287-73942571:73942630-73944277	Observed	0.4441	-0.105	68.75
APOPTOSIS	HNSC	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067	Observed	0.3819	0.1291	56.25
APOPTOSIS	HNSC	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5335862:5326149-5329556:5329619-5335862	Observed	0.3718	-0.0819	62.5
APOPTOSIS	HNSC	DAP3|7818	+	MX	chr1:155679615-155686797:155686919-155695173:155679615-155691308:155691409-155695173	Observed	0.3508	-0.0678	62.5
APOPTOSIS	HNSC	XIAP|331	+	SE	chrX:122994143-123019481:123020389-123022469	Observed	0.2723	0.0344	56.25
APOPTOSIS	HNSC	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	0.0396	-0.0898	56.25
APOPTOSIS	HNSC	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	0.0307	-0.0311	75
