# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TGF_BETA_PATHWAY	STAD	NUP205|23165	+	A3	chr7:135315218-135320312:135315218-135320329		4.3793	-0.5249	81.25
TGF_BETA_PATHWAY	STAD	NEXN|91624	+	SE	chr1:78383958-78390873:78390914-78392099		3.0934	0.4217	31.25
TGF_BETA_PATHWAY	STAD	MARVELD2|153562	+	RI	chr5:68728354:68728458-68728502:68728502		3.0899	0.4696	37.5
TGF_BETA_PATHWAY	STAD	SSFA2|6744	+	A5	chr2:182785389-182786675:182785377-182786675		2.9582	0.4618	62.5
TGF_BETA_PATHWAY	STAD	DOPEY1|23033	+	A3	chr6:83828706-83829467:83828706-83829494		2.8543	0.4504	62.5
TGF_BETA_PATHWAY	STAD	AP1B1|162	-	SE	chr22:29724884-29725701:29725709-29726367		2.7581	0.4229	43.75
TGF_BETA_PATHWAY	STAD	DST|667	-	SE	chr6:56325052-56327844:56327954-56328363		2.577	0.3991	12.5
TGF_BETA_PATHWAY	STAD	BAT2L2|23215	+	A3	chr1:171481339-171482134:171481339-171482140		2.5419	-0.4431	75
TGF_BETA_PATHWAY	STAD	ATG2A|23130	-	A5	chr11:64669858-64669982:64669858-64669988		2.5077	-0.4745	81.25
TGF_BETA_PATHWAY	STAD	C1orf9|51430	+	A5	chr1:172559066-172560124:172558064-172560124		2.4986	0.4891	87.5
TGF_BETA_PATHWAY	STAD	KIF16B|55614	-	SE	chr20:16316660-16336975:16337097-16351231		2.4854	0.4687	62.5
TGF_BETA_PATHWAY	STAD	NUP153|9972	-	SE	chr6:17638001-17640170:17640295-17646298		2.3918	0.3282	62.5
TGF_BETA_PATHWAY	STAD	PHTF2|57157	+	SE	chr7:77572103-77578995:77579150-77580934		2.3865	0.3963	68.75
TGF_BETA_PATHWAY	STAD	MED24|9862	-	SE	chr17:38189709-38191169:38191225-38191370		2.3656	-0.3994	68.75
TGF_BETA_PATHWAY	STAD	IQCE|23288	+	SE	chr7:2598851-2608588:2608633-2611160		2.3456	-0.0353	37.5
TGF_BETA_PATHWAY	STAD	PITPNB|23760	-	SE	chr22:28249651-28250842:28250927-28254375		2.3189	0.4692	81.25
TGF_BETA_PATHWAY	STAD	DTX3L|151636	+	SE	chr3:122284917-122287336:122288871-122289302		2.2038	0.4431	75
TGF_BETA_PATHWAY	STAD	SLC12A6|9990	-	A5	chr15:34529016-34529591:34529016-34529620		2.2029	-0.4741	62.5
