# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	HNSC	APAF1|317	+	SE	chr12:99093347-99097149:99097277-99100263		3.7633	-0.5559	62.5
RRNA_PROCESSING	HNSC	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		3.4563	0.6262	56.25
RRNA_PROCESSING	HNSC	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		3.3507	-0.5992	56.25
RRNA_PROCESSING	HNSC	MPP6|51678	+	SE	chr7:24705708-24706484:24706601-24708118		3.0921	0.5138	50
RRNA_PROCESSING	HNSC	MPP5|64398	+	A3	chr14:67736500-67745735:67736500-67745967		2.9196	-0.5575	68.75
RRNA_PROCESSING	HNSC	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.838	-0.4919	62.5
RRNA_PROCESSING	HNSC	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		2.6382	0.5586	81.25
RRNA_PROCESSING	HNSC	POMT1|10585	+	SE	chr9:134394873-134395467:134395580-134396733		2.5118	-0.4057	18.75
RRNA_PROCESSING	HNSC	EWSR1|2130	+	A3	chr22:29678546-29682912:29678546-29682987		2.4906	-0.6053	68.75
RRNA_PROCESSING	HNSC	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.461	0.5183	87.5
RRNA_PROCESSING	HNSC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.4593	-0.621	81.25
RRNA_PROCESSING	HNSC	SLC25A45|283130	-	SE	chr11:65144547-65146847:65147032-65147338		2.4432	-0.3663	68.75
RRNA_PROCESSING	HNSC	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		2.4305	0.5516	68.75
RRNA_PROCESSING	HNSC	PHRF1|57661	+	A3	chr11:610347-610501:610347-610667		2.382	-0.5775	31.25
RRNA_PROCESSING	HNSC	SCN5A|6331	-	SE	chr3:38618272-38620825:38620986-38622422		2.3626	-0.3453	18.75
RRNA_PROCESSING	HNSC	KIAA1370|56204	-	A5	chr15:52970319-52970627:52970319-52970769		2.3476	-0.1987	37.5
RRNA_PROCESSING	HNSC	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.3448	-0.3369	75
RRNA_PROCESSING	HNSC	BIN1|274	-	SE	chr2:127808819-127815049:127815177-127816587		2.3389	0.2128	18.75
RRNA_PROCESSING	HNSC	RFFL|117584	-	SE	chr17:33339168-33341759:33341782-33343389		2.3354	-0.4152	62.5
RRNA_PROCESSING	HNSC	VAMP1|6843	-	RI	chr12:6571406:6572008-6574056:6574107		2.2664	-0.3302	62.5
RRNA_PROCESSING	HNSC	NGRN|51335	+	RI	chr15:90808895:90809108-90809520:90809630		2.222	-0.4543	37.5
RRNA_PROCESSING	HNSC	JAG2|3714	-	A3	chr14:105613125-105613663:105613061-105613663		2.1893	0.5558	68.75
RRNA_PROCESSING	HNSC	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008		2.1888	-0.4448	50
RRNA_PROCESSING	HNSC	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		2.1767	-0.5154	68.75
RRNA_PROCESSING	HNSC	PRDM2|7799	+	SE	chr1:14099683-14104913:14109326-14113010		2.1649	-0.5951	87.5
RRNA_PROCESSING	HNSC	SCMH1|22955	-	SE	chr1:41608784-41617286:41617356-41625397		2.1575	-0.4395	50
RRNA_PROCESSING	HNSC	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		2.152	0.599	81.25
RRNA_PROCESSING	HNSC	PPRC1|23082	+	SE	chr10:103902855-103904007:103904064-103908129		2.1511	-0.5162	81.25
RRNA_PROCESSING	HNSC	NUP205|23165	+	A3	chr7:135315218-135320312:135315218-135320329		2.1497	0.6049	68.75
RRNA_PROCESSING	HNSC	NOL8|55035	-	A5	chr9:95086491-95087462:95086491-95087600		2.1474	-0.5903	50
RRNA_PROCESSING	HNSC	NAP1L1|4673	-	SE	chr12:76454059-76461151:76461253-76467983		2.1392	0.1542	50
RRNA_PROCESSING	HNSC	ZNF184|7738	-	A5	chr6:27440212-27440508:27440212-27440752		2.1375	-0.403	62.5
RRNA_PROCESSING	HNSC	MAP7D1|55700	+	A3	chr1:36643802-36644020:36643802-36644047		2.1273	-0.5692	50
RRNA_PROCESSING	HNSC	C11orf80|79703	+	SE	chr11:66526567-66555631:66555744-66563752		2.1232	0.1592	18.75
RRNA_PROCESSING	HNSC	MIB2|142678	+	SE	chr1:1561033-1562030:1562134-1562217		2.1161	-0.3637	37.5
RRNA_PROCESSING	HNSC	MED16|10025	-	SE	chr19:871253-871926:872118-873449		2.0941	-0.394	18.75
RRNA_PROCESSING	HNSC	ZNF28|7576	-	SE	chr19:53304955-53311260:53311386-53321197		2.0826	-0.3191	31.25
RRNA_PROCESSING	HNSC	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.0678	-0.4186	56.25
RRNA_PROCESSING	HNSC	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		2.0633	-0.577	75
RRNA_PROCESSING	HNSC	ABLIM2|84448	-	SE	chr4:8031503-8034375:8034407-8037876		2.0629	0.4706	50
RRNA_PROCESSING	HNSC	XYLT2|64132	+	SE	chr17:48434134-48434418:48434613-48435568		2.0614	-0.4635	37.5
RRNA_PROCESSING	HNSC	GPR56|9289	+	A3	chr16:57684263-57685112:57684263-57685155		2.0562	-0.5173	50
RRNA_PROCESSING	HNSC	LGALS8|3964	+	SE	chr1:236706087-236706215:236706340-236706860		2.0529	0.3765	62.5
RRNA_PROCESSING	HNSC	AEBP1|165	+	A3	chr7:44151649-44151741:44151649-44151805		2.0403	-0.5835	68.75
RRNA_PROCESSING	HNSC	PLEKHG2|64857	+	A3	chr19:39904835-39905632:39904835-39905809		2.0387	0.0791	43.75
RRNA_PROCESSING	HNSC	DIAPH1|1729	-	SE	chr5:140896575-140898511:140898563-140903710		2.0316	0.567	56.25
RRNA_PROCESSING	HNSC	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		2.0264	0.5875	81.25
RRNA_PROCESSING	HNSC	CD300LF|146722	-	A3	chr17:72699282-72700617:72699237-72700617		2.0075	-0.1689	56.25
RRNA_PROCESSING	HNSC	ATP2A2|488	+	RI	chr12:110784006:110784126-110788097:110788895		2.0068	0.4576	50
RRNA_PROCESSING	HNSC	C22orf36|388886	-	SE	chr22:24985917-24988184:24988390-24988830		2.0067	-0.0876	56.25
RRNA_PROCESSING	HNSC	CSNK1G1|53944	-	A3	chr15:64464184-64472547:64458279-64472547		2.0012	-0.5389	62.5
RRNA_PROCESSING	HNSC	TRIB2|28951	+	A5	chr2:12858703-12863386:12857136-12863386		1.9996	-0.5406	50
RRNA_PROCESSING	HNSC	SMPD4|55627	-	A3	chr2:130914386-130914824:130914248-130914824		1.9981	0.5692	50
RRNA_PROCESSING	HNSC	SBF1|6305	-	SE	chr22:50895102-50895463:50895540-50897684		1.9976	-0.4622	50
RRNA_PROCESSING	HNSC	XRRA1|143570	-	SE	chr11:74632392-74638436:74638533-74641345		1.9975	0.0869	31.25
RRNA_PROCESSING	HNSC	RRM1|6240	+	A5	chr11:4141200-4142834:4141158-4142834		1.9951	0.5094	43.75
RRNA_PROCESSING	HNSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		1.9733	-0.5406	43.75
RRNA_PROCESSING	HNSC	C1orf175|374977	+	A5	chr1:55107641-55117622:55107635-55117622		1.9641	0.1828	18.75
RRNA_PROCESSING	HNSC	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		1.9598	-0.3846	50
RRNA_PROCESSING	HNSC	GSS|2937	-	SE	chr20:33524826-33530734:33530809-33533756		1.9573	-0.2877	25
RRNA_PROCESSING	HNSC	NCAPG2|54892	-	SE	chr7:158439255-158443524:158443664-158444985		1.9563	-0.5353	50
RRNA_PROCESSING	HNSC	SEPT2|4735	+	A3	chr2:242255397-242255837:242255397-242255845		1.9563	-0.1875	56.25
RRNA_PROCESSING	HNSC	PSME4|23198	-	SE	chr2:54096675-54101476:54101631-54102764		1.953	-0.5748	75
RRNA_PROCESSING	HNSC	MIB2|142678	+	SE	chr1:1560808-1560938:1561033-1562030		1.9493	-0.2704	31.25
RRNA_PROCESSING	HNSC	IL4R|3566	+	A3	chr16:27357939-27363861:27357939-27363866		1.9452	-0.0811	18.75
RRNA_PROCESSING	HNSC	ZNF708|7562	-	SE	chr19:21492143-21493303:21493429-21512012		1.9442	-0.142	31.25
RRNA_PROCESSING	HNSC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		1.9357	-0.5117	62.5
RRNA_PROCESSING	HNSC	ARID2|196528	+	SE	chr12:46287504-46298125:46298181-46298717		1.9341	0.5296	81.25
RRNA_PROCESSING	HNSC	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		1.9338	0.5404	50
RRNA_PROCESSING	HNSC	AP1B1|162	-	SE	chr22:29735122-29735743:29735763-29736645		1.9337	0.5433	56.25
RRNA_PROCESSING	HNSC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		1.9214	-0.5987	81.25
