# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315	Observed	2.5615	0.2706	50
COMPLEMENT_PATHWAY	LUAD	CIITA|4261	+	A3	chr16:10992589-10992779:10992589-10992782	Observed	2.3769	0.1636	68.75
COMPLEMENT_PATHWAY	LUAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093	Observed	1.8396	-0.3565	56.25
COMPLEMENT_PATHWAY	LUAD	AGBL2|79841	-	SE	chr11:47703647-47707445:47707601-47711628	Observed	1.734	-0.0606	62.5
COMPLEMENT_PATHWAY	LUAD	SNCA|6622	-	A5	chr4:90756843-90757894:90756843-90758113	Observed	1.4156	-0.0476	56.25
COMPLEMENT_PATHWAY	LUAD	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009	Observed	1.4127	0.0803	75
COMPLEMENT_PATHWAY	LUAD	DYSF|8291	+	SE	chr2:71766369-71776480:71776521-71778171	Observed	1.0005	0.131	62.5
COMPLEMENT_PATHWAY	LUAD	GATA3|2625	+	A3	chr10:8100804-8105956:8100804-8105959	Observed	1.0005	0.1316	56.25
COMPLEMENT_PATHWAY	LUAD	FCGR2A|2212	+	A3	chr1:161475797-161476124:161475797-161476127	Observed	0.8173	0.0975	68.75
COMPLEMENT_PATHWAY	LUAD	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	0.6304	0.0967	56.25
COMPLEMENT_PATHWAY	LUAD	CFD|1675	+	A5	chr19:859765-860617:859744-860617	Observed	0.612	-0.2464	68.75
COMPLEMENT_PATHWAY	LUAD	CLK1|1195	-	RI	chr2:201724403:201724469-201725961:201726189	Observed	0.4987	-0.0263	56.25
COMPLEMENT_PATHWAY	LUAD	BRCA1|672	-	A5	chr17:41276132-41277199:41276132-41277294	Observed	0.0201	0.0377	56.25
