# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	KIRC	OPA1|4976	+	SE	chr3:193336725-193343881:193343991-193349401	Observed	1.4966	-0.0606	62.5
MRNA_PROCESSING	KIRC	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462	Observed	1.4164	-0.2001	62.5
MRNA_PROCESSING	KIRC	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891	Observed	1.3863	0.1773	56.25
MRNA_PROCESSING	KIRC	CTSB|1508	-	A5	chr8:11710988-11718870:11710988-11718915	Observed	1.3481	-0.1011	68.75
MRNA_PROCESSING	KIRC	PQBP1|10084	+	A5	chrX:48755365-48755775:48755297-48755775	Observed	1.2702	-0.1905	56.25
MRNA_PROCESSING	KIRC	ADARB1|104	+	RI	chr21:46641933:46642195-46645462:46646478	Observed	1.001	-0.1063	56.25
MRNA_PROCESSING	KIRC	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	1.001	0.0049	62.5
MRNA_PROCESSING	KIRC	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941	Observed	1.001	-0.0338	56.25
MRNA_PROCESSING	KIRC	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	0.9737	0.1176	68.75
MRNA_PROCESSING	KIRC	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009	Observed	0.9083	-0.0282	56.25
MRNA_PROCESSING	KIRC	INSR|3643	-	SE	chr19:7143101-7150508:7150543-7152737	Observed	0.8619	-0.2155	62.5
MRNA_PROCESSING	KIRC	PRPF4|9128	+	A3	chr9:116038050-116038825:116038050-116038828	Observed	0.8593	0.0617	56.25
