# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	ESCA	PDCD1|5133	-	SE	chr2:242794135-242794350:242794505-242794773	Observed	3.959	0.312	81.25
T_CELL_ACTIVATION	ESCA	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427	Observed	2.3708	0.3238	81.25
T_CELL_ACTIVATION	ESCA	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	2.0943	-0.0761	87.5
T_CELL_ACTIVATION	ESCA	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837	Observed	2.0083	-0.1969	50
T_CELL_ACTIVATION	ESCA	CD28|940	+	SE	chr2:204591712-204594371:204594495-204599507	Observed	1.9682	0.3615	87.5
T_CELL_ACTIVATION	ESCA	CD28|940	+	RI	chr2:204591356:204591421-204591674:204591712	Observed	1.7882	0.3599	75
T_CELL_ACTIVATION	ESCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	1.6739	0.4325	87.5
T_CELL_ACTIVATION	ESCA	PTPN22|26191	-	SE	chr1:114399063-114399170:114399241-114400360	Observed	1.4156	0.23	68.75
T_CELL_ACTIVATION	ESCA	CD28|940	+	SE	chr2:204571471-204591356:204591712-204594371	Observed	1.4026	0.2791	81.25
T_CELL_ACTIVATION	ESCA	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	1.3851	-0.0708	87.5
T_CELL_ACTIVATION	ESCA	CD86|942	+	SE	chr3:121774350-121810448:121810497-121822359	Observed	1.3799	-0.0198	81.25
T_CELL_ACTIVATION	ESCA	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.0987	0.2106	87.5
T_CELL_ACTIVATION	ESCA	CD6|923	+	SE	chr11:60781486-60783185:60783307-60784951	Observed	1.0005	0.0768	56.25
T_CELL_ACTIVATION	ESCA	CD80|941	-	SE	chr3:119246688-119248689:119248784-119255984	Observed	1.0005	0.074	62.5
T_CELL_ACTIVATION	ESCA	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	1.0005	-0.1006	62.5
T_CELL_ACTIVATION	ESCA	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	1.0005	0.1931	81.25
T_CELL_ACTIVATION	ESCA	CD46|4179	+	SE	chr1:207940540-207941124:207941168-207943666	Observed	0.7604	0.1802	56.25
T_CELL_ACTIVATION	ESCA	LCK|3932	+	SE	chr1:32741664-32741938:32742090-32742208	Observed	0.6077	0.0818	62.5
