# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	LIHC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		3.9764	-0.5826	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	BIRC5|332	+	SE	chr17:76210870-76212047:76212115-76212745		3.777	0.2781	75
MISMATCH_REPAIR_PATHWAY	LIHC	IL32|9235	+	A5	chr16:3117614-3117985:3117416-3117985		3.4645	0.3606	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	GINS4|84296	+	A5	chr8:41386915-41387703:41386907-41387703		2.9783	-0.244	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	APOC1|341	+	SE	chr19:45417746-45417929:45417990-45418129		2.7385	-0.3007	25
MISMATCH_REPAIR_PATHWAY	LIHC	CDC25B|994	+	A5	chr20:3777378-3778269:3776526-3778269		2.7376	-0.3808	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	PRC1|9055	-	SE	chr15:91510432-91512309:91512350-91512677		2.6793	0.2131	25
MISMATCH_REPAIR_PATHWAY	LIHC	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		2.5694	-0.3005	75
MISMATCH_REPAIR_PATHWAY	LIHC	SGOL1|151648	-	SE	chr3:20212724-20215741:20216547-20218093		2.5397	-0.208	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.5161	0.2451	50
MISMATCH_REPAIR_PATHWAY	LIHC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.4727	0.4244	68.75
MISMATCH_REPAIR_PATHWAY	LIHC	FAM195B|348262	-	RI	chr17:79780293:79780783-79781085:79781187		2.4127	0.2473	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	MCM10|55388	+	RI	chr10:13251091:13251133-13251227:13253100		2.3374	0.1093	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	THNSL2|55258	+	SE	chr2:88469975-88472658:88472892-88474158		2.2529	-0.2868	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.246	-0.2471	62.5
MISMATCH_REPAIR_PATHWAY	LIHC	HMMR|3161	+	SE	chr5:162891808-162894707:162894754-162896647		2.2433	0.2317	68.75
MISMATCH_REPAIR_PATHWAY	LIHC	PCYT2|5833	-	SE	chr17:79864774-79865080:79865133-79865430		2.2272	-0.3858	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	GRHL1|29841	+	A5	chr2:10130901-10132135:10130875-10132135		2.1904	-0.0797	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	C17orf95|124512	+	SE	chr17:74723260-74725772:74725876-74729060		2.1563	0.2041	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	SPATS2L|26010	+	SE	chr2:201284219-201303845:201304051-201305372		2.1452	-0.1582	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		2.1249	0.3834	50
MISMATCH_REPAIR_PATHWAY	LIHC	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		2.0852	-0.369	62.5
MISMATCH_REPAIR_PATHWAY	LIHC	FOXM1|2305	-	A3	chr12:2981413-2983143:2981410-2983143		2.0844	-0.1491	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	HFE2|148738	+	A5	chr1:145415838-145416313:145415315-145416313		2.0446	-0.1513	6.25
MISMATCH_REPAIR_PATHWAY	LIHC	ECHDC2|55268	-	SE	chr1:53370762-53372191:53372283-53373540		2.0244	-0.3912	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	C1orf131|128061	-	A3	chr1:231364955-231374603:231364952-231374603		1.9603	-0.1432	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		1.9463	-0.2652	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	RNF14|9604	+	MX	chr5:141353307-141354369:141354520-141359688:141353307-141357868:141358395-141359688		1.9453	-0.1676	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	NEXN|91624	+	RI	chr1:78408146:78408503-78408585:78409576		1.9401	-0.0203	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	CCDC150|284992	+	RI	chr2:197593917:197594111-197594517:197594585		1.9196	-0.1772	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	NLRC5|84166	+	SE	chr16:57075486-57075894:57075977-57077427		1.9182	-0.3186	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	ABCB4|5244	-	SE	chr7:87038708-87041209:87041349-87042933		1.9135	-0.3001	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	SGOL1|151648	-	A5	chr3:20212724-20215741:20212724-20216497		1.9058	-0.2934	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		1.8929	0.1267	68.75
MISMATCH_REPAIR_PATHWAY	LIHC	EXOC7|23265	-	MX	chr17:74085401-74086410:74086478-74090495:74085401-74087224:74087316-74090495		1.8879	-0.3264	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	ERMP1|79956	-	SE	chr9:5824001-5825092:5825219-5830727		1.8864	-0.0951	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	ABCC6|368	-	SE	chr16:16255421-16256850:16257049-16259480		1.8766	-0.2516	25
MISMATCH_REPAIR_PATHWAY	LIHC	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		1.8675	-0.3005	81.25
MISMATCH_REPAIR_PATHWAY	LIHC	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		1.8459	-0.2964	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	OGG1|4968	+	RI	chr3:9798451:9798500-9798745:9799087	Observed	1.8442	0.2407	62.5
MISMATCH_REPAIR_PATHWAY	LIHC	PPFIA3|8541	+	RI	chr19:49653337:49653408-49653514:49654278		1.8218	-0.2385	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	ECHDC1|55862	-	SE	chr6:127636041-127637595:127637647-127648147		1.8218	-0.2711	50
MISMATCH_REPAIR_PATHWAY	LIHC	PIF1|80119	-	A3	chr15:65112218-65113181:65112185-65113181		1.8116	-0.1403	62.5
MISMATCH_REPAIR_PATHWAY	LIHC	LCN12|286256	+	RI	chr9:139848606:139848707-139849823:139849948		1.8052	0.2506	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	CLN3|1201	-	SE	chr16:28500707-28502803:28502881-28503035		1.7979	-0.254	6.25
MISMATCH_REPAIR_PATHWAY	LIHC	FMNL2|114793	+	SE	chr2:153497428-153501948:153502041-153504310		1.7978	0.2551	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	SFRS15|57466	-	SE	chr21:33076239-33077736:33077780-33078587		1.7929	0.0524	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	SLCO2A1|6578	-	SE	chr3:133672605-133673810:133674037-133692507		1.7869	-0.2115	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	MAGIX|79917	+	SE	chrX:49021127-49021246:49021428-49021528		1.7857	-0.2219	68.75
MISMATCH_REPAIR_PATHWAY	LIHC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		1.7601	-0.2065	75
MISMATCH_REPAIR_PATHWAY	LIHC	HSD11B1L|374875	+	A3	chr19:5687679-5687764:5687679-5687927		1.7592	-0.0173	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	ZDHHC16|84287	+	SE	chr10:99213420-99213556:99213603-99214471		1.758	-0.3192	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	FDXR|2232	-	A3	chr17:72863001-72868161:72862998-72868161		1.7519	-0.1289	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		1.7518	-0.4064	62.5
MISMATCH_REPAIR_PATHWAY	LIHC	TRIM10|10107	-	RI	chr6:30119723:30121548-30122088:30122263		1.7369	-0.116	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		1.7366	-0.2453	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	PARD3|56288	-	SE	chr10:34620272-34625127:34625171-34626203		1.7364	0.1552	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	CD4|920	+	A5	chr12:6923466-6923925:6923444-6923925		1.7361	-0.2603	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	LOC100130093|100130093	+	SE	chr1:227916487-227919286:227919448-227920090		1.7357	-0.1464	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		1.7356	-0.3661	25
MISMATCH_REPAIR_PATHWAY	LIHC	AP3D1|8943	-	A3	chr19:2112966-2113335:2112930-2113335		1.7332	-0.2023	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	SFXN2|118980	+	SE	chr10:104488286-104489076:104489151-104489480		1.7148	-0.0948	25
MISMATCH_REPAIR_PATHWAY	LIHC	ANKRD6|22881	+	A5	chr6:90338957-90340152:90338942-90340152		1.71	-0.0692	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	NCAM1|4684	+	SE	chr11:113142598-113143655:113143770-113145989		1.7094	0.1677	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586		1.7089	-0.138	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	SKA2|348235	-	A5	chr17:57208728-57232317:57208728-57232492		1.7085	-0.1666	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		1.7055	-0.2319	68.75
MISMATCH_REPAIR_PATHWAY	LIHC	HMMR|3161	+	A3	chr5:162891808-162894707:162891808-162894710		1.6997	0.196	81.25
MISMATCH_REPAIR_PATHWAY	LIHC	AASDH|132949	-	SE	chr4:57248763-57250236:57250507-57253528		1.6991	0.0914	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	CALCOCO2|10241	+	MX	chr17:46919249-46923396:46923458-46925426:46919249-46923805:46923876-46925426		1.6976	-0.0801	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	SEC16A|9919	-	A3	chr9:139341458-139341679:139341401-139341679		1.6915	0.1386	6.25
MISMATCH_REPAIR_PATHWAY	LIHC	GEMIN8|54960	-	SE	chrX:14039630-14044259:14044340-14047896		1.6852	-0.1733	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	STAG3L1|54441	+	SE	chr7:74994912-74995221:74995328-74995593		1.6833	-0.0207	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	TOR2A|27433	-	SE	chr9:130494557-130494843:130494970-130495664		1.676	-0.309	6.25
MISMATCH_REPAIR_PATHWAY	LIHC	EFEMP1|2202	-	SE	chr2:56149582-56150034:56150074-56150846		1.6719	-0.2664	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	RGPD5|84220	-	SE	chr2:113170203-113174770:113174915-113175261		1.6692	0.1632	25
MISMATCH_REPAIR_PATHWAY	LIHC	RNPS1|10921	-	SE	chr16:2314332-2314574:2314761-2318056		1.6677	0.1816	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	GRIN2C|2905	-	A3	chr17:72842392-72842899:72842388-72842899		1.6665	0.1467	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	RPS14|6208	-	A5	chr5:149827298-149829049:149827298-149829055		1.6659	-0.145	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	CYB5RL|606495	-	SE	chr1:54653412-54656421:54656569-54661092		1.6656	-0.0081	50
MISMATCH_REPAIR_PATHWAY	LIHC	EFCAB2|84288	+	SE	chr1:245133745-245165423:245165534-245180544		1.6621	0.1083	43.75
MISMATCH_REPAIR_PATHWAY	LIHC	BTK|695	-	SE	chrX:100608976-100609618:100609682-100611040		1.657	0.0639	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	DPEP2|64174	-	A5	chr16:68027160-68033170:68027160-68033278		1.6555	-0.1029	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	C9orf114|51490	-	SE	chr9:131585112-131586026:131586173-131586351		1.6543	-0.2323	6.25
MISMATCH_REPAIR_PATHWAY	LIHC	PKMYT1|9088	-	A3	chr16:3027032-3029649:3026825-3029649		1.6527	-0.0418	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	ZNF30|90075	+	A3	chr19:35422897-35424529:35422897-35424532		1.6496	0.0464	50
MISMATCH_REPAIR_PATHWAY	LIHC	ACLY|47	-	SE	chr17:40049427-40052873:40052902-40054002		1.6493	-0.0843	50
MISMATCH_REPAIR_PATHWAY	LIHC	TOP3B|8940	-	A3	chr22:22330179-22337127:22330172-22337127		1.6484	-0.0254	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	SAP130|79595	-	A5	chr2:128767967-128770600:128767967-128770604		1.6428	-0.2124	37.5
MISMATCH_REPAIR_PATHWAY	LIHC	EDN1|1906	+	A3	chr6:12290926-12292574:12290926-12292577		1.642	-0.1143	25
MISMATCH_REPAIR_PATHWAY	LIHC	CENPK|64105	-	A5	chr5:64850773-64857290:64850773-64857324		1.6387	0.2242	50
MISMATCH_REPAIR_PATHWAY	LIHC	ETV1|2115	-	A3	chr7:13949325-13950865:13949323-13950865		1.6384	0.0895	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	TANC2|26115	+	SE	chr17:61493035-61495668:61495768-61497360		1.638	0.1545	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	POFUT2|23275	-	RI	chr21:46683844:46685550-46687505:46687628		1.6373	-0.2286	18.75
MISMATCH_REPAIR_PATHWAY	LIHC	LOC285830|285830	-	MX	chr6:29706663-29713250:29713504-29716677:29706663-29714925:29715202-29716677		1.6363	-0.0688	56.25
MISMATCH_REPAIR_PATHWAY	LIHC	BCAP31|10134	-	A5	chrX:152988743-152988963:152988743-152989471		1.6332	0.0202	31.25
MISMATCH_REPAIR_PATHWAY	LIHC	NLRC4|58484	-	SE	chr2:32466194-32474676:32476670-32477488		1.6327	-0.2092	50
MISMATCH_REPAIR_PATHWAY	LIHC	THUMPD1|55623	-	RI	chr16:20744991:20747680-20748182:20748608		1.631	-0.1415	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	ATXN2|6311	-	SE	chr12:111895163-111902466:111902519-111907912		1.6301	0.0291	12.5
MISMATCH_REPAIR_PATHWAY	LIHC	CREM|1390	+	SE	chr10:35468204-35477128:35477316-35495823		1.6289	-0.026	56.25
