# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	OV	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		6.8147	-0.6194	87.5
COMPLEMENT_PATHWAY	OV	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		4.663	0.5352	56.25
COMPLEMENT_PATHWAY	OV	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.6191	-0.5491	93.75
COMPLEMENT_PATHWAY	OV	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		4.5177	0.5995	87.5
COMPLEMENT_PATHWAY	OV	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.4502	-0.5924	93.75
COMPLEMENT_PATHWAY	OV	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		4.0983	-0.5336	68.75
COMPLEMENT_PATHWAY	OV	LST1|7940	+	SE	chr6:31555095-31555418:31555510-31556295		3.7167	0.3071	62.5
COMPLEMENT_PATHWAY	OV	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		3.6175	-0.4527	87.5
COMPLEMENT_PATHWAY	OV	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		3.5668	0.4748	81.25
COMPLEMENT_PATHWAY	OV	LST1|7940	+	MX	chr6:31555095-31555418:31555510-31556295:31555095-31555721:31555743-31556295		3.5568	0.2477	56.25
COMPLEMENT_PATHWAY	OV	PTPN7|5778	-	SE	chr1:202126951-202127246:202127429-202128409		3.3605	0.3395	62.5
COMPLEMENT_PATHWAY	OV	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		3.235	0.4859	56.25
COMPLEMENT_PATHWAY	OV	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		3.2182	0.3536	75
COMPLEMENT_PATHWAY	OV	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		3.1906	0.334	75
COMPLEMENT_PATHWAY	OV	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.1876	0.6002	93.75
COMPLEMENT_PATHWAY	OV	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.1487	-0.4269	68.75
COMPLEMENT_PATHWAY	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.1423	-0.4945	93.75
COMPLEMENT_PATHWAY	OV	SLAMF6|114836	-	SE	chr1:160461178-160465851:160466183-160492934		3.142	0.2573	56.25
COMPLEMENT_PATHWAY	OV	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		3.1197	0.4799	81.25
COMPLEMENT_PATHWAY	OV	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		3.1147	-0.4727	75
COMPLEMENT_PATHWAY	OV	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		3.0709	0.274	93.75
COMPLEMENT_PATHWAY	OV	ITGAM|3684	+	SE	chr16:31308975-31309063:31309275-31332562		3.0431	0.3665	37.5
COMPLEMENT_PATHWAY	OV	TPM2|7169	-	MX	chr9:35684547-35684729:35684804-35685266:35684547-35685061:35685136-35685266		3.0056	-0.4438	6.25
COMPLEMENT_PATHWAY	OV	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		2.9296	-0.3443	81.25
COMPLEMENT_PATHWAY	OV	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.8666	0.5474	75
COMPLEMENT_PATHWAY	OV	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		2.8636	0.3197	81.25
COMPLEMENT_PATHWAY	OV	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		2.7914	-0.095	81.25
COMPLEMENT_PATHWAY	OV	LILRB1|10859	+	SE	chr19:55146214-55146555:55146630-55146710		2.775	0.2619	75
COMPLEMENT_PATHWAY	OV	APP|351	-	SE	chr21:27354790-27369675:27369731-27372330	Observed	2.7595	0.3723	37.5
COMPLEMENT_PATHWAY	OV	SGSM2|9905	+	SE	chr17:2268635-2270565:2270699-2274556		2.717	0.3756	50
COMPLEMENT_PATHWAY	OV	LST1|7940	+	A3	chr6:31555743-31556274:31555743-31556295		2.7146	0.3144	50
COMPLEMENT_PATHWAY	OV	ITGAL|3683	+	A3	chr16:30515585-30516565:30515585-30516568		2.7116	0.1725	81.25
COMPLEMENT_PATHWAY	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.6881	0.4707	93.75
COMPLEMENT_PATHWAY	OV	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		2.673	0.3204	81.25
COMPLEMENT_PATHWAY	OV	CCDC19|25790	-	SE	chr1:159863095-159867856:159868058-159869886		2.6598	-0.2807	31.25
COMPLEMENT_PATHWAY	OV	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		2.5991	-0.5308	75
COMPLEMENT_PATHWAY	OV	SERPINA1|5265	-	SE	chr14:94854997-94855156:94855347-94856794		2.5906	0.0544	37.5
COMPLEMENT_PATHWAY	OV	CACNA2D4|93589	-	SE	chr12:1910284-1910740:1910810-1919444		2.5896	-0.4377	68.75
COMPLEMENT_PATHWAY	OV	SLC11A1|6556	+	A5	chr2:219247825-219248966:219247793-219248966		2.5262	-0.3946	62.5
COMPLEMENT_PATHWAY	OV	CECR1|51816	-	A3	chr22:17690613-17700246:17690488-17700246		2.5117	0.4878	87.5
COMPLEMENT_PATHWAY	OV	AMICA1|120425	-	SE	chr11:118083276-118085539:118085601-118095656		2.5069	-0.263	87.5
COMPLEMENT_PATHWAY	OV	LEF1|51176	-	SE	chr4:108969907-108984779:108984819-108985492		2.5028	0.3425	37.5
