# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		7.8306	0.6798	18.75
CHROMOSOME_LOCALIZATION	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		6.0332	-0.5447	50
CHROMOSOME_LOCALIZATION	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		5.7608	0.6471	56.25
CHROMOSOME_LOCALIZATION	STAD	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808		5.6907	-0.5379	18.75
CHROMOSOME_LOCALIZATION	STAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.5183	-0.5806	62.5
CHROMOSOME_LOCALIZATION	STAD	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		5.1727	0.5194	56.25
CHROMOSOME_LOCALIZATION	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.0926	0.6528	75
CHROMOSOME_LOCALIZATION	STAD	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		4.9091	-0.5419	50
CHROMOSOME_LOCALIZATION	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		4.6901	-0.5138	62.5
CHROMOSOME_LOCALIZATION	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		4.5484	-0.5366	25
CHROMOSOME_LOCALIZATION	STAD	RPL14|9045	+	A5	chr3:40498965-40499381:40498854-40499381		4.509	-0.4102	37.5
CHROMOSOME_LOCALIZATION	STAD	SDCCAG3|10807	-	SE	chr9:139302390-139304542:139304691-139304780		4.4911	0.423	12.5
CHROMOSOME_LOCALIZATION	STAD	CAMKK2|10645	-	SE	chr12:121678672-121682376:121682418-121682943		4.3613	-0.5492	31.25
CHROMOSOME_LOCALIZATION	STAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		4.2293	-0.5409	12.5
CHROMOSOME_LOCALIZATION	STAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		4.2219	-0.5128	56.25
CHROMOSOME_LOCALIZATION	STAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		4.1793	-0.5812	56.25
CHROMOSOME_LOCALIZATION	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.1225	0.537	50
