# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	KIRC	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		6.178	-0.6325	75
TRANSLATION	KIRC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		5.1557	0.6232	68.75
TRANSLATION	KIRC	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		4.9419	-0.5521	93.75
TRANSLATION	KIRC	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		4.8855	-0.4311	62.5
TRANSLATION	KIRC	RGL2|5863	-	SE	chr6:33263536-33263805:33264102-33264191		4.8085	-0.625	87.5
TRANSLATION	KIRC	FANK1|92565	+	SE	chr10:127585224-127661942:127662064-127668730		4.7637	-0.5338	56.25
TRANSLATION	KIRC	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		4.6488	-0.5313	56.25
TRANSLATION	KIRC	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		4.5767	-0.6594	68.75
TRANSLATION	KIRC	TMEM205|374882	-	RI	chr19:11456196:11456304-11456684:11456981		4.4376	-0.4237	56.25
TRANSLATION	KIRC	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		4.4287	-0.547	37.5
TRANSLATION	KIRC	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		4.4246	-0.507	68.75
TRANSLATION	KIRC	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		4.3276	0.5641	68.75
TRANSLATION	KIRC	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		4.247	0.6076	75
TRANSLATION	KIRC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		4.2055	-0.6351	100
TRANSLATION	KIRC	MAST2|23139	+	SE	chr1:46474043-46476402:46476611-46485268		4.1693	-0.5079	50
TRANSLATION	KIRC	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		4.122	0.5611	87.5
TRANSLATION	KIRC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958	Observed	4.1131	-0.4815	50
TRANSLATION	KIRC	ACIN1|22985	-	A5	chr14:23538826-23540334:23538826-23540636		4.031	-0.528	37.5
TRANSLATION	KIRC	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		3.9332	-0.5077	50
TRANSLATION	KIRC	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		3.9035	-0.589	87.5
TRANSLATION	KIRC	ACCS|84680	+	A5	chr11:44089465-44092806:44089328-44092806		3.8558	0.5197	12.5
TRANSLATION	KIRC	PAX2|5076	+	A5	chr10:102541122-102566187:102541098-102566187		3.6835	0.457	12.5
TRANSLATION	KIRC	CHD3|1107	+	A3	chr17:7807309-7807447:7807309-7807760		3.6693	0.5959	62.5
TRANSLATION	KIRC	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		3.655	0.5033	87.5
TRANSLATION	KIRC	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609159-33622926		3.6517	-0.5766	87.5
TRANSLATION	KIRC	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		3.5549	-0.5641	68.75
TRANSLATION	KIRC	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		3.5197	0.5661	81.25
TRANSLATION	KIRC	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		3.4755	-0.1854	87.5
TRANSLATION	KIRC	ZC3H7A|29066	-	A5	chr16:11852395-11855262:11852395-11855324		3.4716	-0.5435	62.5
TRANSLATION	KIRC	ELAC2|60528	-	A3	chr17:12898201-12898280:12898195-12898280		3.4227	-0.5008	50
TRANSLATION	KIRC	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		3.3875	0.4979	62.5
TRANSLATION	KIRC	UROD|7389	+	A5	chr1:45479026-45479266:45478887-45479266		3.3653	0.486	37.5
TRANSLATION	KIRC	NDUFS2|4720	+	SE	chr1:161172270-161173193:161173333-161176197		3.3572	0.4292	43.75
TRANSLATION	KIRC	MAN2C1|4123	-	SE	chr15:75654794-75654983:75655089-75656829		3.3271	-0.4265	56.25
TRANSLATION	KIRC	ACCS|84680	+	A3	chr11:44097142-44098829:44097142-44098873		3.3077	0.5197	12.5
TRANSLATION	KIRC	PRDM2|7799	+	SE	chr1:14057612-14059274:14059377-14068500		3.2922	-0.5306	75
TRANSLATION	KIRC	AGXT2L2|85007	-	A5	chr5:177658524-177658670:177658524-177659493		3.1825	-0.4269	31.25
TRANSLATION	KIRC	TUBGCP6|85378	-	A3	chr22:50656546-50656618:50656527-50656618		3.1733	-0.5324	62.5
TRANSLATION	KIRC	NDUFV3|4731	+	SE	chr21:44317157-44323292:44324386-44328974		3.1612	-0.3541	50
TRANSLATION	KIRC	C17orf70|80233	-	A3	chr17:79511146-79512772:79511118-79512772		3.1536	-0.417	43.75
TRANSLATION	KIRC	CCDC88A|55704	-	SE	chr2:55523659-55526975:55527055-55528342		3.1504	-0.5757	62.5
TRANSLATION	KIRC	TUBGCP6|85378	-	A3	chr22:50656831-50656917:50656799-50656917		3.0769	-0.5324	50
TRANSLATION	KIRC	CROCC|9696	+	RI	chr1:17294698:17294913-17295611:17295835		3.0649	0.4789	75
TRANSLATION	KIRC	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441		3.0586	-0.4744	56.25
TRANSLATION	KIRC	PI4KB|5298	-	SE	chr1:151280277-151288049:151288985-151299747		3.0424	-0.5042	75
TRANSLATION	KIRC	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.0393	0.055	37.5
TRANSLATION	KIRC	AKAP12|9590	+	SE	chr6:151647020-151669846:151674887-151676862		3.0148	-0.5536	56.25
TRANSLATION	KIRC	PQBP1|10084	+	RI	chrX:48755539:48755629-48755775:48755859	Observed	2.9968	-0.2181	50
TRANSLATION	KIRC	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		2.9847	0.505	43.75
TRANSLATION	KIRC	ANKRD26|22852	-	SE	chr10:27349469-27350073:27350171-27352917		2.9836	-0.5094	75
TRANSLATION	KIRC	OGFOD2|79676	+	SE	chr12:123459930-123460358:123460414-123461201		2.9661	0.4657	50
TRANSLATION	KIRC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		2.9518	-0.5744	68.75
TRANSLATION	KIRC	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	2.9515	-0.3223	56.25
TRANSLATION	KIRC	FUK|197258	+	SE	chr16:70497677-70499029:70499079-70500035		2.9496	0.2665	6.25
TRANSLATION	KIRC	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		2.9489	-0.5746	62.5
TRANSLATION	KIRC	EPHB6|2051	+	A3	chr7:142560591-142560885:142560591-142560889		2.9415	-0.482	62.5
TRANSLATION	KIRC	LRRC46|90506	+	RI	chr17:45911791:45911899-45912719:45912765		2.8966	-0.3848	43.75
TRANSLATION	KIRC	PFDN5|5204	+	A3	chr12:53689725-53690214:53689725-53691634		2.8806	-0.4522	43.75
TRANSLATION	KIRC	N4BP2L2|10443	-	A3	chr13:33018263-33091994:33016685-33091994		2.8749	-0.4672	62.5
TRANSLATION	KIRC	NPRL2|10641	-	A3	chr3:50386925-50387096:50386921-50387096		2.836	0.3566	6.25
TRANSLATION	KIRC	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.8024	-0.5709	75
TRANSLATION	KIRC	NT5C2|22978	-	SE	chr10:104899236-104934615:104934739-104952993		2.7874	0.3987	12.5
TRANSLATION	KIRC	UBXN11|91544	-	RI	chr1:26610853:26610973-26611955:26612032		2.7868	-0.4303	12.5
TRANSLATION	KIRC	CANT1|124583	-	RI	chr17:76993074:76993726-76993922:76994045		2.775	-0.451	31.25
TRANSLATION	KIRC	CCDC88A|55704	-	SE	chr2:55528413-55529008:55529208-55535945		2.7702	-0.5628	75
TRANSLATION	KIRC	PLSCR3|57048	-	RI	chr17:7296920:7297155-7297423:7297478		2.769	-0.4933	50
TRANSLATION	KIRC	SIN3B|23309	+	A3	chr19:16940351-16940602:16940351-16940606		2.7605	0.3569	25
TRANSLATION	KIRC	MSH5|4439	+	A5	chr6:31729732-31729889:31729642-31729889		2.7588	0.372	25
TRANSLATION	KIRC	SCFD1|23256	+	SE	chr14:31099771-31108983:31109070-31112522		2.7568	-0.4131	43.75
TRANSLATION	KIRC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.7549	-0.4046	56.25
TRANSLATION	KIRC	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	2.7392	-0.3534	68.75
TRANSLATION	KIRC	METT11D1|64745	+	RI	chr14:21464686:21464870-21464944:21465192		2.7311	-0.3642	37.5
TRANSLATION	KIRC	BOC|91653	+	A3	chr3:112993529-112996942:112993529-112996945		2.7259	0.046	56.25
TRANSLATION	KIRC	ZNF525|170958	+	A3	chr19:53879149-53883975:53879149-53888223		2.7179	-0.5173	68.75
TRANSLATION	KIRC	TNS1|7145	-	SE	chr2:218686661-218694567:218694605-218695090		2.7084	-0.3514	25
TRANSLATION	KIRC	AMZ2P1|201283	-	RI	chr17:62968872:62969045-62969360:62969635		2.6703	-0.3414	25
TRANSLATION	KIRC	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		2.6685	-0.4404	43.75
TRANSLATION	KIRC	ZNF717|100131827	-	A3	chr3:75791016-75832457:75790887-75832457		2.6663	0.4662	56.25
TRANSLATION	KIRC	WDR45|11152	-	RI	chrX:48934304:48934409-48935496:48935570		2.6602	-0.3741	62.5
TRANSLATION	KIRC	ZNF525|170958	+	MX	chr19:53869012-53875468:53875549-53879023:53869012-53875595:53875649-53879023		2.6432	0.5173	62.5
TRANSLATION	KIRC	HNRPLL|92906	-	SE	chr2:38804674-38805062:38805144-38809055		2.6395	-0.0605	18.75
TRANSLATION	KIRC	HMGCL|3155	-	A3	chr1:24134813-24143165:24134705-24143165		2.6391	0.4315	56.25
TRANSLATION	KIRC	ARFGEF1|10565	-	A3	chr8:68117054-68123718:68116958-68123718		2.6351	-0.4776	37.5
TRANSLATION	KIRC	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		2.6312	-0.5172	62.5
TRANSLATION	KIRC	BDH2|56898	-	A5	chr4:104006619-104006856:104006619-104007637		2.6193	-0.3501	50
TRANSLATION	KIRC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803556-196807922	Observed	2.6138	0.4246	50
TRANSLATION	KIRC	EWSR1|2130	+	A3	chr22:29678546-29682912:29678546-29682987		2.6058	-0.4935	62.5
TRANSLATION	KIRC	ASAP1|50807	-	SE	chr8:131172210-131173031:131173039-131179782		2.5972	0.546	56.25
