# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	LUAD	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		4.4819	0.6352	62.5
PROTEIN_SECRETION	LUAD	POFUT2|23275	-	SE	chr21:46685550-46685937:46686142-46687505		4.3948	-0.5457	75
PROTEIN_SECRETION	LUAD	UHRF2|115426	+	SE	chr9:6486925-6492303:6492401-6493826		4.0774	-0.5536	68.75
PROTEIN_SECRETION	LUAD	SNX1|6642	+	A3	chr15:64429131-64429767:64429131-64430241		3.5368	-0.5465	87.5
PROTEIN_SECRETION	LUAD	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		3.468	-0.596	56.25
PROTEIN_SECRETION	LUAD	HSH2D|84941	+	SE	chr19:16259685-16262257:16262388-16263362		3.248	-0.5163	43.75
PROTEIN_SECRETION	LUAD	TRIM22|10346	+	RI	chr11:5718478:5718573-5719545:5719775		3.2363	-0.5595	56.25
PROTEIN_SECRETION	LUAD	VEZT|55591	+	A3	chr12:95690034-95692870:95690034-95693941		3.2337	-0.5651	93.75
PROTEIN_SECRETION	LUAD	BMP1|649	+	A5	chr8:22023066-22031115:22023062-22031115		3.2123	0.5605	37.5
PROTEIN_SECRETION	LUAD	SPSB3|90864	-	RI	chr16:1828135:1828322-1828436:1828613		3.1599	-0.5953	62.5
PROTEIN_SECRETION	LUAD	GPX3|2878	+	RI	chr5:150404901:150405029-150405033:150405054		3.1413	0.5281	62.5
PROTEIN_SECRETION	LUAD	UHRF2|115426	+	SE	chr9:6493932-6495585:6497103-6497198		3.1367	-0.5346	75
PROTEIN_SECRETION	LUAD	DIS3L2|129563	+	A3	chr2:233200584-233200851:233200584-233201179		3.0564	-0.5677	62.5
PROTEIN_SECRETION	LUAD	C19orf60|55049	+	RI	chr19:18699805:18699887-18700289:18700493		3.0453	-0.4378	62.5
PROTEIN_SECRETION	LUAD	DVL3|1857	+	RI	chr3:183882584:183882719-183882901:183882994		3.0237	-0.4979	56.25
PROTEIN_SECRETION	LUAD	PARVG|64098	+	A3	chr22:44581752-44582457:44581752-44583656		2.9804	-0.5166	37.5
PROTEIN_SECRETION	LUAD	ABHD3|171586	-	A5	chr18:19239304-19243639:19239304-19244079		2.9788	-0.5135	75
PROTEIN_SECRETION	LUAD	CDK5RAP3|80279	+	A5	chr17:46051401-46051766:46051397-46051766		2.973	-0.5712	43.75
PROTEIN_SECRETION	LUAD	LGALS8|3964	+	A3	chr1:236706087-236706727:236706087-236706860		2.9448	-0.5464	43.75
PROTEIN_SECRETION	LUAD	PSD4|23550	+	RI	chr2:113942942:113943017-113943454:113943832		2.9205	-0.4646	37.5
PROTEIN_SECRETION	LUAD	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		2.8289	0.5169	93.75
PROTEIN_SECRETION	LUAD	TJP2|9414	+	RI	chr9:71867731:71867816-71869125:71870118		2.8192	-0.5437	68.75
PROTEIN_SECRETION	LUAD	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891		2.809	-0.5475	68.75
PROTEIN_SECRETION	LUAD	CENPT|80152	-	A3	chr16:67862481-67862570:67862462-67862570		2.7995	0.4818	43.75
PROTEIN_SECRETION	LUAD	HDAC6|10013	+	RI	chrX:48673369:48673458-48673791:48673897		2.7923	-0.5591	87.5
PROTEIN_SECRETION	LUAD	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		2.7858	0.4804	37.5
PROTEIN_SECRETION	LUAD	DGCR8|54487	+	RI	chr22:20077192:20077334-20077499:20077781		2.7797	-0.5109	75
PROTEIN_SECRETION	LUAD	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.766	-0.5304	87.5
PROTEIN_SECRETION	LUAD	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		2.7066	-0.5082	50
PROTEIN_SECRETION	LUAD	KIAA0664|23277	-	RI	chr17:2597194:2597333-2597417:2597570		2.7064	-0.5817	68.75
PROTEIN_SECRETION	LUAD	SFRS1|6426	-	RI	chr17:56078282:56082961-56083162:56083334		2.6998	-0.5372	50
PROTEIN_SECRETION	LUAD	HEXDC|284004	+	A5	chr17:80398210-80398873:80397589-80398873		2.6986	-0.6144	37.5
