# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HEDGEHOG_PATHWAY	CESC	LPIN3|64900	+	A3	chr20:39977527-39977729:39977527-39977732		3.5458	-0.1747	18.75
HEDGEHOG_PATHWAY	CESC	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.4709	0.4017	68.75
HEDGEHOG_PATHWAY	CESC	AP1B1|162	-	SE	chr22:29735122-29735743:29735763-29736645		3.1311	-0.5569	56.25
HEDGEHOG_PATHWAY	CESC	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		3.0381	-0.5966	81.25
HEDGEHOG_PATHWAY	CESC	KLHDC9|126823	+	A3	chr1:161069295-161069369:161069295-161069388		3.0327	0.0634	12.5
HEDGEHOG_PATHWAY	CESC	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		2.9787	0.5391	93.75
HEDGEHOG_PATHWAY	CESC	RNF185|91445	+	RI	chr22:31600475:31600568-31601152:31603004		2.9784	0.5483	62.5
HEDGEHOG_PATHWAY	CESC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		2.8772	-0.4814	93.75
HEDGEHOG_PATHWAY	CESC	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		2.8164	0.5189	75
HEDGEHOG_PATHWAY	CESC	GNE|10020	-	SE	chr9:36246479-36249189:36249394-36258318		2.7938	0.5023	56.25
HEDGEHOG_PATHWAY	CESC	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		2.7926	-0.2154	43.75
HEDGEHOG_PATHWAY	CESC	SRD5A1|6715	+	SE	chr5:6633982-6651955:6652121-6656191		2.772	0.368	12.5
HEDGEHOG_PATHWAY	CESC	DUSP3|1845	-	SE	chr17:41847182-41851403:41851477-41852080		2.7267	-0.5742	81.25
HEDGEHOG_PATHWAY	CESC	VPS39|23339	-	SE	chr15:42483758-42484264:42484296-42492094		2.7244	0.3302	43.75
HEDGEHOG_PATHWAY	CESC	CD59|966	-	A5	chr11:33744009-33744117:33744009-33744182		2.614	-0.2041	18.75
HEDGEHOG_PATHWAY	CESC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.5723	0.2024	68.75
HEDGEHOG_PATHWAY	CESC	EXOC6|54536	+	SE	chr10:94757372-94759007:94759144-94773951		2.5597	-0.5432	62.5
HEDGEHOG_PATHWAY	CESC	KIF16B|55614	-	SE	chr20:16293063-16316571:16316660-16336975		2.545	0.5282	81.25
HEDGEHOG_PATHWAY	CESC	CANT1|124583	-	A3	chr17:76994045-77005746:76993726-77005746		2.5097	0.5417	75
HEDGEHOG_PATHWAY	CESC	CTNND1|1500	+	A3	chr11:57529518-57558857:57529518-57558966		2.4929	0.1143	50
HEDGEHOG_PATHWAY	CESC	FN1|2335	-	SE	chr2:216256537-216257654:216257926-216259251		2.4533	0.2483	12.5
HEDGEHOG_PATHWAY	CESC	HLA-DMB|3109	-	SE	chr6:32902764-32903119:32903154-32903313		2.4373	0.4914	68.75
HEDGEHOG_PATHWAY	CESC	MAP3K4|4216	+	A5	chr6:161514883-161518112:161514871-161518112		2.434	0.5634	50
HEDGEHOG_PATHWAY	CESC	SIGMAR1|10280	-	A5	chr9:34637417-34637544:34637417-34637604		2.4256	0.3729	62.5
HEDGEHOG_PATHWAY	CESC	EPB41L1|2036	+	SE	chr20:34700402-34709582:34709738-34763473		2.4214	-0.1642	18.75
HEDGEHOG_PATHWAY	CESC	DUSP6|1848	-	SE	chr12:89743338-89744365:89744802-89745417		2.4193	0.4589	25
HEDGEHOG_PATHWAY	CESC	FBXO42|54455	-	RI	chr1:16579591:16579647-16580130:16580226		2.4118	-0.3704	25
HEDGEHOG_PATHWAY	CESC	ARHGAP23|57636	+	SE	chr17:36654752-36655174:36655196-36656839		2.3975	-0.5465	81.25
HEDGEHOG_PATHWAY	CESC	ESRP1|54845	+	SE	chr8:95690599-95704905:95705055-95718153		2.3892	-0.5499	56.25
HEDGEHOG_PATHWAY	CESC	TRIM28|10155	+	A3	chr19:59060143-59060229:59060143-59060253		2.3601	0.5525	56.25
HEDGEHOG_PATHWAY	CESC	ZNF410|57862	+	A3	chr14:74370813-74371605:74370813-74371634		2.3369	0.523	62.5
HEDGEHOG_PATHWAY	CESC	TEAD2|8463	-	SE	chr19:49862756-49863101:49863338-49865630		2.3338	0.407	12.5
HEDGEHOG_PATHWAY	CESC	MCOLN2|255231	-	A3	chr1:85412815-85417926:85412762-85417926		2.3237	0.4052	25
HEDGEHOG_PATHWAY	CESC	KIAA0753|9851	-	SE	chr17:6513480-6515239:6515468-6524108		2.3166	0.5222	93.75
HEDGEHOG_PATHWAY	CESC	CYTH1|9267	-	SE	chr17:76672251-76673077:76673132-76676272		2.3087	-0.52	68.75
HEDGEHOG_PATHWAY	CESC	GPNMB|10457	+	SE	chr7:23293931-23296511:23296684-23299599		2.3049	0.3516	18.75
HEDGEHOG_PATHWAY	CESC	CACHD1|57685	+	A5	chr1:65130419-65131740:65130362-65131740		2.302	-0.55	68.75
HEDGEHOG_PATHWAY	CESC	KIAA1958|158405	+	SE	chr9:115337531-115380151:115380234-115407930		2.2765	0.0765	50
HEDGEHOG_PATHWAY	CESC	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608		2.2575	0.4659	37.5
HEDGEHOG_PATHWAY	CESC	TUBB8|347688	-	SE	chr10:94054-94555:94665-94744		2.2545	0.1066	12.5
HEDGEHOG_PATHWAY	CESC	ANKRD13C|81573	-	SE	chr1:70781249-70790536:70790640-70801741		2.2515	0.3191	25
HEDGEHOG_PATHWAY	CESC	CANT1|124583	-	SE	chr17:76993726-76993922:76994045-77005746		2.2452	0.5176	37.5
HEDGEHOG_PATHWAY	CESC	SLC39A9|55334	+	A3	chr14:69922583-69925080:69922583-69928414		2.2329	0.5589	50
HEDGEHOG_PATHWAY	CESC	GPR56|9289	+	SE	chr16:57673582-57675503:57675620-57684165		2.2216	0.4987	31.25
HEDGEHOG_PATHWAY	CESC	PRRX1|5396	+	SE	chr1:170695542-170699418:170699489-170705189		2.2196	0.4108	75
HEDGEHOG_PATHWAY	CESC	GDPD3|79153	-	RI	chr16:30123979:30124114-30124343:30124385		2.2155	0.1909	37.5
HEDGEHOG_PATHWAY	CESC	UNC45A|55898	+	RI	chr15:91492884:91492950-91493384:91493497		2.198	-0.5405	43.75
