# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	OV	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.3898	-0.504	81.25
SPLICEOSOME	OV	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.8709	-0.4101	62.5
SPLICEOSOME	OV	C1orf9|51430	+	SE	chr1:172544763-172546679:172546699-172546904		3.0684	0.4502	75
SPLICEOSOME	OV	MOV10|4343	+	A3	chr1:113229728-113230950:113229728-113231557		3.0583	0.3414	56.25
SPLICEOSOME	OV	SDCCAG3|10807	-	SE	chr9:139302390-139303451:139303519-139304542		2.899	-0.3598	62.5
SPLICEOSOME	OV	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.8062	-0.5291	93.75
SPLICEOSOME	OV	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441		2.7779	-0.4901	56.25
SPLICEOSOME	OV	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609159-33622926		2.7751	-0.4462	56.25
SPLICEOSOME	OV	SEC16B|89866	-	SE	chr1:177901704-177901833:177901941-177902349		2.7682	-0.4242	68.75
SPLICEOSOME	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		2.7171	-0.5002	50
SPLICEOSOME	OV	RGS11|8786	-	A5	chr16:325498-325838:325498-325849		2.6699	0.2981	25
SPLICEOSOME	OV	MUC1|4582	-	SE	chr1:155160052-155160484:155160539-155160639		2.6289	-0.1285	31.25
SPLICEOSOME	OV	EPS8|2059	-	RI	chr12:15773076:15774127-15774128:15774364		2.5684	0.3787	18.75
SPLICEOSOME	OV	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		2.5681	-0.4596	25
SPLICEOSOME	OV	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.5461	-0.2858	68.75
SPLICEOSOME	OV	SPOP|8405	-	MX	chr17:47700238-47714121:47714171-47755295:47700238-47745389:47745440-47755295		2.5364	0.027	50
SPLICEOSOME	OV	MRPL55|128308	-	SE	chr1:228296019-228296656:228296722-228296962		2.527	-0.2003	43.75
SPLICEOSOME	OV	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		2.523	0.4023	62.5
SPLICEOSOME	OV	TGFBI|7045	+	A5	chr5:135398376-135398875:135398362-135398875		2.505	-0.4579	75
SPLICEOSOME	OV	CCNL2|81669	-	A3	chr1:1328183-1328776:1326245-1328776		2.5007	-0.3081	75
