# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266	Observed	6.9474	-0.6417	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785	Observed	4.3803	0.4049	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837	Observed	4.2492	-0.2103	50
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	2.7461	0.422	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD80|941	-	SE	chr3:119246688-119248689:119248784-119255984	Observed	1.6677	-0.0281	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD40|958	+	SE	chr20:44751858-44755279:44755380-44756777	Observed	1.5908	0.0931	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD86|942	+	SE	chr3:121774350-121810448:121810497-121822359	Observed	1.2977	-0.0317	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CASP1|834	-	SE	chr11:104902007-104903791:104903853-104904935	Observed	1.0948	-0.147	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD46|4179	+	SE	chr1:207940540-207941124:207941168-207943666	Observed	0.895	-0.1213	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653	Observed	0.851	-0.2229	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	MYD88|4615	+	A3	chr3:38180519-38181355:38180519-38181879	Observed	0.2942	-0.0584	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ITGAM|3684	+	SE	chr16:31308975-31309063:31309275-31332562	Observed	0.0059	0.1232	68.75
