# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	CESC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.1932	-0.3485	75
MISMATCH_REPAIR_PATHWAY	CESC	SDR39U1|56948	-	A5	chr14:24910132-24910880:24910132-24911384		2.9664	-0.2646	50
MISMATCH_REPAIR_PATHWAY	CESC	NIPA2|81614	-	SE	chr15:23027922-23029840:23029966-23033278		2.7326	-0.1612	31.25
MISMATCH_REPAIR_PATHWAY	CESC	EDIL3|10085	-	SE	chr5:83476339-83525673:83525702-83549902		2.6456	-0.235	50
MISMATCH_REPAIR_PATHWAY	CESC	PDLIM4|8572	+	SE	chr5:131607159-131607484:131607601-131607718		2.3599	-0.1663	43.75
MISMATCH_REPAIR_PATHWAY	CESC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.3557	-0.2236	56.25
MISMATCH_REPAIR_PATHWAY	CESC	PDLIM5|10611	+	SE	chr4:95494544-95497094:95497185-95506716		2.2844	-0.3646	31.25
MISMATCH_REPAIR_PATHWAY	CESC	TMEM39B|55116	+	SE	chr1:32541423-32542165:32542247-32542364		2.2753	-0.3184	25
MISMATCH_REPAIR_PATHWAY	CESC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.2087	-0.3771	75
MISMATCH_REPAIR_PATHWAY	CESC	ESRP2|80004	-	A5	chr16:68264930-68265081:68264930-68265199		2.1719	-0.3261	62.5
MISMATCH_REPAIR_PATHWAY	CESC	ATP2A1|487	+	SE	chr16:28914761-28915021:28915062-28915501		2.1506	0.1354	31.25
MISMATCH_REPAIR_PATHWAY	CESC	USP54|159195	-	A5	chr10:75335433-75335553:75335433-75335556		2.1345	0.1083	37.5
MISMATCH_REPAIR_PATHWAY	CESC	BDH1|622	-	SE	chr3:197260432-197273232:197273357-197281433		2.0979	0.1751	31.25
MISMATCH_REPAIR_PATHWAY	CESC	ACTL6A|86	+	A5	chr3:179280905-179287612:179280761-179287612		2.0749	-0.2586	56.25
MISMATCH_REPAIR_PATHWAY	CESC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		2.067	-0.3814	25
MISMATCH_REPAIR_PATHWAY	CESC	ZEB1|6935	+	SE	chr10:31608221-31749966:31750166-31784708		2.0664	-0.307	31.25
MISMATCH_REPAIR_PATHWAY	CESC	PI4KAP1|728233	-	A3	chr22:20388671-20389095:20388611-20389095		2.0624	0.2334	31.25
MISMATCH_REPAIR_PATHWAY	CESC	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095		2.0157	0.2419	50
MISMATCH_REPAIR_PATHWAY	CESC	MRPL33|9553	+	SE	chr2:27995559-27997291:27997397-28002300		2.0139	0.2354	50
MISMATCH_REPAIR_PATHWAY	CESC	ESRP1|54845	+	SE	chr8:95690599-95704905:95705055-95709080		2.0084	-0.2611	37.5
MISMATCH_REPAIR_PATHWAY	CESC	JAM3|83700	+	SE	chr11:134010665-134014136:134014288-134014687		2.0051	-0.413	43.75
MISMATCH_REPAIR_PATHWAY	CESC	KRT10|3858	-	A3	chr17:38975413-38975769:38975212-38975769		2.0011	-0.187	18.75
MISMATCH_REPAIR_PATHWAY	CESC	BEND7|222389	-	RI	chr10:13483090:13483750-13489266:13489316		1.9887	-0.2139	18.75
MISMATCH_REPAIR_PATHWAY	CESC	GNB4|59345	-	SE	chr3:179119107-179122978:179123194-179131200		1.967	-0.2272	43.75
MISMATCH_REPAIR_PATHWAY	CESC	ZNF473|25888	+	A3	chr19:50529379-50534149:50529379-50534271		1.9253	-0.0693	37.5
MISMATCH_REPAIR_PATHWAY	CESC	C11orf65|160140	-	SE	chr11:108332295-108333275:108333367-108338198		1.9157	-0.1608	37.5
MISMATCH_REPAIR_PATHWAY	CESC	IQCC|55721	+	A5	chr1:32671564-32671755:32671324-32671755		1.9144	-0.2826	37.5
