# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	STAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.0823	0.6962	87.5
BASEMENT_MEMBRANE	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.93	-0.7494	18.75
BASEMENT_MEMBRANE	STAD	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		3.8085	0.5616	87.5
BASEMENT_MEMBRANE	STAD	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		3.5266	0.6197	68.75
BASEMENT_MEMBRANE	STAD	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		3.49	-0.5459	56.25
BASEMENT_MEMBRANE	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		3.4222	0.6812	87.5
BASEMENT_MEMBRANE	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.3053	0.6309	81.25
BASEMENT_MEMBRANE	STAD	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.2283	-0.546	81.25
BASEMENT_MEMBRANE	STAD	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		3.1693	-0.5071	62.5
BASEMENT_MEMBRANE	STAD	SYTL2|54843	-	SE	chr11:85420543-85422156:85422275-85425456		3.1574	-0.4705	75
BASEMENT_MEMBRANE	STAD	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.0402	0.5849	100
BASEMENT_MEMBRANE	STAD	PHYHD1|254295	+	SE	chr9:131698782-131698862:131698924-131700036		2.9192	0.1947	25
BASEMENT_MEMBRANE	STAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.8423	0.6154	81.25
BASEMENT_MEMBRANE	STAD	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.7637	0.5768	81.25
BASEMENT_MEMBRANE	STAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52592265		2.7371	-0.4996	56.25
BASEMENT_MEMBRANE	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.7307	-0.6801	68.75
BASEMENT_MEMBRANE	STAD	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		2.7176	0.4905	75
BASEMENT_MEMBRANE	STAD	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		2.7124	0.4895	81.25
BASEMENT_MEMBRANE	STAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.7107	-0.5061	75
BASEMENT_MEMBRANE	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.6923	0.5762	81.25
BASEMENT_MEMBRANE	STAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.6915	0.5691	43.75
BASEMENT_MEMBRANE	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		2.677	-0.6679	75
BASEMENT_MEMBRANE	STAD	SORBS1|10580	-	SE	chr10:97127456-97131083:97131184-97135730		2.6756	-0.4346	31.25
BASEMENT_MEMBRANE	STAD	PHLDB1|23187	+	RI	chr11:118514790:118514892-118515365:118515409		2.6621	-0.3995	81.25
BASEMENT_MEMBRANE	STAD	ZEB1|6935	+	A3	chr10:31750166-31784705:31750166-31784708		2.6525	0.2154	56.25
BASEMENT_MEMBRANE	STAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.6256	-0.521	93.75
BASEMENT_MEMBRANE	STAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.6046	0.5085	56.25
BASEMENT_MEMBRANE	STAD	PEG3|5178	-	A3	chr19:57329206-57329968:57329203-57329968		2.5881	0.4622	43.75
BASEMENT_MEMBRANE	STAD	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		2.5511	-0.5218	62.5
BASEMENT_MEMBRANE	STAD	RTN4|57142	-	SE	chr2:55214834-55252222:55254621-55255300		2.5244	-0.4831	6.25
BASEMENT_MEMBRANE	STAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		2.5202	0.5004	50
